path,class
bench/bench_cli.h,original
bench/bench_corpus.cpp,original
bench/bench_f7_cold.cpp,original
bench/bench_scale.cpp,original
bench/bench_snopt_f7.cpp,original
bench/corpus_cells.h,original
bench/model_surface_kkt.h,original
bench/snopt_f7_driver.h,original
bench/ssn_safeguard_probe.cpp,original
bench/tau_bar_sweep_probe.cpp,original
include/hven/core/ledger.h,original
include/hven/core/pattern_hash.h,original
include/hven/core/solver_counters.h,original
include/hven/core/solver_status.h,original
include/hven/core/start_level.h,original
include/hven/core/types.h,original
include/hven/core/version.h,original
include/hven/detail/drivers/aggregate_eval_seam.h,original
include/hven/detail/drivers/interior_point_solver_fwd.h,derived
include/hven/detail/drivers/interior_point_solver_presets.h,original
include/hven/detail/drivers/solver_init.h,original
include/hven/detail/globalization/acceptance_strategy.h,original
include/hven/detail/globalization/backtracking_line_search.h,original
include/hven/detail/globalization/barrier_governor.h,original
include/hven/detail/globalization/classic_adaptive_governor.h,original
include/hven/detail/globalization/feasibility_stall.h,original
include/hven/detail/globalization/feasibility_switch_recovery.h,original
include/hven/detail/globalization/filter_acceptance.h,original
include/hven/detail/globalization/funnel_acceptance.h,original
include/hven/detail/globalization/globalization_mechanism.h,original
include/hven/detail/globalization/inertia_regularization.h,original
include/hven/detail/globalization/l1_restoration.h,original
include/hven/detail/globalization/merit_acceptance.h,original
include/hven/detail/globalization/modern_merit.h,original
include/hven/detail/globalization/monitored_governor.h,original
include/hven/detail/globalization/noop_recovery.h,original
include/hven/detail/globalization/progress_measures.h,original
include/hven/detail/globalization/proximal_restoration.h,original
include/hven/detail/globalization/recovery_chain.h,original
include/hven/detail/globalization/restoration.h,original
include/hven/detail/globalization/soc.h,original
include/hven/detail/globalization/solver_context.h,original
include/hven/detail/globalization/sqp/elastic.h,original
include/hven/detail/globalization/sqp/globalization.h,original
include/hven/detail/globalization/sqp/restoration.h,original
include/hven/detail/globalization/sqp/soc.h,original
include/hven/detail/globalization/sqp/trust_region.h,original
include/hven/detail/globalization/switching_acceptance.h,original
include/hven/detail/globalization/watchdog.h,original
include/hven/detail/interior/aggregate_views.h,original
include/hven/detail/interior/barrier_math.h,derived
include/hven/detail/interior/bound_set.h,original
include/hven/detail/interior/constraint_function.h,derived
include/hven/detail/interior/eval_error_log.h,original
include/hven/detail/interior/fixed_variable_row.h,original
include/hven/detail/interior/indexing_data.h,derived
include/hven/detail/interior/iterate_info.h,derived
include/hven/detail/interior/jet.h,derived
include/hven/detail/interior/kkt_factorization.h,original
include/hven/detail/interior/kkt_vector.h,derived
include/hven/detail/interior/objective_function.h,derived
include/hven/detail/interior/parsed_io_flags.h,derived
include/hven/detail/interior/sizing_specs.h,derived
include/hven/detail/interior/solver_function_base.h,derived
include/hven/detail/interior/threading_flags.h,derived
include/hven/detail/interior/typedefs/eigen_types.h,derived
include/hven/detail/interior/typedefs/super_scalar_traits.h,original
include/hven/detail/interior/utils/accelerate_threads.h,derived
include/hven/detail/interior/utils/flat_map.h,original
include/hven/detail/interior/utils/function_return_type.h,derived
include/hven/detail/interior/utils/get_core_count.h,derived
include/hven/detail/interior/utils/math_functions.h,derived
include/hven/detail/interior/utils/memory_management.h,derived
include/hven/detail/interior/utils/sizing_helpers.h,derived
include/hven/detail/interior/utils/std_extensions.h,derived
include/hven/detail/interior/utils/thread_pool.h,original
include/hven/detail/interior/utils/timer.h,original
include/hven/detail/interior/utils/tuple_iterator.h,derived
include/hven/detail/interior/utils/type_name.h,derived
include/hven/detail/interior/utils/type_storage.h,original
include/hven/detail/kkt/border_ops.h,original
include/hven/detail/kkt/bordered_eqp.h,original
include/hven/detail/kkt/kkt_assembly.h,original
include/hven/detail/kkt/kkt_calls.h,original
include/hven/detail/kkt/schur_complement.h,original
include/hven/detail/linear/accelerate_session.h,original
include/hven/detail/linear/fault_injection.h,original
include/hven/detail/linear/lapacke_shim.h,original
include/hven/detail/linear/pardiso_session.h,original
include/hven/detail/linear/session_id.h,original
include/hven/detail/model/nlp_adapter.h,original
include/hven/detail/qp/eqp_solve.h,original
include/hven/detail/qp/qp_engine.h,original
include/hven/detail/qp/qp_problem.h,original
include/hven/detail/qp/ssn_engine.h,original
include/hven/detail/qp/working_set.h,original
include/hven/detail/solvers/solver_interface_specs.h,derived
include/hven/detail/warmstart/continuation.h,original
include/hven/detail/warmstart/mesh_transfer.h,original
