# tycho_sqp_corpus provenance
# binary: d8971b272533
# budget_table_hash: 0x357aee91dee27391
# invocation: ./build/bench/tycho_sqp_corpus --from-csv /tmp/corpus_rows/f7_n10000_bound_activity.csv,/tmp/corpus_rows/f7_n10000_bound_corrupted.csv,/tmp/corpus_rows/f7_n10000_bound_neutral.csv,/tmp/corpus_rows/f7_n10000_bound_physics.csv,/tmp/corpus_rows/f7_n10000_bound_warm.csv,/tmp/corpus_rows/f7_n10000_path_activity.csv,/tmp/corpus_rows/f7_n10000_path_corrupted.csv,/tmp/corpus_rows/f7_n10000_path_neutral.csv,/tmp/corpus_rows/f7_n10000_path_physics.csv,/tmp/corpus_rows/f7_n10000_path_warm.csv,/tmp/corpus_rows/f7_n1000_bound_activity.csv,/tmp/corpus_rows/f7_n1000_bound_corrupted.csv,/tmp/corpus_rows/f7_n1000_bound_neutral.csv,/tmp/corpus_rows/f7_n1000_bound_physics.csv,/tmp/corpus_rows/f7_n1000_bound_warm.csv,/tmp/corpus_rows/f7_n1000_path_activity.csv,/tmp/corpus_rows/f7_n1000_path_corrupted.csv,/tmp/corpus_rows/f7_n1000_path_neutral.csv,/tmp/corpus_rows/f7_n1000_path_physics.csv,/tmp/corpus_rows/f7_n1000_path_warm.csv,/tmp/corpus_rows/f7_n20000_bound_activity.csv,/tmp/corpus_rows/f7_n20000_bound_corrupted.csv,/tmp/corpus_rows/f7_n20000_bound_neutral.csv,/tmp/corpus_rows/f7_n20000_bound_physics.csv,/tmp/corpus_rows/f7_n20000_bound_warm.csv,/tmp/corpus_rows/f7_n20000_path_activity.csv,/tmp/corpus_rows/f7_n20000_path_corrupted.csv,/tmp/corpus_rows/f7_n20000_path_neutral.csv,/tmp/corpus_rows/f7_n20000_path_physics.csv,/tmp/corpus_rows/f7_n20000_path_warm.csv,/tmp/corpus_rows/f7_n2000_bound_activity.csv,/tmp/corpus_rows/f7_n2000_bound_corrupted.csv,/tmp/corpus_rows/f7_n2000_bound_neutral.csv,/tmp/corpus_rows/f7_n2000_bound_physics.csv,/tmp/corpus_rows/f7_n2000_bound_warm.csv,/tmp/corpus_rows/f7_n2000_path_activity.csv,/tmp/corpus_rows/f7_n2000_path_corrupted.csv,/tmp/corpus_rows/f7_n2000_path_neutral.csv,/tmp/corpus_rows/f7_n2000_path_physics.csv,/tmp/corpus_rows/f7_n2000_path_warm.csv,/tmp/corpus_rows/f7_n5000_bound_activity.csv,/tmp/corpus_rows/f7_n5000_bound_corrupted.csv,/tmp/corpus_rows/f7_n5000_bound_neutral.csv,/tmp/corpus_rows/f7_n5000_bound_physics.csv,/tmp/corpus_rows/f7_n5000_bound_warm.csv,/tmp/corpus_rows/f7_n5000_path_activity.csv,/tmp/corpus_rows/f7_n5000_path_corrupted.csv,/tmp/corpus_rows/f7_n5000_path_neutral.csv,/tmp/corpus_rows/f7_n5000_path_physics.csv,/tmp/corpus_rows/f7_n5000_path_warm.csv,/tmp/corpus_rows/f7_n750_path_neutral_control.csv,/tmp/corpus_rows/f7_n800_path_activity.csv,/tmp/corpus_rows/f7_n800_path_corrupted.csv,/tmp/corpus_rows/f7_n800_path_neutral.csv,/tmp/corpus_rows/f7_n800_path_physics.csv,/tmp/corpus_rows/f7_n800_path_warm.csv,/tmp/corpus_rows/f7_n825_path_neutral_control.csv --csv docs/notes/data/2026-08-06-corpus/walk_baseline.csv --score-gates
# MKL_NUM_THREADS: 1
# host: fedora
# generated: 2026-08-06T14:18:38Z
cell_id,family,n_nodes,window,taxonomy,degenerate,status,factorizations,qp_minors,escapes,qp_subproblems,qp_fact_per_qp,kkt_residual,wall_s
f7_n1000_bound_neutral,F7,1000,bound,neutral,0,Optimal,1,2,0,1,1,6.295816157e-14,0.043959308
f7_n1000_bound_physics,F7,1000,bound,physics,0,Optimal,1,2,0,1,1,1.167130933e-16,0.033159534
f7_n1000_bound_corrupted,F7,1000,bound,corrupted,0,Optimal,1,2,0,1,1,9.157896609e-15,0.027423925
f7_n1000_bound_activity,F7,1000,bound,activity,0,Optimal,1,2,0,1,1,1.167130933e-16,0.034565977
f7_n1000_bound_warm,F7,1000,bound,warm,0,Optimal,1,2,0,1,1,4.198645758e-15,0.026580210
f7_n1000_path_neutral,F7,1000,path,neutral,0,Optimal,9951,11043,0,4,1;9948;1;1,1.875413158e-10,158.302669744
f7_n1000_path_physics,F7,1000,path,physics,0,Optimal,5,623,0,2,4;1,4.067572955e-10,11.781790718
f7_n1000_path_corrupted,F7,1000,path,corrupted,0,Optimal,2976,4049,0,3,2974;1;1,8.134198393e-12,74.087173534
f7_n1000_path_activity,F7,1000,path,activity,0,Optimal,4,548,0,2,3;1,5.823990462e-09,7.422850366
f7_n1000_path_warm,F7,1000,path,warm,0,Optimal,2,12,0,2,1;1,3.364059716e-10,0.194047054
f7_n2000_bound_neutral,F7,2000,bound,neutral,0,Optimal,1,2,0,1,1,1.259764085e-13,0.069947390
f7_n2000_bound_physics,F7,2000,bound,physics,0,Optimal,1,2,0,1,1,2.168086708e-16,0.096190791
f7_n2000_bound_corrupted,F7,2000,bound,corrupted,0,Optimal,1,2,0,1,1,1.834299600e-14,0.081888827
f7_n2000_bound_activity,F7,2000,bound,activity,0,Optimal,1,2,0,1,1,2.168086708e-16,0.098255641
f7_n2000_bound_warm,F7,2000,bound,warm,0,Optimal,1,2,0,1,1,8.394888483e-15,0.053309398
f7_n2000_path_neutral,F7,2000,path,neutral,1,NumericalError,39744,40004,0,3,1;19871;19872,3.889087297e-01,930.013350019
f7_n2000_path_physics,F7,2000,path,physics,1,Optimal,9,1396,0,2,8;1,2.290368834e-10,54.985713784
f7_n2000_path_corrupted,F7,2000,path,corrupted,1,NumericalError,39783,40000,0,2,19911;19872,9.843817033e-02,943.875260189
f7_n2000_path_activity,F7,2000,path,activity,1,Optimal,8,1505,0,2,7;1,3.049823008e-09,51.412420966
f7_n2000_path_warm,F7,2000,path,warm,1,Optimal,7,1615,0,3,5;1;1,4.904192017e-12,78.665172651
f7_n5000_bound_neutral,F7,5000,bound,neutral,0,Optimal,1,2,0,1,1,3.150169372e-13,0.213398772
f7_n5000_bound_physics,F7,5000,bound,physics,0,Optimal,1,2,0,1,1,5.167993121e-16,0.221737087
f7_n5000_bound_corrupted,F7,5000,bound,corrupted,0,Optimal,1,2,0,1,1,4.592201604e-14,0.215482830
f7_n5000_bound_activity,F7,5000,bound,activity,0,Optimal,1,2,0,1,1,5.167993121e-16,0.234212981
f7_n5000_bound_warm,F7,5000,bound,warm,0,Optimal,1,2,0,1,1,2.098299057e-14,0.135734212
f7_n5000_path_neutral,F7,5000,path,neutral,0,NumericalError,39744,40004,0,3,1;19871;19872,3.889087297e-01,2399.983756237
f7_n5000_path_physics,F7,5000,path,physics,0,Optimal,19,3656,0,2,18;1,1.450679404e-10,357.049393402
f7_n5000_path_corrupted,F7,5000,path,corrupted,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000
f7_n5000_path_activity,F7,5000,path,activity,0,Optimal,24,5250,0,2,23;1,1.890160860e-09,441.090798184
f7_n5000_path_warm,F7,5000,path,warm,0,NumericalError,39744,40000,0,2,19872;19872,3.889087297e-01,2231.393042215
