# tycho_sqp_corpus provenance
# binary: 8ed65baa18cf
# budget_table_hash: 0x357aee91dee27391
# invocation: /home/ghecht/Projects/tycho_sqp/build/bench/tycho_sqp_corpus --from-csv f7_n10000_bound_activity.csv,f7_n10000_bound_corrupted.csv,f7_n10000_bound_neutral.csv,f7_n10000_bound_physics.csv,f7_n10000_bound_warm.csv,f7_n10000_path_activity.csv,f7_n10000_path_corrupted.csv,f7_n10000_path_neutral.csv,f7_n10000_path_physics.csv,f7_n10000_path_warm.csv,f7_n1000_bound_activity.csv,f7_n1000_bound_corrupted.csv,f7_n1000_bound_neutral.csv,f7_n1000_bound_physics.csv,f7_n1000_bound_warm.csv,f7_n1000_path_activity.csv,f7_n1000_path_corrupted.csv,f7_n1000_path_neutral.csv,f7_n1000_path_physics.csv,f7_n1000_path_warm.csv,f7_n20000_bound_activity.csv,f7_n20000_bound_corrupted.csv,f7_n20000_bound_neutral.csv,f7_n20000_bound_physics.csv,f7_n20000_bound_warm.csv,f7_n20000_path_activity.csv,f7_n20000_path_corrupted.csv,f7_n20000_path_neutral.csv,f7_n20000_path_physics.csv,f7_n20000_path_warm.csv,f7_n2000_bound_activity.csv,f7_n2000_bound_corrupted.csv,f7_n2000_bound_neutral.csv,f7_n2000_bound_physics.csv,f7_n2000_bound_warm.csv,f7_n2000_path_activity.csv,f7_n2000_path_corrupted.csv,f7_n2000_path_neutral.csv,f7_n2000_path_physics.csv,f7_n2000_path_warm.csv,f7_n5000_bound_activity.csv,f7_n5000_bound_corrupted.csv,f7_n5000_bound_neutral.csv,f7_n5000_bound_physics.csv,f7_n5000_bound_warm.csv,f7_n5000_path_activity.csv,f7_n5000_path_corrupted.csv,f7_n5000_path_neutral.csv,f7_n5000_path_physics.csv,f7_n5000_path_warm.csv,f7_n750_path_neutral_control.csv,f7_n800_path_activity.csv,f7_n800_path_corrupted.csv,f7_n800_path_neutral.csv,f7_n800_path_physics.csv,f7_n800_path_warm.csv,f7_n825_path_neutral_control.csv --csv /home/ghecht/Projects/tycho_sqp/docs/notes/data/2026-08-08-gate-battery/ssn_battery.csv --score-gates
# MKL_NUM_THREADS: 1
# host: fedora
# generated: 2026-08-07T16:30:39Z
cell_id,family,n_nodes,window,taxonomy,degenerate,status,factorizations,qp_minors,escapes,qp_subproblems,qp_fact_per_qp,kkt_residual,wall_s,kkt_verdict,kkt_stationarity,kkt_primal,kkt_dual_sign,kkt_complementarity,dual_scale,x_scale,neg_ineq_duals,ssn_iters,ssn_bulk_flips,ssn_backtracks,ssn_prox_updates,ssn_uncertain_peak,ssn_refinements,ssn_refine_refused,ssn_refine_facts,ssn_refine_neg_duals
f7_n1000_bound_neutral,F7,1000,bound,neutral,0,Optimal,3,0,0,1,3,6.295816157e-14,0.068050185,ok,6.295816157e-14,1.937490966e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n1000_bound_physics,F7,1000,bound,physics,0,Optimal,3,0,0,1,3,1.167130933e-16,0.066973139,ok,1.167130933e-16,1.046255096e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n1000_bound_corrupted,F7,1000,bound,corrupted,0,Optimal,3,0,0,1,3,9.157896609e-15,0.029542436,ok,9.157896609e-15,2.738477847e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n1000_bound_activity,F7,1000,bound,activity,0,Optimal,3,0,0,1,3,1.167130933e-16,0.066416262,ok,1.167130933e-16,1.046255096e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n1000_bound_warm,F7,1000,bound,warm,0,Optimal,3,0,0,1,3,4.198645758e-15,0.029809695,ok,4.198645758e-15,2.737176805e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n1000_path_neutral,F7,1000,path,neutral,0,Optimal,33,0,0,4,3;15;11;4,3.053662878e-10,0.306331655,ok,1.045096222e-10,3.053662878e-10,4.555255959e-07,1.271441918e-13,1.000000000e+00,1.000000000e+00,3,25,14,26,1,0,3,1,4,10
f7_n1000_path_physics,F7,1000,path,physics,0,Optimal,36,621,1,2,4;7,4.063982696e-10,9.572326342,ok,4.063982696e-10,2.917959208e-10,3.697875239e-07,2.255606852e-16,1.000000000e+00,1.000000000e+00,3,30,17,67,1,0,1,0,1,3
f7_n1000_path_corrupted,F7,1000,path,corrupted,0,Optimal,30,0,0,3,15;11;4,3.938122051e-10,0.236824816,ok,9.251887667e-12,3.938122051e-10,5.624899319e-07,4.519047001e-16,1.000000000e+00,1.000000000e+00,2,24,19,5,1,0,3,0,3,4
f7_n1000_path_activity,F7,1000,path,activity,0,Optimal,35,546,1,2,3;7,5.818926794e-09,7.700232335,ok,5.818926794e-09,3.041160657e-10,3.698190425e-07,2.277717758e-14,1.000000000e+00,1.000000000e+00,3,28,9,144,2,0,1,0,1,3
f7_n1000_path_warm,F7,1000,path,warm,0,Optimal,31,0,0,2,16;15,3.737114461e-10,0.251187557,ok,3.737114461e-10,3.392465198e-10,7.144736501e-07,2.152407174e-15,1.000000000e+00,1.000000000e+00,20,27,13,57,2,0,2,0,2,20
