# tycho_sqp_corpus provenance
# binary: 8ed65baa18cf
# budget_table_hash: 0x357aee91dee27391
# invocation: /home/ghecht/Projects/tycho_sqp/build/bench/tycho_sqp_corpus --from-csv f7_n10000_bound_activity.csv,f7_n10000_bound_corrupted.csv,f7_n10000_bound_neutral.csv,f7_n10000_bound_physics.csv,f7_n10000_bound_warm.csv,f7_n10000_path_activity.csv,f7_n10000_path_corrupted.csv,f7_n10000_path_neutral.csv,f7_n10000_path_physics.csv,f7_n10000_path_warm.csv,f7_n1000_bound_activity.csv,f7_n1000_bound_corrupted.csv,f7_n1000_bound_neutral.csv,f7_n1000_bound_physics.csv,f7_n1000_bound_warm.csv,f7_n1000_path_activity.csv,f7_n1000_path_corrupted.csv,f7_n1000_path_neutral.csv,f7_n1000_path_physics.csv,f7_n1000_path_warm.csv,f7_n20000_bound_activity.csv,f7_n20000_bound_corrupted.csv,f7_n20000_bound_neutral.csv,f7_n20000_bound_physics.csv,f7_n20000_bound_warm.csv,f7_n20000_path_activity.csv,f7_n20000_path_corrupted.csv,f7_n20000_path_neutral.csv,f7_n20000_path_physics.csv,f7_n20000_path_warm.csv,f7_n2000_bound_activity.csv,f7_n2000_bound_corrupted.csv,f7_n2000_bound_neutral.csv,f7_n2000_bound_physics.csv,f7_n2000_bound_warm.csv,f7_n2000_path_activity.csv,f7_n2000_path_corrupted.csv,f7_n2000_path_neutral.csv,f7_n2000_path_physics.csv,f7_n2000_path_warm.csv,f7_n5000_bound_activity.csv,f7_n5000_bound_corrupted.csv,f7_n5000_bound_neutral.csv,f7_n5000_bound_physics.csv,f7_n5000_bound_warm.csv,f7_n5000_path_activity.csv,f7_n5000_path_corrupted.csv,f7_n5000_path_neutral.csv,f7_n5000_path_physics.csv,f7_n5000_path_warm.csv,f7_n750_path_neutral_control.csv,f7_n800_path_activity.csv,f7_n800_path_corrupted.csv,f7_n800_path_neutral.csv,f7_n800_path_physics.csv,f7_n800_path_warm.csv,f7_n825_path_neutral_control.csv --csv /home/ghecht/Projects/tycho_sqp/docs/notes/data/2026-08-08-gate-battery/walk_reswept.csv
# MKL_NUM_THREADS: 1
# host: fedora
# generated: 2026-08-07T15:00:23Z
cell_id,family,n_nodes,window,taxonomy,degenerate,status,factorizations,qp_minors,escapes,qp_subproblems,qp_fact_per_qp,kkt_residual,wall_s,kkt_verdict,kkt_stationarity,kkt_primal,kkt_dual_sign,kkt_complementarity,dual_scale,x_scale,neg_ineq_duals,ssn_iters,ssn_bulk_flips,ssn_backtracks,ssn_prox_updates,ssn_uncertain_peak,ssn_refinements,ssn_refine_refused,ssn_refine_facts,ssn_refine_neg_duals
f7_n1000_bound_neutral,F7,1000,bound,neutral,0,Optimal,1,2,0,1,1,6.295816157e-14,0.032109243,ok,6.295816157e-14,1.937490966e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_bound_physics,F7,1000,bound,physics,0,Optimal,1,2,0,1,1,1.167130933e-16,0.032539022,ok,1.167130933e-16,1.046255096e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_bound_corrupted,F7,1000,bound,corrupted,0,Optimal,1,2,0,1,1,9.157896609e-15,0.026067349,ok,9.157896609e-15,2.738477847e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_bound_activity,F7,1000,bound,activity,0,Optimal,1,2,0,1,1,1.167130933e-16,0.036143617,ok,1.167130933e-16,1.046255096e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_bound_warm,F7,1000,bound,warm,0,Optimal,1,2,0,1,1,4.198645758e-15,0.026520507,ok,4.198645758e-15,2.737176805e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_path_neutral,F7,1000,path,neutral,0,Optimal,9951,11043,0,4,1;9948;1;1,1.875413158e-10,142.463669284,ok,9.945802520e-11,1.875413158e-10,0.000000000e+00,1.270348862e-13,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_path_physics,F7,1000,path,physics,0,Optimal,5,623,0,2,4;1,4.067572955e-10,9.099529543,ok,4.067572955e-10,3.208544541e-13,0.000000000e+00,2.216922284e-16,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_path_corrupted,F7,1000,path,corrupted,0,Optimal,2976,4049,0,3,2974;1;1,8.134198393e-12,62.480554823,ok,8.134198393e-12,3.510525204e-13,0.000000000e+00,2.136576169e-16,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_path_activity,F7,1000,path,activity,0,Optimal,4,548,0,2,3;1,5.823990462e-09,7.310743920,ok,5.823990462e-09,3.300670848e-11,0.000000000e+00,2.275495287e-14,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n1000_path_warm,F7,1000,path,warm,0,Optimal,2,12,0,2,1;1,3.364059716e-10,0.104062259,ok,3.364059716e-10,4.445666058e-11,0.000000000e+00,1.081513310e-15,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_bound_neutral,F7,2000,bound,neutral,0,Optimal,1,2,0,1,1,1.259764085e-13,0.061119851,ok,1.259764085e-13,3.876413079e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_bound_physics,F7,2000,bound,physics,0,Optimal,1,2,0,1,1,2.168086708e-16,0.062393206,ok,2.168086708e-16,1.105344115e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_bound_corrupted,F7,2000,bound,corrupted,0,Optimal,1,2,0,1,1,1.834299600e-14,0.054832668,ok,1.834299600e-14,5.433153927e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_bound_activity,F7,2000,bound,activity,0,Optimal,1,2,0,1,1,2.168086708e-16,0.065323463,ok,2.168086708e-16,1.105344115e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_bound_warm,F7,2000,bound,warm,0,Optimal,1,2,0,1,1,8.394888483e-15,0.053402813,ok,8.394888483e-15,5.413313027e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_path_neutral,F7,2000,path,neutral,1,NumericalError,39744,40004,0,3,1;19871;19872,3.889087297e-01,864.075997319,unchecked,5.085072728e-04,3.889087297e-01,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_path_physics,F7,2000,path,physics,1,Optimal,9,1396,0,2,8;1,2.290368834e-10,40.244467029,ok,2.290368834e-10,3.198552534e-13,0.000000000e+00,1.099753136e-16,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_path_corrupted,F7,2000,path,corrupted,1,NumericalError,39783,40000,0,2,19911;19872,9.843817033e-02,936.464836892,unchecked,5.402058407e-03,9.843817033e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_path_activity,F7,2000,path,activity,1,Optimal,8,1505,0,2,7;1,3.049823008e-09,38.223965608,ok,3.049823008e-09,3.083511224e-11,0.000000000e+00,1.062254726e-14,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n2000_path_warm,F7,2000,path,warm,1,Optimal,7,1615,0,3,5;1;1,4.904192017e-12,54.250360863,ok,4.904192017e-12,2.574829239e-12,0.000000000e+00,8.717616647e-16,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_bound_neutral,F7,5000,bound,neutral,0,Optimal,1,2,0,1,1,3.150169372e-13,0.150612782,ok,3.150169372e-13,9.692247005e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_bound_physics,F7,5000,bound,physics,0,Optimal,1,2,0,1,1,5.167993121e-16,0.152317964,ok,5.167993121e-16,1.124182128e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_bound_corrupted,F7,5000,bound,corrupted,0,Optimal,1,2,0,1,1,4.592201604e-14,0.137611597,ok,4.592201604e-14,1.352677735e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_bound_activity,F7,5000,bound,activity,0,Optimal,1,2,0,1,1,5.167993121e-16,0.148494961,ok,5.167993121e-16,1.124182128e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_bound_warm,F7,5000,bound,warm,0,Optimal,1,2,0,1,1,2.098299057e-14,0.134525850,ok,2.098299057e-14,1.351100221e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_path_neutral,F7,5000,path,neutral,0,NumericalError,39744,40004,0,3,1;19871;19872,3.889087297e-01,2249.416772644,unchecked,2.032099408e-04,3.889087297e-01,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_path_physics,F7,5000,path,physics,0,Optimal,19,3656,0,2,18;1,1.450679404e-10,318.920202129,ok,1.450679404e-10,3.049782649e-13,0.000000000e+00,4.251108679e-17,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_path_corrupted,F7,5000,path,corrupted,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n5000_path_activity,F7,5000,path,activity,0,Optimal,24,5250,0,2,23;1,1.890160860e-09,414.781268200,ok,1.890160860e-09,2.878031147e-11,0.000000000e+00,3.959485012e-15,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n5000_path_warm,F7,5000,path,warm,0,NumericalError,39744,40000,0,2,19872;19872,3.889087297e-01,2140.924324289,unchecked,2.032099408e-04,3.889087297e-01,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n10000_bound_neutral,F7,10000,bound,neutral,0,Optimal,1,2,0,1,1,6.300386632e-13,0.312343937,ok,6.300386632e-13,1.938268610e-13,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n10000_bound_physics,F7,10000,bound,physics,0,Optimal,1,2,0,1,1,1.016558709e-15,0.303608004,ok,1.016558709e-15,1.126316651e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n10000_bound_corrupted,F7,10000,bound,corrupted,0,Optimal,1,2,0,1,1,9.189170502e-14,0.292810709,ok,9.189170502e-14,2.698329841e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n10000_bound_activity,F7,10000,bound,activity,0,Optimal,1,2,0,1,1,1.016558709e-15,0.312810625,ok,1.016558709e-15,1.126316651e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n10000_bound_warm,F7,10000,bound,warm,0,Optimal,1,2,0,1,1,4.196023677e-14,0.309914987,ok,4.196023677e-14,2.696955615e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n10000_path_neutral,F7,10000,path,neutral,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_path_physics,F7,10000,path,physics,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_path_corrupted,F7,10000,path,corrupted,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_path_activity,F7,10000,path,activity,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_path_warm,F7,10000,path,warm,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_bound_neutral,F7,20000,bound,neutral,0,Optimal,1,2,0,1,1,1.259925400e-12,0.650301051,ok,1.259925400e-12,3.876253973e-13,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n20000_bound_physics,F7,20000,bound,physics,0,Optimal,1,2,0,1,1,2.015851318e-15,0.653048591,ok,2.015851318e-15,1.119235455e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n20000_bound_corrupted,F7,20000,bound,corrupted,0,Optimal,1,2,0,1,1,1.838067080e-13,0.626846171,ok,1.838067080e-13,5.392297123e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n20000_bound_activity,F7,20000,bound,activity,0,Optimal,1,2,0,1,1,2.015851318e-15,0.649709445,ok,2.015851318e-15,1.119235455e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n20000_bound_warm,F7,20000,bound,warm,0,Optimal,1,2,0,1,1,8.390643321e-14,0.622655519,ok,8.390643321e-14,5.392756554e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n20000_path_neutral,F7,20000,path,neutral,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_path_physics,F7,20000,path,physics,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_path_corrupted,F7,20000,path,corrupted,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_path_activity,F7,20000,path,activity,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_path_warm,F7,20000,path,warm,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n800_path_neutral,F7,800,path,neutral,1,Optimal,29222,30165,0,5,1;19872;9347;1;1,1.874362887e-10,308.737193384,ok,1.061788069e-10,1.874362887e-10,0.000000000e+00,1.587439273e-13,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n800_path_physics,F7,800,path,physics,1,Optimal,6,481,0,2,5;1,4.777161948e-10,5.371086527,ok,4.777161948e-10,3.246292124e-13,0.000000000e+00,2.824592275e-16,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n800_path_corrupted,F7,800,path,corrupted,1,Optimal,14,1795,0,3,12;1;1,8.379326530e-12,22.871500802,ok,8.379326530e-12,2.697841950e-13,0.000000000e+00,2.335280406e-16,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
f7_n800_path_activity,F7,800,path,activity,1,Optimal,3,385,0,2,2;1,6.914598890e-09,3.996703363,ok,6.914598890e-09,3.328171072e-11,0.000000000e+00,2.867421689e-14,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0
