# U0 old-vs-new walk-census per-cell delta (all 57 cells).
# old = bench/baselines/2026-08-06-corpus/walk_baseline.csv (pre-U0 baseline of record).
# new = bench/baselines/2026-08-16-u0-corpus/walk_baseline.csv (= census run 1 rows).
# run1_run2_asserted_agree compares run 1 and run 2 on the 13 asserted columns.
# totals: status flips 0/57; cells with counter movement 0/57;
#         cells with a kkt_residual string change 41/57.
# wall_s is deliberately absent: it is co-run scheduling-dependent and asserts nothing.
cell_id,status_old,status_new,status_flip,factorizations_old,factorizations_new,qp_minors_old,qp_minors_new,escapes_old,escapes_new,qp_subproblems_old,qp_subproblems_new,qp_fact_per_qp_old,qp_fact_per_qp_new,counter_delta,kkt_residual_old,kkt_residual_new,kkt_log10_ratio,run1_run2_asserted_agree
f7_n10000_bound_activity,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,1.016558709e-15,1.016559106e-15,+1.696e-07,byte-agreed
f7_n10000_bound_corrupted,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,9.189170502e-14,9.189172314e-14,+8.564e-08,byte-agreed
f7_n10000_bound_neutral,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,6.300386632e-13,6.300386629e-13,-2.068e-10,byte-agreed
f7_n10000_bound_physics,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,1.016558709e-15,1.016559106e-15,+1.696e-07,byte-agreed
f7_n10000_bound_warm,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,4.196023677e-14,4.196022966e-14,-7.359e-08,byte-agreed
f7_n10000_path_activity,dnf_budget,dnf_budget,no,-1,-1,-1,-1,-1,-1,-1,-1,"","",unmoved,-1.0,-1.0,n/a,byte-agreed
f7_n10000_path_corrupted,dnf_setup,dnf_setup,no,-1,-1,-1,-1,-1,-1,-1,-1,"","",unmoved,-1.0,-1.0,n/a,byte-agreed
f7_n10000_path_neutral,dnf_budget,dnf_budget,no,-1,-1,-1,-1,-1,-1,-1,-1,"","",unmoved,-1.0,-1.0,n/a,byte-agreed
f7_n10000_path_physics,Optimal,Optimal,no,8798,8798,19311,19311,0,0,2,2,"8797;1","8797;1",unmoved,1.399679852e-10,1.399675305e-10,-1.411e-06,byte-agreed
f7_n10000_path_warm,dnf_setup,dnf_setup,no,-1,-1,-1,-1,-1,-1,-1,-1,"","",unmoved,-1.0,-1.0,n/a,byte-agreed
f7_n1000_bound_activity,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,1.167130933e-16,1.168049964e-16,+3.418e-04,byte-agreed
f7_n1000_bound_corrupted,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,9.157896609e-15,9.157873527e-15,-1.095e-06,byte-agreed
f7_n1000_bound_neutral,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,6.295816157e-14,6.295832335e-14,+1.116e-06,byte-agreed
f7_n1000_bound_physics,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,1.167130933e-16,1.168049964e-16,+3.418e-04,byte-agreed
f7_n1000_bound_warm,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,4.198645758e-15,4.198558725e-15,-9.003e-06,byte-agreed
f7_n1000_path_activity,Optimal,Optimal,no,4,4,548,548,0,0,2,2,"3;1","3;1",unmoved,5.823990462e-09,5.823994991e-09,+3.377e-07,byte-agreed
f7_n1000_path_corrupted,Optimal,Optimal,no,2976,2976,4049,4049,0,0,3,3,"2974;1;1","2974;1;1",unmoved,8.134198393e-12,8.134399458e-12,+1.073e-05,byte-agreed
f7_n1000_path_neutral,Optimal,Optimal,no,9951,9951,11043,11043,0,0,4,4,"1;9948;1;1","1;9948;1;1",unmoved,1.875413158e-10,1.875412048e-10,-2.570e-07,byte-agreed
f7_n1000_path_physics,Optimal,Optimal,no,5,5,623,623,0,0,2,2,"4;1","4;1",unmoved,4.067572955e-10,4.067571900e-10,-1.126e-07,byte-agreed
f7_n1000_path_warm,Optimal,Optimal,no,2,2,12,12,0,0,2,2,"1;1","1;1",unmoved,3.364059716e-10,3.364060441e-10,+9.360e-08,byte-agreed
