# U0 P-BENCH old-vs-new. B2's 17-cell --engine ssn wall set, 4 reps per arm, median reported.
# STRICTLY SERIAL: one solve at a time, pinned to CPU 2, MKL_NUM_THREADS=1, machine otherwise idle.
# These are the event's only quotable timings (CLAUDE.md section 7).
# old arm: 8e2cbd0 clean Release build, 2026-08-16T00:08:58 -> 00:36:47 -04:00 (BEFORE the flags commit).
# new arm: 39a27c9 clean Release build, 2026-08-16T21:03:11 -> 21:31:19 -04:00. Same machine, same conditions.
# host: fedora, AMD Ryzen 7 5800X3D 8C/16T, 31 GiB, Linux 7.1.5-201.fc44, governor powersave; clang 22.1.8; MKL LP64.
# counters_identical compares columns 0..11 (every integer counter, the status, and the per-QP shape);
#   kkt_residual (col 12) moved in its last digits on all 17 cells and is excluded from that column.
# bench_scale --self-check: PASSED on both arms, byte-identical output.
cell_id,old_r1_s,old_r2_s,old_r3_s,old_r4_s,old_median_s,new_r1_s,new_r2_s,new_r3_s,new_r4_s,new_median_s,median_delta_pct,counters_identical
f7_n750_path_neutral_control,0.269482,0.268525,0.267820,0.267770,0.268172,0.269972,0.269395,0.269724,0.278210,0.269848,+0.62,yes
f7_n800_path_neutral,0.315631,0.315843,0.315149,0.314790,0.315390,0.317560,0.317487,0.317241,0.329454,0.317524,+0.68,yes
f7_n800_path_corrupted,0.190072,0.189051,0.188959,0.189096,0.189074,0.191136,0.190346,0.190569,0.197063,0.190852,+0.94,yes
f7_n800_path_warm,0.160361,0.159579,0.159646,0.159540,0.159612,0.160797,0.161036,0.160956,0.166547,0.160996,+0.87,yes
f7_n800_path_physics,5.144014,5.137487,5.139038,5.131377,5.138262,5.056638,5.063084,5.063247,5.248851,5.063165,-1.46,yes
f7_n800_path_activity,3.870986,3.869771,3.867440,3.864266,3.868606,3.816510,3.804059,3.804121,3.827666,3.810316,-1.51,yes
f7_n825_path_neutral_control,0.325185,0.325107,0.324684,0.324512,0.324896,0.326767,0.326960,0.327922,0.327127,0.327043,+0.66,yes
f7_n1000_path_neutral,0.321931,0.321774,0.321814,0.321788,0.321801,0.324592,0.324132,0.324119,0.324522,0.324327,+0.78,yes
f7_n1000_path_corrupted,0.254447,0.254885,0.254163,0.254439,0.254443,0.257873,0.256422,0.257269,0.256595,0.256932,+0.98,yes
f7_n1000_path_warm,0.258573,0.258888,0.258732,0.258731,0.258732,0.260597,0.260349,0.260681,0.260688,0.260639,+0.74,yes
f7_n1000_path_physics,8.729449,8.706702,8.687515,8.707535,8.707118,8.531405,8.516472,8.526263,8.528342,8.527302,-2.07,yes
f7_n1000_path_activity,7.060868,7.062091,7.037948,7.051178,7.056023,6.921349,6.908274,6.917373,6.915938,6.916655,-1.98,yes
f7_n2000_path_corrupted,0.694421,0.694265,0.692820,0.692760,0.693543,0.697171,0.698664,0.698803,0.698369,0.698516,+0.72,yes
f7_n2000_path_warm,0.274442,0.274067,0.273801,0.276076,0.274255,0.277192,0.276903,0.284298,0.276754,0.277048,+1.02,yes
f7_n5000_path_activity,1.217753,1.209889,1.209401,1.210171,1.210030,1.220444,1.218745,1.234031,1.217666,1.219594,+0.79,yes
f7_n10000_path_activity,1.996157,1.987692,1.988714,1.992097,1.990406,2.014188,2.014741,2.073699,2.009269,2.014464,+1.21,yes
f7_n20000_path_activity,4.397161,4.396611,4.388644,4.387703,4.392627,4.427950,4.440583,4.619420,4.446049,4.443316,+1.15,yes
POOLED,,,,,35.422989,,,,,35.078538,-0.97,
