# hven_sqp_corpus provenance
# binary: f07184b171d4
# schema: 37
# budget_table_hash: 0x357aee91dee27391
# invocation: /home/ghecht/Projects/hven/.scratch/task-3/basebuild/bench/hven_sqp_corpus --engine ssn --cells f7_n800_path_neutral,f7_n800_path_physics,f7_n800_path_corrupted,f7_n800_path_activity,f7_n800_path_warm,f7_n750_path_neutral_control,f7_n825_path_neutral_control,f7_n1000_bound_neutral,f7_n1000_bound_physics,f7_n1000_bound_corrupted,f7_n1000_bound_activity,f7_n1000_bound_warm,f7_n1000_path_neutral,f7_n1000_path_physics,f7_n1000_path_corrupted,f7_n1000_path_activity,f7_n1000_path_warm --csv /home/ghecht/Projects/hven/.scratch/task-3/corpus/runs/ssn17_base_3.csv
# MKL_NUM_THREADS: 1
# host: fedora
# generated: 2026-08-21T22:37:00Z
cell_id,family,n_nodes,window,taxonomy,degenerate,status,factorizations,qp_minors,escapes,qp_subproblems,qp_fact_per_qp,kkt_residual,wall_s,kkt_verdict,kkt_stationarity,kkt_primal,kkt_dual_sign,kkt_complementarity,dual_scale,x_scale,neg_ineq_duals,ssn_iters,ssn_bulk_flips,ssn_backtracks,ssn_prox_updates,ssn_uncertain_peak,ssn_refinements,ssn_refine_refused,ssn_refine_facts,ssn_refine_neg_duals,esc_budget,esc_singular,esc_no_contraction,esc_infeasible_suspect,esc_indefinite,esc_gate_refused
f7_n800_path_neutral,F7,800,path,neutral,1,Optimal,43,0,0,4,3;27;9;4,5.792575308e-10,0.321240177,ok,9.548392835e-11,5.792575308e-10,7.587912561e-07,1.598111976e-13,1.000000000e+00,1.000000000e+00,2,35,14,102,1,0,3,1,4,2,0,0,0,0,0,0
f7_n800_path_physics,F7,800,path,physics,1,Optimal,38,479,1,2,5;8,9.288310865e-10,5.036960878,ok,9.288310865e-10,5.935203440e-10,1.073923151e-06,2.600531809e-15,1.000000000e+00,1.000000000e+00,1,31,21,53,1,0,1,0,1,1,1,0,0,0,0,0
f7_n800_path_corrupted,F7,800,path,corrupted,1,Optimal,28,0,0,3,13;11;4,5.679295922e-10,0.192440128,ok,8.549374045e-12,5.679295922e-10,5.861225402e-07,2.544838770e-16,1.000000000e+00,1.000000000e+00,1,22,17,9,0,0,3,0,3,3,0,0,0,0,0,0
f7_n800_path_activity,F7,800,path,activity,1,Optimal,39,383,1,3,2;8;4,1.108432124e-09,3.810632946,ok,1.213254614e-14,1.108432124e-09,0.000000000e+00,2.147616518e-15,1.000000000e+00,1.000000000e+00,0,31,15,177,2,0,2,0,2,1,1,0,0,0,0,0
f7_n800_path_warm,F7,800,path,warm,1,Optimal,24,0,0,2,11;13,5.017598448e-09,0.162602584,ok,1.759577520e-09,5.017598448e-09,0.000000000e+00,1.241564922e-14,1.000000000e+00,1.000000000e+00,0,20,12,21,0,0,0,2,2,0,0,0,0,0,0,0
f7_n750_path_neutral_control,F7,750,path,neutral,0,Optimal,38,0,0,4,3;23;8;4,7.142518799e-10,0.271731019,ok,9.449972754e-11,7.142518799e-10,8.236724408e-07,1.709131764e-13,1.000000000e+00,1.000000000e+00,3,30,14,57,1,0,3,1,4,6,0,0,0,0,0,0
f7_n825_path_neutral_control,F7,825,path,neutral,0,Optimal,42,0,0,4,3;24;11;4,5.181989282e-10,0.329260658,ok,1.066598873e-10,5.181989282e-10,4.713567141e-07,1.541354917e-13,1.000000000e+00,1.000000000e+00,1,32,16,100,3,0,3,1,4,4,0,0,0,0,0,0
f7_n1000_bound_neutral,F7,1000,bound,neutral,0,Optimal,3,0,0,1,3,6.295832335e-14,0.064383584,ok,6.295832335e-14,1.937883159e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
f7_n1000_bound_physics,F7,1000,bound,physics,0,Optimal,3,0,0,1,3,1.168049964e-16,0.064101766,ok,1.168049964e-16,1.079633839e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
f7_n1000_bound_corrupted,F7,1000,bound,corrupted,0,Optimal,3,0,0,1,3,9.157873527e-15,0.031939033,ok,9.157873527e-15,2.734932492e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
