cell_id,kkt_stationarity,kkt_complementarity,kkt_primal,ms_stationarity,ms_complementarity,ms_primal,verdict_equal
f7_n10000_bound_activity,1.016559106e-15,0.000000000e+00,1.151644575e-16,1.016559106e-15,0.000000000e+00,1.151644575e-16,1
f7_n10000_bound_corrupted,9.189172314e-14,0.000000000e+00,2.698456180e-14,9.189172314e-14,0.000000000e+00,2.698456180e-14,1
f7_n10000_bound_neutral,6.300386629e-13,0.000000000e+00,1.938683814e-13,6.300386629e-13,0.000000000e+00,1.938683814e-13,1
f7_n10000_bound_physics,1.016559106e-15,0.000000000e+00,1.151644575e-16,1.016559106e-15,0.000000000e+00,1.151644575e-16,1
f7_n10000_bound_warm,4.196022966e-14,0.000000000e+00,2.701549016e-14,4.196022966e-14,0.000000000e+00,2.701549016e-14,1
f7_n10000_path_physics,1.399675305e-10,1.955907544e-17,2.856603842e-13,1.399675305e-10,1.955907544e-17,2.856603842e-13,1
f7_n1000_bound_activity,1.168049964e-16,0.000000000e+00,1.079633839e-16,1.168049964e-16,0.000000000e+00,1.079633839e-16,1
f7_n1000_bound_corrupted,9.157873527e-15,0.000000000e+00,2.734932492e-15,9.157873527e-15,0.000000000e+00,2.734932492e-15,1
f7_n1000_bound_neutral,6.295832335e-14,0.000000000e+00,1.937883159e-14,6.295832335e-14,0.000000000e+00,1.937883159e-14,1
f7_n1000_bound_physics,1.168049964e-16,0.000000000e+00,1.079633839e-16,1.168049964e-16,0.000000000e+00,1.079633839e-16,1
f7_n1000_bound_warm,4.198558725e-15,0.000000000e+00,2.759659681e-15,4.198558725e-15,0.000000000e+00,2.759659681e-15,1
f7_n1000_path_activity,5.823994991e-09,2.275489574e-14,3.300670848e-11,5.823994991e-09,2.275489574e-14,3.300670848e-11,1
f7_n1000_path_corrupted,8.134399458e-12,2.135826378e-16,3.509414981e-13,8.134399458e-12,2.135826378e-16,3.509414981e-13,1
f7_n1000_path_neutral,9.945804538e-11,1.270349276e-13,1.875412048e-10,9.945804538e-11,1.270349276e-13,1.875412048e-10,1
f7_n1000_path_physics,4.067571900e-10,2.216922906e-16,3.210764987e-13,4.067571899e-10,2.216922906e-16,3.210764987e-13,1
f7_n1000_path_warm,3.364060441e-10,1.081515277e-15,4.445677160e-11,3.364060441e-10,1.081515277e-15,4.445677160e-11,1
f7_n20000_bound_activity,2.015847636e-15,0.000000000e+00,1.365272909e-16,2.015847636e-15,0.000000000e+00,1.365272909e-16,1
