arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
serial,1,base,60,15,0.002415,0.002315,0,1.3750963021836506
serial,1,base,120,15,0.007991,0.007570,0,2.7501926043856093
serial,1,base,240,15,0.038019,0.037530,0,5.5003852082409646
serial,1,head,60,15,0.002426,0.002320,0,1.3750963021836506
serial,1,head,120,15,0.008098,0.007911,0,2.7501926043856093
serial,1,head,240,15,0.038633,0.038489,0,5.5003852082409646
serial,2,base,60,15,0.002318,0.002299,0,1.3750963021836506
serial,2,base,120,15,0.007805,0.007395,0,2.7501926043856093
serial,2,base,240,15,0.036450,0.036257,0,5.5003852082409646
serial,2,head,60,15,0.002371,0.002320,0,1.3750963021836506
serial,2,head,120,15,0.007825,0.007486,0,2.7501926043856093
serial,2,head,240,15,0.037170,0.037040,0,5.5003852082409646
serial,3,base,60,15,0.002343,0.002306,0,1.3750963021836506
serial,3,base,120,15,0.007756,0.007398,0,2.7501926043856093
serial,3,base,240,15,0.036407,0.036174,0,5.5003852082409646
serial,3,head,60,15,0.002394,0.002321,0,1.3750963021836506
serial,3,head,120,15,0.007795,0.007508,0,2.7501926043856093
serial,3,head,240,15,0.037098,0.036977,0,5.5003852082409646
serial,4,base,60,15,0.002336,0.002296,0,1.3750963021836506
serial,4,base,120,15,0.007658,0.007386,0,2.7501926043856093
serial,4,base,240,15,0.036484,0.036144,0,5.5003852082409646
serial,4,head,60,15,0.002380,0.002307,0,1.3750963021836506
serial,4,head,120,15,0.007778,0.007477,0,2.7501926043856093
serial,4,head,240,15,0.037168,0.037025,0,5.5003852082409646
serial,5,base,60,15,0.002340,0.002298,0,1.3750963021836506
serial,5,base,120,15,0.007716,0.007336,0,2.7501926043856093
serial,5,base,240,15,0.036401,0.036221,0,5.5003852082409646
serial,5,head,60,15,0.002383,0.002329,0,1.3750963021836506
serial,5,head,120,15,0.007812,0.007418,0,2.7501926043856093
serial,5,head,240,15,0.037235,0.037055,0,5.5003852082409646
serial,6,base,60,15,0.002360,0.002311,0,1.3750963021836506
serial,6,base,120,15,0.007667,0.007396,0,2.7501926043856093
serial,6,base,240,15,0.036636,0.036280,0,5.5003852082409646
serial,6,head,60,15,0.002421,0.002316,0,1.3750963021836506
serial,6,head,120,15,0.008195,0.007717,0,2.7501926043856093
serial,6,head,240,15,0.038798,0.038654,0,5.5003852082409646
serial,7,base,60,15,0.002450,0.002318,0,1.3750963021836506
serial,7,base,120,15,0.008077,0.007734,0,2.7501926043856093
serial,7,base,240,15,0.037962,0.037424,0,5.5003852082409646
