arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
serial,1,base,60,15,0.002230,0.002206,0,1.3750963021836506
serial,1,base,120,15,0.007289,0.007234,0,2.7501926043856093
serial,1,base,240,15,0.037211,0.036843,0,5.5003852082409646
serial,1,head,60,15,0.002317,0.002288,0,1.3750963021836506
serial,1,head,120,15,0.007627,0.007368,0,2.7501926043856093
serial,1,head,240,15,0.036267,0.035943,0,5.5003852082409646
serial,2,base,60,15,0.002235,0.002201,0,1.3750963021836506
serial,2,base,120,15,0.007346,0.007247,0,2.7501926043856093
serial,2,base,240,15,0.037306,0.036766,0,5.5003852082409646
serial,2,head,60,15,0.002339,0.002296,0,1.3750963021836506
serial,2,head,120,15,0.007706,0.007321,0,2.7501926043856093
serial,2,head,240,15,0.036454,0.035939,0,5.5003852082409646
serial,3,base,60,15,0.002263,0.002210,0,1.3750963021836506
serial,3,base,120,15,0.007300,0.007213,0,2.7501926043856093
serial,3,base,240,15,0.037259,0.037007,0,5.5003852082409646
serial,3,head,60,15,0.002354,0.002302,0,1.3750963021836506
serial,3,head,120,15,0.007753,0.007420,0,2.7501926043856093
serial,3,head,240,15,0.036590,0.036068,0,5.5003852082409646
serial,4,base,60,15,0.002229,0.002201,0,1.3750963021836506
serial,4,base,120,15,0.007326,0.007229,0,2.7501926043856093
serial,4,base,240,15,0.037427,0.037170,0,5.5003852082409646
serial,4,head,60,15,0.002320,0.002282,0,1.3750963021836506
serial,4,head,120,15,0.007678,0.007377,0,2.7501926043856093
serial,4,head,240,15,0.036216,0.035958,0,5.5003852082409646
serial,5,base,60,15,0.002213,0.002199,0,1.3750963021836506
serial,5,base,120,15,0.007257,0.007222,0,2.7501926043856093
serial,5,base,240,15,0.036971,0.036842,0,5.5003852082409646
serial,5,head,60,15,0.002343,0.002309,0,1.3750963021836506
serial,5,head,120,15,0.007693,0.007369,0,2.7501926043856093
serial,5,head,240,15,0.036359,0.036036,0,5.5003852082409646
serial,6,base,60,15,0.002229,0.002211,0,1.3750963021836506
serial,6,base,120,15,0.007269,0.007234,0,2.7501926043856093
serial,6,base,240,15,0.037211,0.036911,0,5.5003852082409646
serial,6,head,60,15,0.002331,0.002295,0,1.3750963021836506
serial,6,head,120,15,0.007716,0.007324,0,2.7501926043856093
serial,6,head,240,15,0.036329,0.035970,0,5.5003852082409646
serial,7,base,60,15,0.002215,0.002199,0,1.3750963021836506
serial,7,base,120,15,0.007246,0.007210,0,2.7501926043856093
serial,7,base,240,15,0.037133,0.036680,0,5.5003852082409646
serial,7,head,60,15,0.002321,0.002299,0,1.3750963021836506
serial,7,head,120,15,0.007814,0.007360,0,2.7501926043856093
serial,7,head,240,15,0.036745,0.036046,0,5.5003852082409646
serial,8,base,60,15,0.002251,0.002218,0,1.3750963021836506
serial,8,base,120,15,0.007265,0.007226,0,2.7501926043856093
serial,8,base,240,15,0.037164,0.036729,0,5.5003852082409646
serial,8,head,60,15,0.002326,0.002304,0,1.3750963021836506
serial,8,head,120,15,0.007718,0.007316,0,2.7501926043856093
serial,8,head,240,15,0.036562,0.036150,0,5.5003852082409646
serial,9,base,60,15,0.002420,0.002214,0,1.3750963021836506
serial,9,base,120,15,0.007728,0.007262,0,2.7501926043856093
serial,9,base,240,15,0.039505,0.038698,0,5.5003852082409646
serial,9,head,60,15,0.002338,0.002308,0,1.3750963021836506
serial,9,head,120,15,0.008304,0.007372,0,2.7501926043856093
serial,9,head,240,15,0.036339,0.036055,0,5.5003852082409646
threaded,1,base,60,15,0.002153,0.002064,0,1.3750963021836506
threaded,1,base,120,15,0.007462,0.007035,0,2.7501926043856093
threaded,1,base,240,15,0.035693,0.035113,0,5.5003852082409646
threaded,1,head,60,15,0.002818,0.002153,0,1.3750963021836506
threaded,1,head,120,15,0.007790,0.007177,0,2.7501926043856093
threaded,1,head,240,15,0.035160,0.034705,0,5.5003852082409646
threaded,2,base,60,15,0.002666,0.002064,0,1.3750963021836506
threaded,2,base,120,15,0.007197,0.007080,0,2.7501926043856093
threaded,2,base,240,15,0.035390,0.035067,0,5.5003852082409646
threaded,2,head,60,15,0.002192,0.002159,0,1.3750963021836506
threaded,2,head,120,15,0.007578,0.007197,0,2.7501926043856093
threaded,2,head,240,15,0.034981,0.034365,0,5.5003852082409646
threaded,3,base,60,15,0.002143,0.002061,0,1.3750963021836506
threaded,3,base,120,15,0.007182,0.007076,0,2.7501926043856093
threaded,3,base,240,15,0.037300,0.035176,0,5.5003852082409646
threaded,3,head,60,15,0.002197,0.002160,0,1.3750963021836506
threaded,3,head,120,15,0.007629,0.007163,0,2.7501926043856093
threaded,3,head,240,15,0.034910,0.034303,0,5.5003852082409646
threaded,4,base,60,15,0.002116,0.002063,0,1.3750963021836506
threaded,4,base,120,15,0.007151,0.007048,0,2.7501926043856093
threaded,4,base,240,15,0.035758,0.035192,0,5.5003852082409646
threaded,4,head,60,15,0.002255,0.002158,0,1.3750963021836506
threaded,4,head,120,15,0.007647,0.007177,0,2.7501926043856093
threaded,4,head,240,15,0.034876,0.034275,0,5.5003852082409646
threaded,5,base,60,15,0.002197,0.002067,0,1.3750963021836506
threaded,5,base,120,15,0.007176,0.007033,0,2.7501926043856093
threaded,5,base,240,15,0.035694,0.035080,0,5.5003852082409646
threaded,5,head,60,15,0.002237,0.002150,0,1.3750963021836506
threaded,5,head,120,15,0.007822,0.007168,0,2.7501926043856093
threaded,5,head,240,15,0.034636,0.034347,0,5.5003852082409646
threaded,6,base,60,15,0.002071,0.002051,0,1.3750963021836506
threaded,6,base,120,15,0.007121,0.007029,0,2.7501926043856093
threaded,6,base,240,15,0.034918,0.034643,0,5.5003852082409646
threaded,6,head,60,15,0.002191,0.002148,0,1.3750963021836506
threaded,6,head,120,15,0.007530,0.007096,0,2.7501926043856093
threaded,6,head,240,15,0.034001,0.033899,0,5.5003852082409646
threaded,7,base,60,15,0.002079,0.002053,0,1.3750963021836506
threaded,7,base,120,15,0.007079,0.007037,0,2.7501926043856093
threaded,7,base,240,15,0.034988,0.034712,0,5.5003852082409646
threaded,7,head,60,15,0.002817,0.002806,0,1.3750963021836506
threaded,7,head,120,15,0.007603,0.007129,0,2.7501926043856093
threaded,7,head,240,15,0.034256,0.033872,0,5.5003852082409646
threaded,8,base,60,15,0.002069,0.002053,0,1.3750963021836506
threaded,8,base,120,15,0.007137,0.007023,0,2.7501926043856093
threaded,8,base,240,15,0.034855,0.034646,0,5.5003852082409646
