arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
serial,1,base,60,15,0.002228,0.002203,0,1.3750963021836506
serial,1,base,120,15,0.007274,0.007210,0,2.7501926043856093
serial,1,base,240,15,0.037094,0.036797,0,5.5003852082409646
serial,1,head,60,15,0.002343,0.002323,0,1.3750963021836506
serial,1,head,120,15,0.007799,0.007452,0,2.7501926043856093
serial,1,head,240,15,0.037069,0.036979,0,5.5003852082409646
serial,2,base,60,15,0.002212,0.002202,0,1.3750963021836506
serial,2,base,120,15,0.007253,0.007214,0,2.7501926043856093
serial,2,base,240,15,0.037034,0.036852,0,5.5003852082409646
serial,2,head,60,15,0.002342,0.002328,0,1.3750963021836506
serial,2,head,120,15,0.007780,0.007481,0,2.7501926043856093
serial,2,head,240,15,0.037057,0.036908,0,5.5003852082409646
serial,3,base,60,15,0.002229,0.002209,0,1.3750963021836506
serial,3,base,120,15,0.007288,0.007226,0,2.7501926043856093
serial,3,base,240,15,0.037067,0.036863,0,5.5003852082409646
serial,3,head,60,15,0.002348,0.002322,0,1.3750963021836506
serial,3,head,120,15,0.007797,0.007461,0,2.7501926043856093
serial,3,head,240,15,0.037086,0.036944,0,5.5003852082409646
serial,4,base,60,15,0.002227,0.002203,0,1.3750963021836506
serial,4,base,120,15,0.007261,0.007231,0,2.7501926043856093
serial,4,base,240,15,0.036944,0.036782,0,5.5003852082409646
serial,4,head,60,15,0.002343,0.002327,0,1.3750963021836506
serial,4,head,120,15,0.007817,0.007419,0,2.7501926043856093
serial,4,head,240,15,0.036960,0.036901,0,5.5003852082409646
serial,5,base,60,15,0.002225,0.002197,0,1.3750963021836506
serial,5,base,120,15,0.007261,0.007187,0,2.7501926043856093
serial,5,base,240,15,0.037055,0.036764,0,5.5003852082409646
serial,5,head,60,15,0.002329,0.002313,0,1.3750963021836506
serial,5,head,120,15,0.007793,0.007402,0,2.7501926043856093
serial,5,head,240,15,0.037076,0.036960,0,5.5003852082409646
serial,6,base,60,15,0.002234,0.002208,0,1.3750963021836506
serial,6,base,120,15,0.007319,0.007262,0,2.7501926043856093
serial,6,base,240,15,0.036824,0.036720,0,5.5003852082409646
serial,6,head,60,15,0.002335,0.002314,0,1.3750963021836506
serial,6,head,120,15,0.007777,0.007480,0,2.7501926043856093
serial,6,head,240,15,0.037006,0.036896,0,5.5003852082409646
serial,7,base,60,15,0.002215,0.002197,0,1.3750963021836506
serial,7,base,120,15,0.007245,0.007200,0,2.7501926043856093
serial,7,base,240,15,0.037308,0.036894,0,5.5003852082409646
serial,7,head,60,15,0.002349,0.002325,0,1.3750963021836506
serial,7,head,120,15,0.007806,0.007455,0,2.7501926043856093
serial,7,head,240,15,0.037135,0.036999,0,5.5003852082409646
serial,8,base,60,15,0.002239,0.002198,0,1.3750963021836506
serial,8,base,120,15,0.007269,0.007223,0,2.7501926043856093
serial,8,base,240,15,0.037194,0.036833,0,5.5003852082409646
serial,8,head,60,15,0.002343,0.002320,0,1.3750963021836506
serial,8,head,120,15,0.007817,0.007481,0,2.7501926043856093
serial,8,head,240,15,0.037095,0.037015,0,5.5003852082409646
serial,9,base,60,15,0.002219,0.002197,0,1.3750963021836506
