arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
serial,1,base,60,15,0.002238,0.002204,0,1.3750963021836506
serial,1,base,120,15,0.007280,0.007253,0,2.7501926043856093
serial,1,base,240,15,0.037117,0.036815,0,5.5003852082409646
serial,1,head,60,15,0.002353,0.002321,0,1.3750963021836506
serial,1,head,120,15,0.007784,0.007490,0,2.7501926043856093
serial,1,head,240,15,0.036930,0.036847,0,5.5003852082409646
serial,2,base,60,15,0.002233,0.002202,0,1.3750963021836506
serial,2,base,120,15,0.007260,0.007229,0,2.7501926043856093
serial,2,base,240,15,0.036931,0.036834,0,5.5003852082409646
serial,2,head,60,15,0.002345,0.002324,0,1.3750963021836506
serial,2,head,120,15,0.007753,0.007407,0,2.7501926043856093
serial,2,head,240,15,0.036991,0.036914,0,5.5003852082409646
serial,3,base,60,15,0.002242,0.002212,0,1.3750963021836506
serial,3,base,120,15,0.007274,0.007214,0,2.7501926043856093
serial,3,base,240,15,0.037053,0.036844,0,5.5003852082409646
serial,3,head,60,15,0.002339,0.002320,0,1.3750963021836506
serial,3,head,120,15,0.007731,0.007411,0,2.7501926043856093
serial,3,head,240,15,0.037033,0.036837,0,5.5003852082409646
serial,4,base,60,15,0.002250,0.002215,0,1.3750963021836506
serial,4,base,120,15,0.007307,0.007234,0,2.7501926043856093
serial,4,base,240,15,0.037233,0.036943,0,5.5003852082409646
serial,4,head,60,15,0.002356,0.002324,0,1.3750963021836506
serial,4,head,120,15,0.007859,0.007498,0,2.7501926043856093
serial,4,head,240,15,0.037148,0.037052,0,5.5003852082409646
serial,5,base,60,15,0.002224,0.002202,0,1.3750963021836506
serial,5,base,120,15,0.007291,0.007222,0,2.7501926043856093
serial,5,base,240,15,0.037006,0.036845,0,5.5003852082409646
serial,5,head,60,15,0.002337,0.002318,0,1.3750963021836506
serial,5,head,120,15,0.007788,0.007504,0,2.7501926043856093
serial,5,head,240,15,0.037165,0.037021,0,5.5003852082409646
serial,6,base,60,15,0.002325,0.002213,0,1.3750963021836506
serial,6,base,120,15,0.007773,0.007473,0,2.7501926043856093
serial,6,base,240,15,0.037329,0.037019,0,5.5003852082409646
serial,6,head,60,15,0.002392,0.002329,0,1.3750963021836506
serial,6,head,120,15,0.007848,0.007493,0,2.7501926043856093
serial,6,head,240,15,0.037191,0.037037,0,5.5003852082409646
serial,7,base,60,15,0.002257,0.002217,0,1.3750963021836506
serial,7,base,120,15,0.007321,0.007259,0,2.7501926043856093
