# hven_sqp_crossover provenance (M5 W5)
# leg: leg_a_ipm_only.csv
# binary: 8bd4b9d62ef0
# invocation: build-m5-release/bench/hven_sqp_crossover --cells f7_n1000_bound_neutral,f7_n1000_bound_physics,f7_n2000_bound_neutral,f7_n2000_bound_physics,f7_n5000_bound_neutral,f7_n5000_bound_physics,f7_n10000_bound_neutral,f7_n10000_bound_physics,f7_n20000_bound_neutral,f7_n20000_bound_physics,f7_n800_path_physics,f7_n1000_path_physics,f7_n2000_path_physics,f7_n750_path_neutral_control,f7_n825_path_neutral_control,f7_n1000_path_neutral,f7_n5000_path_physics,f7_n800_path_neutral,f7_n2000_path_neutral,f7_n5000_path_neutral,f7_n10000_path_physics,f7_n10000_path_neutral,f7_n20000_path_physics,f7_n20000_path_neutral --out-dir docs/notes/data/2026-08-m5-w5-crossover --deadline-seconds 1200
# MKL_NUM_THREADS: 1
# host: fedora
# generated: 2026-08-26T02:35:05Z
# per-cell wall deadline: 1200s (SIGKILL; a killed cell is a 'dnf_budget' row, not a missing one)
# execution: SERIAL -- one cell at a time, one solve at a time, no co-run arm.
# asserted currency: counters (majors, qp minors, factorizations). Every wall
#   column here is INFORMATIONAL and is never quoted as a measurement.
cell_id,n_nodes,window,taxonomy,n,me,mi,flag,ipm_iters,kkt_analyses,kkt_factorizations,kkt_solves,f,kkt_inf,econ_inf,icon_inf,barr_inf,export_has_polish,wall_s
f7_n1000_bound_neutral,1000,bound,neutral,5000,3000,1000,CONVERGED,7,1,7,7,-4.075173558e-01,4.165961184e-09,1.205772059e-16,0.000000000e+00,6.604566508e-10,1,1.239918
f7_n1000_bound_physics,1000,bound,physics,5000,3000,1000,CONVERGED,5,1,5,5,-4.075173558e-01,2.380795235e-10,1.106857103e-16,0.000000000e+00,3.669294146e-11,1,1.670791
f7_n2000_bound_neutral,2000,bound,neutral,10000,6000,2000,CONVERGED,8,1,8,8,-4.066533233e-01,2.634105959e-10,1.097630431e-16,0.000000000e+00,4.050917722e-11,1,1.474106
f7_n2000_bound_physics,2000,bound,physics,10000,6000,2000,CONVERGED,5,1,5,5,-4.066533233e-01,2.433700877e-10,1.085063040e-16,0.000000000e+00,3.733486557e-11,1,1.436668
f7_n5000_bound_neutral,5000,bound,neutral,25000,15000,5000,CONVERGED,8,1,8,8,-4.061354861e-01,6.437793964e-09,3.637384766e-15,0.000000000e+00,1.984376401e-09,1,2.038154
f7_n5000_bound_physics,5000,bound,physics,25000,15000,5000,CONVERGED,5,1,5,5,-4.061354862e-01,2.466487685e-10,1.081240007e-16,0.000000000e+00,3.783082487e-11,1,2.054251
f7_n10000_bound_neutral,10000,bound,neutral,50000,30000,10000,CONVERGED,9,1,9,9,-4.059629708e-01,4.384091675e-10,5.482174668e-16,0.000000000e+00,6.954131848e-11,1,3.014340
f7_n10000_bound_physics,10000,bound,physics,50000,30000,10000,CONVERGED,5,1,5,5,-4.059629708e-01,2.479467811e-10,1.103856437e-16,0.000000000e+00,3.801460695e-11,1,1.568514
f7_n20000_bound_neutral,20000,bound,neutral,100000,60000,20000,CONVERGED,9,1,9,9,-4.058767313e-01,5.551597102e-10,2.949248944e-15,0.000000000e+00,9.900664093e-11,1,4.292444
f7_n20000_bound_physics,20000,bound,physics,100000,60000,20000,CONVERGED,5,1,5,5,-4.058767313e-01,2.481461924e-10,1.123825025e-16,0.000000000e+00,3.803510500e-11,1,2.774358
f7_n800_path_physics,800,path,physics,4000,2400,800,CONVERGED,18,1,18,18,-1.019018960e+00,1.564287548e-12,1.436477190e-16,0.000000000e+00,3.214458044e-12,1,2.196265
f7_n1000_path_physics,1000,path,physics,5000,3000,1000,CONVERGED,18,1,18,18,-1.018524269e+00,1.378153916e-12,1.651370851e-16,0.000000000e+00,2.950784418e-12,1,3.385318
f7_n2000_path_physics,2000,path,physics,10000,6000,2000,CONVERGED,21,1,21,21,-1.017535863e+00,2.766502546e-12,1.590351610e-16,0.000000000e+00,4.918013686e-12,1,4.420792
f7_n750_path_neutral_control,750,path,neutral,3750,2250,750,CONVERGED,15,1,15,15,-1.019183929e+00,1.948240870e-12,1.067523400e-16,0.000000000e+00,3.849139506e-12,1,2.579156
f7_n825_path_neutral_control,825,path,neutral,4125,2475,825,CONVERGED,15,1,15,15,-1.018943986e+00,2.147634282e-12,2.047574124e-16,0.000000000e+00,4.140846518e-12,1,2.591413
f7_n1000_path_neutral,1000,path,neutral,5000,3000,1000,CONVERGED,15,1,15,15,-1.018524269e+00,2.309232189e-12,1.095233565e-16,0.000000000e+00,4.376688537e-12,1,2.839677
f7_n5000_path_physics,5000,path,physics,25000,15000,5000,CONVERGED,18,1,18,18,-1.016943441e+00,1.947135837e-12,1.265023985e-16,0.000000000e+00,3.757597381e-12,1,5.158195
f7_n800_path_neutral,800,path,neutral,4000,2400,800,CONVERGED,15,1,15,15,-1.019018960e+00,1.947688303e-12,1.970556224e-16,0.000000000e+00,3.848327107e-12,1,1.723145
f7_n2000_path_neutral,2000,path,neutral,10000,6000,2000,CONVERGED,16,1,16,16,-1.017535863e+00,7.511728988e-13,2.075206388e-16,0.000000000e+00,2.098177509e-12,1,3.493382
f7_n5000_path_neutral,5000,path,neutral,25000,15000,5000,CONVERGED,17,1,17,17,-1.016943441e+00,1.056472661e-12,1.149699885e-16,0.000000000e+00,2.496300480e-12,1,5.081165
f7_n10000_path_physics,10000,path,physics,50000,30000,10000,CONVERGED,22,1,22,22,-1.016746068e+00,9.583905810e-13,1.236776398e-16,0.000000000e+00,2.357455681e-12,1,6.981878
f7_n10000_path_neutral,10000,path,neutral,50000,30000,10000,CONVERGED,16,1,16,16,-1.016746067e+00,3.678302529e-12,3.379360766e-16,0.000000000e+00,6.211739325e-12,1,5.284106
f7_n20000_path_physics,20000,path,physics,100000,60000,20000,CONVERGED,21,1,21,21,-1.016647393e+00,2.515386965e-12,8.015805862e-16,0.000000000e+00,4.564187024e-12,1,8.032660
f7_n20000_path_neutral,20000,path,neutral,100000,60000,20000,CONVERGED,16,1,16,16,-1.016647393e+00,2.621735521e-12,7.961572833e-16,0.000000000e+00,4.714904832e-12,1,6.246855
