# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: sweep
# date (UTC): 2026-09-01T14:12:09Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# ipqp_init_mu: 1.000000e-02
# ipqp_hard_iter_cap: 60
# ipqp_converge_slack: 1.000000e+00
# wall_s is INFORMATIONAL (CLAUDE.md section 7).
id,layout,n,me,mi,active_fraction,margin_class,status,active_true,active_found,misclassified,uncertain,rule_a,rule_b,rule_a_missed,rule_a_false_positive,res_primal,res_dual,res_comp,x_err_inf,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
e1_f7_n4000_af01_m1e-2,scattered,20000,12000,4000,1.000000e-02,1.000000e-02,optimal,40,40,0,0,40,40,0,0,2.627898e-13,4.328502e-10,1.600973e-12,7.881848e-06,5.499336e-01,25,26,1,50,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.387669e-01,9.146412e-03,0,0
e1_f7_n4000_af01_m1e-4,scattered,20000,12000,4000,1.000000e-02,1.000000e-04,optimal,40,40,0,315,40,64,0,0,1.719631e-13,2.765806e-10,1.098936e-12,1.657900e-05,5.651352e-01,26,27,1,52,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,2.896629e-01,5.344606e-03,0,0
e1_f7_n4000_af01_m1e-6,scattered,20000,12000,4000,1.000000e-02,1.000000e-06,optimal,40,99,59,2788,40,1322,0,0,1.712276e-13,2.510198e-10,1.091534e-12,7.614819e-05,7.525000e-01,36,37,1,72,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,2788,0,0,0,0,0,0,0,0,0,0,0,2.209071e-01,2.717595e-03,0,0
e1_f7_n4000_af10_m1e-2,scattered,20000,12000,4000,1.000000e-01,1.000000e-02,optimal,400,400,0,0,399,400,1,0,3.176351e-10,8.084339e-10,3.961998e-12,4.536492e-05,4.474501e-01,20,21,1,40,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.904225e-01,1.018103e-01,0,0
e1_f7_n4000_af10_m1e-4,scattered,20000,12000,4000,1.000000e-01,1.000000e-04,optimal,400,400,0,263,400,401,0,0,6.343814e-13,9.532106e-10,1.389707e-12,1.137442e-05,4.865299e-01,22,23,1,44,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,3.785894e-01,5.768073e-02,0,0
e1_f7_n4000_af10_m1e-6,scattered,20000,12000,4000,1.000000e-01,1.000000e-06,optimal,400,605,205,2355,400,1576,0,0,5.370440e-12,4.366882e-10,1.030692e-12,1.467108e-04,5.791284e-01,27,28,1,54,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,13,0,0.000000e+00,0,0,0,0,2355,0,0,0,0,0,0,0,0,0,0,0,3.604735e-01,9.663907e-02,0,0
e1_f7_n4000_af30_m1e-2,scattered,20000,12000,4000,3.000000e-01,1.000000e-02,optimal,1200,1200,0,0,1200,1200,0,0,1.372316e-10,6.298578e-12,9.999942e-13,1.001301e-05,4.497684e-01,20,21,1,40,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.748508e-01,4.211847e-02,0,0
e1_f7_n4000_af30_m1e-4,scattered,20000,12000,4000,3.000000e-01,1.000000e-04,optimal,1200,1200,0,164,1200,1202,0,0,4.475309e-13,7.940111e-11,1.014950e-12,3.556926e-06,3.920846e-01,17,18,1,34,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,3.730156e-01,2.264647e-01,0,0
e1_f7_n4000_af30_m1e-6,scattered,20000,12000,4000,3.000000e-01,1.000000e-06,optimal,1200,1403,203,1786,1200,2108,0,0,4.007905e-14,1.450887e-12,1.022187e-12,8.364988e-05,4.481731e-01,20,21,1,40,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,12,0,0.000000e+00,0,0,0,0,1786,0,0,0,0,0,0,0,0,0,0,0,3.723673e-01,2.208591e-01,0,0
e1_f7_n20000_af01_m1e-2,scattered,100000,60000,20000,1.000000e-02,1.000000e-02,optimal,200,200,0,0,200,200,0,0,4.440892e-16,2.280183e-11,1.132428e-12,4.961909e-08,3.815849e+00,35,36,1,70,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244821e-01,3.630277e-03,0,0
