# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: sweep
# date (UTC): 2026-09-01T13:41:48Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# ipqp_init_mu: 1.000000e-01
# ipqp_hard_iter_cap: 60
# ipqp_converge_slack: 1.000000e+02
# wall_s is INFORMATIONAL (CLAUDE.md section 7).
id,layout,n,me,mi,active_fraction,margin_class,status,active_true,active_found,misclassified,uncertain,rule_a,rule_b,rule_a_missed,rule_a_false_positive,res_primal,res_dual,res_comp,x_err_inf,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
e1_f7_n4000_af01_m1e-2,scattered,20000,12000,4000,1.000000e-02,1.000000e-02,max_iter,40,106,66,76,92,285,0,52,6.163312e-04,1.080539e-04,7.596686e-10,3.456844e-01,1.197870e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,4,0,4,0,0.000000e+00,0,0,0,0,76,0,0,0,0,0,1,1,0,0,0,0,4.370176e-02,2.334176e-04,0,0
e1_f7_n4000_af01_m1e-4,scattered,20000,12000,4000,1.000000e-02,1.000000e-04,max_iter,40,703,664,2618,432,3999,3,395,1.106084e-04,3.169658e-04,8.582953e-08,3.604392e-01,1.188276e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,4,0,4,0,0.000000e+00,0,0,0,0,2618,0,0,0,0,0,1,1,0,0,0,0,6.477550e-02,3.191220e-04,0,0
e1_f7_n4000_af01_m1e-6,scattered,20000,12000,4000,1.000000e-02,1.000000e-06,max_iter,40,1144,1106,2743,819,3875,7,786,6.702511e-05,2.344063e-04,2.478987e-09,9.755422e-01,1.190749e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,5,0,5,0,0.000000e+00,0,0,0,0,2743,0,0,0,0,0,1,1,0,0,0,0,3.043931e-02,2.402065e-04,0,0
e1_f7_n4000_af10_m1e-2,scattered,20000,12000,4000,1.000000e-01,1.000000e-02,optimal,400,400,0,0,391,400,9,0,2.874947e-09,3.663601e-09,1.004551e-12,1.520361e-04,9.240151e-01,45,46,1,90,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.332139e-02,1.265166e-03,0,0
e1_f7_n4000_af10_m1e-4,scattered,20000,12000,4000,1.000000e-01,1.000000e-04,optimal,400,414,14,2060,326,2907,74,0,9.392476e-09,2.039291e-08,1.290641e-09,7.586047e-04,8.082416e-01,39,40,1,78,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,7.701447e-02,6.446997e-03,0,0
e1_f7_n4000_af10_m1e-6,scattered,20000,12000,4000,1.000000e-01,1.000000e-06,max_iter,400,3271,2871,729,1456,4000,12,1068,3.480401e-05,1.118965e-04,2.526854e-08,2.952620e-01,1.184613e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,5,0,5,0,0.000000e+00,0,0,0,0,729,0,0,0,0,0,1,1,0,0,0,0,2.513668e-02,1.536006e-04,0,0
e1_f7_n4000_af30_m1e-2,scattered,20000,12000,4000,3.000000e-01,1.000000e-02,optimal,1200,1200,0,0,1081,1200,119,0,1.027731e-08,6.949104e-10,9.999042e-13,7.522289e-04,8.311729e-01,40,41,1,80,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.027633e-02,1.029010e-02,0,0
e1_f7_n4000_af30_m1e-4,scattered,20000,12000,4000,3.000000e-01,1.000000e-04,max_iter,1200,1282,82,1242,1003,2632,197,0,7.053774e-06,1.879320e-06,4.008919e-10,4.357306e-02,1.192327e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000e+00,0,0,0,0,1242,0,0,0,0,0,1,1,0,0,0,0,3.317036e-04,3.846404e-04,0,0
e1_f7_n4000_af30_m1e-6,scattered,20000,12000,4000,3.000000e-01,1.000000e-06,max_iter,1200,3311,2111,689,1253,4000,49,102,3.935653e-06,2.610830e-05,4.065653e-09,1.448860e-01,1.184747e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,689,0,0,0,0,0,1,1,0,0,0,0,2.111062e-02,1.917629e-03,0,0
e1_f7_n20000_af01_m1e-2,scattered,100000,60000,20000,1.000000e-02,1.000000e-02,numerical_error,200,836,648,888,403,6365,26,229,7.341888e-03,2.871466e-03,5.929182e-07,7.348983e-01,3.767739e+00,35,35,1,70,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,4,0,4,0,0.000000e+00,0,0,0,0,888,0,0,0,0,0,1,0,1,0,0,0,3.569357e-02,9.747719e-05,0,0
