# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: mu-sweep
# date (UTC): 2026-09-01T13:27:39Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# family: e1 = tier-direct A4 cell; hs/corpus = SqpDriver under kIpm;
# indefinite = tier-direct nonconvex QP fixture.
mu,family,id,status,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
1.000000e-03,e1,e1_f7_n4000_af01_m1e-2,optimal,7.070683e-01,33,34,1,66,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.824277e-02,4.491073e-03,0,0
1.000000e-02,e1,e1_f7_n4000_af01_m1e-2,optimal,5.439774e-01,25,26,1,50,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.387669e-01,9.146412e-03,0,0
1.000000e-01,e1,e1_f7_n4000_af01_m1e-2,optimal,1.484197e+00,75,76,1,150,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.232298e-03,2.334176e-04,0,0
1.000000e+00,e1,e1_f7_n4000_af01_m1e-2,optimal,1.382457e+00,70,71,1,140,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.032898e-02,8.088656e-05,0,0
1.000000e-03,e1,e1_f7_n4000_af01_m1e-4,optimal,6.339911e-01,30,31,1,60,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,1581,0,0,0,0,0,0,0,0,0,0,0,1.745212e-01,1.402851e-02,0,0
1.000000e-02,e1,e1_f7_n4000_af01_m1e-4,optimal,5.448868e-01,25,26,1,50,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,2.896629e-01,5.344606e-03,0,0
1.000000e-01,e1,e1_f7_n4000_af01_m1e-4,optimal,2.341881e+00,120,121,1,240,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,1.445596e-02,1.062256e-04,0,0
1.000000e+00,e1,e1_f7_n4000_af01_m1e-4,optimal,1.027278e+00,51,52,1,102,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,6.754442e-02,1.900814e-04,0,0
1.000000e-03,e1,e1_f7_n4000_af01_m1e-6,optimal,5.959533e-01,28,29,1,56,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,3427,0,0,0,0,0,0,0,0,0,0,0,8.793138e-02,4.599173e-03,0,0
1.000000e-02,e1,e1_f7_n4000_af01_m1e-6,optimal,7.151756e-01,34,35,1,68,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,3543,0,0,0,0,0,0,0,0,0,0,0,2.209071e-01,2.717595e-03,0,0
1.000000e-01,e1,e1_f7_n4000_af01_m1e-6,optimal,2.322535e+00,119,120,1,238,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,2946,0,0,0,0,0,0,0,0,0,0,0,1.092165e-02,2.402065e-04,0,0
1.000000e+00,e1,e1_f7_n4000_af01_m1e-6,numerical_error,1.546756e+00,80,80,1,160,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000e+00,0,0,0,0,2974,0,0,0,0,0,1,0,1,0,0,0,2.865637e-02,6.026590e-04,0,0
1.000000e-03,e1,e1_f7_n4000_af10_m1e-2,optimal,5.201199e-01,24,25,1,48,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1.681954e-01,3.342492e-02,0,0
1.000000e-02,e1,e1_f7_n4000_af10_m1e-2,optimal,4.295489e-01,19,20,1,38,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.904225e-01,1.018103e-01,0,0
1.000000e-01,e1,e1_f7_n4000_af10_m1e-2,optimal,9.231838e-01,45,46,1,90,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.332139e-02,1.265166e-03,0,0
1.000000e+00,e1,e1_f7_n4000_af10_m1e-2,optimal,8.387031e-01,41,42,1,82,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.571370e-02,1.184463e-03,0,0
1.000000e-03,e1,e1_f7_n4000_af10_m1e-4,optimal,5.034660e-01,23,24,1,46,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,1.779330e-01,5.707373e-02,0,0
1.000000e-02,e1,e1_f7_n4000_af10_m1e-4,optimal,4.871751e-01,22,23,1,44,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,3.785894e-01,5.768073e-02,0,0
1.000000e-01,e1,e1_f7_n4000_af10_m1e-4,optimal,8.077450e-01,39,40,1,78,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,0,0,7.701447e-02,6.446997e-03,0,0
1.000000e+00,e1,e1_f7_n4000_af10_m1e-4,optimal,1.329647e+00,67,68,1,134,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,7.096143e-02,2.058129e-03,0,0
1.000000e-03,e1,e1_f7_n4000_af10_m1e-6,optimal,6.709855e-01,32,33,1,64,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,12,0,0.000000e+00,0,0,0,0,2340,0,0,0,0,0,0,0,0,0,0,0,1.929227e-01,3.041835e-02,0,0
1.000000e-02,e1,e1_f7_n4000_af10_m1e-6,optimal,5.031631e-01,23,24,1,46,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,3.604735e-01,9.663907e-02,0,0
