# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: 4877bec876ad
# mode: sweep
# date (UTC): 2026-09-04T08:48:46Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# ipqp_init_mu: 1.000000e-02
# ipqp_converge_slack: 1.000000e+02
# ipqp_hard_iter_cap: 60
# ipqp_max_iter: 0
# ipqp_max_factorizations: 0
# (shipped defaults: 1.000000e-02 / 1.000000e+02 / 60 / 0 / 0;
#  0 is the size-derived sentinel, NOT an unbounded budget)
# wall_s is INFORMATIONAL (CLAUDE.md section 7).
id,layout,n,me,mi,active_fraction,margin_class,status,active_true,active_found,misclassified,uncertain,rule_a,rule_b,rule_a_missed,rule_a_false_positive,e2e_usable,e2e_polished,e2e_rule_a,e2e_rule_a_missed,e2e_rule_a_false_positive,e2e_factorizations,res_primal,res_dual,res_comp,x_err_inf,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
e1_f7_n4000_af01_m1e-2,scattered,20000,12000,4000,1.000000e-02,1.000000e-02,optimal,40,40,0,0,40,40,0,0,1,1,40,0,0,27,2.627898e-13,4.328502e-10,1.600973e-12,7.881848e-06,5.525818e-01,25,26,1,50,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.387669e-01,9.146412e-03,0,0
e1_f7_n4000_af01_m1e-4,scattered,20000,12000,4000,1.000000e-02,1.000000e-04,optimal,40,42,2,876,40,546,0,0,1,1,42,0,2,27,1.224255e-10,7.861215e-09,9.994660e-12,3.244436e-04,5.479874e-01,25,26,1,50,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,876,0,0,0,0,0,0,0,0,0,0,0,2.896629e-01,5.344606e-03,0,0
e1_f7_n4000_af01_m1e-6,scattered,20000,12000,4000,1.000000e-02,1.000000e-06,optimal,40,321,281,3543,40,3376,0,0,1,0,40,0,0,36,7.574610e-09,1.827794e-07,4.256344e-11,5.505810e-04,7.185572e-01,34,35,1,68,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,3543,0,0,0,0,0,0,0,0,0,0,0,2.209071e-01,2.717595e-03,0,0
e1_f7_n4000_af10_m1e-2,scattered,20000,12000,4000,1.000000e-01,1.000000e-02,optimal,400,400,0,2,285,415,115,0,1,1,400,0,0,21,3.300295e-08,9.347086e-08,5.677816e-10,3.356183e-03,4.273285e-01,19,20,1,38,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.904225e-01,1.018103e-01,0,0
e1_f7_n4000_af10_m1e-4,scattered,20000,12000,4000,1.000000e-01,1.000000e-04,optimal,400,400,0,263,400,401,0,0,1,1,400,0,0,24,6.343814e-13,9.532106e-10,1.389707e-12,1.137442e-05,4.868987e-01,22,23,1,44,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,3.785894e-01,5.768073e-02,0,0
e1_f7_n4000_af10_m1e-6,scattered,20000,12000,4000,1.000000e-01,1.000000e-06,optimal,400,2025,1625,1975,388,3997,12,0,1,0,388,12,0,25,2.062564e-09,2.167986e-08,2.881770e-10,9.783399e-03,5.025124e-01,23,24,1,46,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,3.604735e-01,9.663907e-02,0,0
e1_f7_n4000_af30_m1e-2,scattered,20000,12000,4000,3.000000e-01,1.000000e-02,optimal,1200,1200,0,0,1038,1200,162,0,1,1,1200,0,0,21,1.091409e-08,2.753930e-10,1.212197e-12,7.973353e-04,4.283661e-01,19,20,1,38,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.748508e-01,4.211847e-02,0,0
e1_f7_n4000_af30_m1e-4,scattered,20000,12000,4000,3.000000e-01,1.000000e-04,optimal,1200,1256,56,1197,1138,2513,62,0,1,1,1256,0,56,17,2.344235e-08,8.453610e-08,6.719208e-10,4.241618e-03,3.521220e-01,15,16,1,30,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,3.730156e-01,2.264647e-01,0,0
e1_f7_n4000_af30_m1e-6,scattered,20000,12000,4000,3.000000e-01,1.000000e-06,optimal,1200,2599,1399,1401,1200,4000,0,0,1,0,1200,0,0,19,6.566955e-10,4.150201e-08,3.339195e-10,3.961701e-03,3.895948e-01,17,18,1,34,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,1401,0,0,0,0,0,0,0,0,0,0,0,3.723673e-01,2.208591e-01,0,0
e1_f7_n20000_af01_m1e-2,scattered,100000,60000,20000,1.000000e-02,1.000000e-02,optimal,200,200,0,0,200,200,0,0,1,1,200,0,0,36,5.828671e-14,4.312479e-10,2.834925e-11,8.551808e-05,3.745298e+00,34,35,1,68,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244821e-01,3.630277e-03,0,0
