cell,mode,status,major_iters,fb_entries,fb_fired,v_disproved,v_relaxed,v_exhausted,v_rung_b,v_unfired,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_suspicion_disproved,ipqp_fallback_rung_b,elastic_rho0_ceiling_hits,elastic_floor_retries,restoration_seed_rows,ceiling_hit_rows,verdict_refine_steps,identities
hs1,ipm,Optimal,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs3,ipm,Optimal,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs5,ipm,Optimal,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs6,ipm,Optimal,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs7,ipm,Optimal,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs10,ipm,Optimal,14,3,3,0,3,0,0,0,8,44,3,0,0,1,0,0,1,0,OK
hs11,ipm,Optimal,7,2,2,0,2,0,0,0,2,6,2,0,0,1,0,0,1,0,OK
hs12,ipm,Optimal,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs14,ipm,Optimal,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs15,ipm,Optimal,9,2,1,0,1,0,0,1,2,9,1,0,0,0,0,0,0,0,OK
hs22,ipm,Optimal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs24,ipm,Optimal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs25,ipm,Optimal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs26,ipm,Optimal,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs27,ipm,Optimal,4,1,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,OK
hs28,ipm,Optimal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs30,ipm,Optimal,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs33,ipm,Optimal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs35,ipm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs38,ipm,Optimal,49,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,OK
hs39,ipm,Optimal,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs40,ipm,Optimal,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs43,ipm,Optimal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs45,ipm,Optimal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs76,ipm,Optimal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs77,ipm,Optimal,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
hs79,ipm,Optimal,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
f1_scaled_inconsistent,walk,Infeasible,2,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,OK
f1_scaled_inconsistent,ssn,Infeasible,2,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,OK
f1_scaled_inconsistent,ipm,Infeasible,2,2,2,0,1,1,0,0,2,11,2,0,0,0,0,0,0,0,OK
t7_exhaustion_attached_report,ipm,Infeasible,3,3,2,0,1,1,0,1,2,4,2,0,0,2,0,1,2,0,OK
t3a_refusal_then_walk,ipm,Infeasible,2,2,2,0,0,1,1,0,3,12,2,0,1,0,0,0,0,15,OK
p4_refusal_unit,ipm,Infeasible,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,OK
# identity failures: 0
