arm,cell_id,status,major_iters,rejected_steps,elastic_activations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,ipqp_suspicion_disproved,elastic_rho0_ceiling_hits,elastic_floor_retries,restoration_iters,restoration_seed_rows,verdict_refine_steps,border_refine_steps,eqp_refine_steps,fallback_events,ipqp_escapes,soc_steps
walk,f7_n1000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n1000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n1000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n1000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n1000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n2000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n2000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n2000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n2000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n2000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n5000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n5000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n5000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n5000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n5000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n10000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n10000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n10000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n10000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n10000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n20000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n20000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n20000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n20000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n20000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
walk,f7_n1000_path_warm,Optimal,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
walk,f7_n800_path_warm,Optimal,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
ssn,f7_n1000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n1000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n1000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n1000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n1000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n2000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n2000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n2000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n2000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n2000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n5000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n5000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n5000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n5000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n5000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n10000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n10000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n10000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n10000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n10000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n20000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n20000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n20000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n20000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n20000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n1000_path_warm,Optimal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssn,f7_n800_path_warm,Optimal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n1000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n1000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n1000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n1000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n1000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n2000_bound_neutral,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n2000_bound_physics,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n2000_bound_corrupted,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n2000_bound_activity,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ipm,f7_n2000_bound_warm,Optimal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
