# hven M6 W4 T5 -- v0 trace evidence. PROVENANCE (CLAUDE.md section 7).
# produced-by: docs/notes/data/2026-09-m6-w4-acceptance/probes/trace-exemplar-probe.cpp
# invocation: MKL_NUM_THREADS=1 OMP_NUM_THREADS=1 taskset -c 2 <probe> \
#             docs/notes/data/2026-09-m6-w4-acceptance <this header>
# binary-sha256-16: a08e926c6339edc1
# code-head: 1df1ae8  (branch m6; window BASE fb46802). The probe is committed in
#            the DOCS commit that carries this file, so it cannot name its own
#            commit; the code head is what the numbers depend on. See PROVENANCE.txt.
# toolchain: clang 22.1.8 (Fedora 22.1.8-4.fc44); Release flags, uniform regime (CLAUDE.md section 7)
# backend: Intel oneAPI MKL 2026.1; MKL_NUM_THREADS=1 OMP_NUM_THREADS=1
# machine: AMD Ryzen 7 5800X3D, Fedora 44, kernel 7.1.9-200.fc44; pinned taskset -c 2, run SOLO
# date-utc: 2026-09-05T06:27:47Z
# APPLE / ACCELERATE: UNOBSERVED. Every value below is MKL-on-Linux and none is inferred.
# The '#' lines are this header only; strip them and the remainder is the artifact
# (JSON lines, or a CSV with its own header row).
cell,mode,status,majors,active_set_delta_total,active_set_delta_peak,weak_active_peak,near_active_peak,qp_mode_dispatch,qp_mode_ssn_warm_grade,qp_mode_fallback_rung_b,qp_mode_elastic_rung,qp_mode_soc_resolve,elastic_activations,elastic_escalations,ipqp_to_ssn,ipqp_fallback_rung_b,soc_steps,restoration_iters,depth1_lines
hs1,walk,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
hs1,ssn,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
hs1,ipm,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
hs3,walk,0,4,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
hs3,ssn,0,4,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
hs3,ipm,0,4,1,1,0,0,4,3,0,0,0,0,0,3,0,0,0,0
hs5,walk,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
hs5,ssn,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
hs5,ipm,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
hs6,walk,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
hs6,ssn,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
hs6,ipm,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
hs7,walk,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
hs7,ssn,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
hs7,ipm,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
hs10,walk,0,14,1,1,1,0,14,0,0,56,0,8,48,0,0,0,0,0
