# hven M6 W4 T5 -- v0 trace evidence. PROVENANCE (CLAUDE.md section 7).
# produced-by: docs/notes/data/2026-09-m6-w4-acceptance/probes/trace-exemplar-probe.cpp
# invocation: MKL_NUM_THREADS=1 OMP_NUM_THREADS=1 taskset -c 2 <probe> \
#             docs/notes/data/2026-09-m6-w4-acceptance <this header>
# binary-sha256-16: a08e926c6339edc1
# code-head: 1df1ae8  (branch m6; window BASE fb46802). The probe is committed in
#            the DOCS commit that carries this file, so it cannot name its own
#            commit; the code head is what the numbers depend on. See PROVENANCE.txt.
# toolchain: clang 22.1.8 (Fedora 22.1.8-4.fc44); Release flags, uniform regime (CLAUDE.md section 7)
# backend: Intel oneAPI MKL 2026.1; MKL_NUM_THREADS=1 OMP_NUM_THREADS=1
# machine: AMD Ryzen 7 5800X3D, Fedora 44, kernel 7.1.9-200.fc44; pinned taskset -c 2, run SOLO
# date-utc: 2026-09-05T06:27:47Z
# APPLE / ACCELERATE: UNOBSERVED. Every value below is MKL-on-Linux and none is inferred.
# The '#' lines are this header only; strip them and the remainder is the artifact
# (JSON lines, or a CSV with its own header row).
cell,mode,major,qp_solved,tr_binding,verdict,active_set_delta,weak_active_rows,near_active_rows,active_rows,active_lower_sides,active_upper_sides
hs1,walk,0,1,1,0,0,0,0,0,0,0
hs1,walk,1,1,0,0,0,0,0,0,0,0
hs1,walk,2,1,1,2,0,0,0,0,0,0
hs1,walk,3,1,1,0,0,0,0,0,0,0
hs1,walk,4,1,0,0,0,0,0,0,0,0
hs1,walk,5,1,1,2,0,0,0,0,0,0
hs1,walk,6,1,1,0,0,0,0,0,0,0
hs1,walk,7,1,0,0,0,0,0,0,0,0
hs1,walk,8,1,0,0,0,0,0,0,0,0
hs1,walk,9,1,0,0,0,0,0,0,0,0
hs1,walk,10,1,0,0,0,0,0,0,0,0
hs1,walk,11,1,0,0,0,0,0,0,0,0
hs1,walk,12,1,0,0,0,0,0,0,0,0
hs1,walk,13,1,0,2,0,0,0,0,0,0
hs1,walk,14,1,0,2,0,0,0,0,0,0
hs1,walk,15,1,1,0,0,0,0,0,0,0
hs1,walk,16,1,0,0,0,0,0,0,0,0
hs1,walk,17,1,1,2,0,0,0,0,0,0
hs1,walk,18,1,1,0,0,0,0,0,0,0
hs1,walk,19,1,0,0,0,0,0,0,0,0
hs1,walk,20,1,0,0,0,0,0,0,0,0
hs1,walk,21,1,0,0,0,0,0,0,0,0
hs1,walk,22,1,0,0,0,0,0,0,0,0
hs1,walk,23,1,0,0,0,0,0,0,0,0
hs1,walk,24,1,0,0,0,0,0,0,0,0
hs1,walk,25,1,0,0,0,0,0,0,0,0
hs1,walk,26,1,0,0,0,0,0,0,0,0
hs1,walk,27,1,0,0,0,0,0,0,0,0
hs1,walk,28,1,0,0,0,0,0,0,0,0
hs1,walk,29,0,0,2,0,0,0,0,0,0
hs1,ssn,0,1,1,0,0,0,0,0,0,0
hs1,ssn,1,1,0,0,0,0,0,0,0,0
hs1,ssn,2,1,1,2,0,0,0,0,0,0
hs1,ssn,3,1,1,0,0,0,0,0,0,0
hs1,ssn,4,1,0,0,0,0,0,0,0,0
hs1,ssn,5,1,1,2,0,0,0,0,0,0
hs1,ssn,6,1,1,0,0,0,0,0,0,0
hs1,ssn,7,1,0,0,0,0,0,0,0,0
hs1,ssn,8,1,0,0,0,0,0,0,0,0
hs1,ssn,9,1,0,0,0,0,0,0,0,0
hs1,ssn,10,1,0,0,0,0,0,0,0,0
hs1,ssn,11,1,0,0,0,0,0,0,0,0
hs1,ssn,12,1,0,0,0,0,0,0,0,0
hs1,ssn,13,1,0,2,0,0,0,0,0,0
hs1,ssn,14,1,0,2,0,0,0,0,0,0
hs1,ssn,15,1,1,0,0,0,0,0,0,0
hs1,ssn,16,1,0,0,0,0,0,0,0,0
hs1,ssn,17,1,1,2,0,0,0,0,0,0
hs1,ssn,18,1,1,0,0,0,0,0,0,0
hs1,ssn,19,1,0,0,0,0,0,0,0,0
hs1,ssn,20,1,0,0,0,0,0,0,0,0
hs1,ssn,21,1,0,0,0,0,0,0,0,0
hs1,ssn,22,1,0,0,0,0,0,0,0,0
hs1,ssn,23,1,0,0,0,0,0,0,0,0
hs1,ssn,24,1,0,0,0,0,0,0,0,0
hs1,ssn,25,1,0,0,0,0,0,0,0,0
hs1,ssn,26,1,0,0,0,0,0,0,0,0
hs1,ssn,27,1,0,0,0,0,0,0,0,0
hs1,ssn,28,1,0,0,0,0,0,0,0,0
hs1,ssn,29,0,0,2,0,0,0,0,0,0
hs1,ipm,0,1,1,0,0,0,0,0,0,0
hs1,ipm,1,1,0,0,0,0,0,0,0,0
hs1,ipm,2,1,1,2,0,0,0,0,0,0
hs1,ipm,3,1,1,0,0,0,0,0,0,0
hs1,ipm,4,1,0,0,0,0,0,0,0,0
hs1,ipm,5,1,1,2,0,0,0,0,0,0
hs1,ipm,6,1,1,0,0,0,0,0,0,0
hs1,ipm,7,1,0,0,0,0,0,0,0,0
hs1,ipm,8,1,0,0,0,0,0,0,0,0
hs1,ipm,9,1,0,0,0,0,0,0,0,0
hs1,ipm,10,1,0,0,0,0,0,0,0,0
hs1,ipm,11,1,0,0,0,0,0,0,0,0
hs1,ipm,12,1,0,0,0,0,0,0,0,0
hs1,ipm,13,1,0,2,0,0,0,0,0,0
hs1,ipm,14,1,0,2,0,0,0,0,0,0
hs1,ipm,15,1,1,0,0,0,0,0,0,0
hs1,ipm,16,1,0,0,0,0,0,0,0,0
hs1,ipm,17,1,1,2,0,0,0,0,0,0
hs1,ipm,18,1,1,0,0,0,0,0,0,0
hs1,ipm,19,1,0,0,0,0,0,0,0,0
hs1,ipm,20,1,0,0,0,0,0,0,0,0
hs1,ipm,21,1,0,0,0,0,0,0,0,0
hs1,ipm,22,1,0,0,0,0,0,0,0,0
hs1,ipm,23,1,0,0,0,0,0,0,0,0
hs1,ipm,24,1,0,0,0,0,0,0,0,0
hs1,ipm,25,1,0,0,0,0,0,0,0,0
hs1,ipm,26,1,0,0,0,0,0,0,0,0
hs1,ipm,27,1,0,0,0,0,0,0,0,0
hs1,ipm,28,1,0,0,0,0,0,0,0,0
hs1,ipm,29,0,0,2,0,0,0,0,0,0
hs3,walk,0,1,1,0,1,0,0,0,1,0
hs3,walk,1,1,1,0,0,0,0,0,1,0
hs3,walk,2,1,1,0,0,0,0,0,1,0
hs3,walk,3,1,0,0,0,0,0,0,1,0
hs3,walk,4,0,0,2,0,0,0,0,0,0
hs3,ssn,0,1,1,0,1,0,0,0,1,0
hs3,ssn,1,1,1,0,0,0,0,0,1,0
hs3,ssn,2,1,1,0,0,0,0,0,1,0
hs3,ssn,3,1,0,0,0,0,0,0,1,0
hs3,ssn,4,0,0,2,0,0,0,0,0,0
hs3,ipm,0,1,1,0,1,0,0,0,1,0
hs3,ipm,1,1,1,0,0,0,0,0,1,0
hs3,ipm,2,1,1,0,0,0,0,0,1,0
hs3,ipm,3,1,0,0,0,0,0,0,1,0
hs3,ipm,4,0,0,2,0,0,0,0,0,0
hs5,walk,0,1,1,0,0,0,0,0,0,0
hs5,walk,1,1,0,0,0,0,0,0,0,0
hs5,walk,2,1,0,0,0,0,0,0,0,0
hs5,walk,3,1,0,0,0,0,0,0,0,0
hs5,walk,4,0,0,2,0,0,0,0,0,0
hs5,ssn,0,1,1,0,0,0,0,0,0,0
hs5,ssn,1,1,0,0,0,0,0,0,0,0
hs5,ssn,2,1,0,0,0,0,0,0,0,0
hs5,ssn,3,1,0,0,0,0,0,0,0,0
hs5,ssn,4,0,0,2,0,0,0,0,0,0
hs5,ipm,0,1,1,0,0,0,0,0,0,0
hs5,ipm,1,1,0,0,0,0,0,0,0,0
