leg,arm,task,sha,round,event,value
perfA,01,base,102f729,1,instructions:u,57586061870
perfA,01,base,102f729,1,branches:u,8626132762
perfA,01,base,102f729,1,cycles:u,20060098013
perfA,01,base,102f729,1,branch-misses:u,18563403
perfA,01,base,102f729,1,L1-icache-load-misses:u,3887541
perfA,01,base,102f729,2,instructions:u,55922984313
perfA,01,base,102f729,2,branches:u,8143303633
perfA,01,base,102f729,2,cycles:u,18673805085
perfA,01,base,102f729,2,branch-misses:u,18576192
perfA,01,base,102f729,2,L1-icache-load-misses:u,4011465
perfA,01,base,102f729,3,instructions:u,55887682236
perfA,01,base,102f729,3,branches:u,8133054358
perfA,01,base,102f729,3,cycles:u,18621649285
perfA,01,base,102f729,3,branch-misses:u,18560104
perfA,01,base,102f729,3,L1-icache-load-misses:u,4004602
perfA,02,T8.1,b3915ff,1,instructions:u,56968271089
perfA,02,T8.1,b3915ff,1,branches:u,8446815917
perfA,02,T8.1,b3915ff,1,cycles:u,19582501284
perfA,02,T8.1,b3915ff,1,branch-misses:u,18203432
perfA,02,T8.1,b3915ff,1,L1-icache-load-misses:u,4809225
perfA,02,T8.1,b3915ff,2,instructions:u,57598343901
perfA,02,T8.1,b3915ff,2,branches:u,8629740304
perfA,02,T8.1,b3915ff,2,cycles:u,20042801812
perfA,02,T8.1,b3915ff,2,branch-misses:u,18176128
perfA,02,T8.1,b3915ff,2,L1-icache-load-misses:u,4701405
perfA,02,T8.1,b3915ff,3,instructions:u,56961095716
perfA,02,T8.1,b3915ff,3,branches:u,8444732756
perfA,02,T8.1,b3915ff,3,cycles:u,19634341758
perfA,02,T8.1,b3915ff,3,branch-misses:u,18309768
perfA,02,T8.1,b3915ff,3,L1-icache-load-misses:u,4693839
perfA,03,T8.2,b43580f,1,instructions:u,57067779192
perfA,03,T8.2,b43580f,1,branches:u,8448677701
perfA,03,T8.2,b43580f,1,cycles:u,19532063585
perfA,03,T8.2,b43580f,1,branch-misses:u,18179751
perfA,03,T8.2,b43580f,1,L1-icache-load-misses:u,5092460
perfA,03,T8.2,b43580f,2,instructions:u,57111623042
perfA,03,T8.2,b43580f,2,branches:u,8461406729
perfA,03,T8.2,b43580f,2,cycles:u,19631377138
perfA,03,T8.2,b43580f,2,branch-misses:u,18286305
perfA,03,T8.2,b43580f,2,L1-icache-load-misses:u,4990660
perfA,03,T8.2,b43580f,3,instructions:u,59204448935
perfA,03,T8.2,b43580f,3,branches:u,9069002020
perfA,03,T8.2,b43580f,3,cycles:u,21392910017
perfA,03,T8.2,b43580f,3,branch-misses:u,18133164
perfA,03,T8.2,b43580f,3,L1-icache-load-misses:u,5047989
perfA,04,T8.3,510a4bb,1,instructions:u,57299300138
perfA,04,T8.3,510a4bb,1,branches:u,8515887345
perfA,04,T8.3,510a4bb,1,cycles:u,19556004349
perfA,04,T8.3,510a4bb,1,branch-misses:u,18381871
perfA,04,T8.3,510a4bb,1,L1-icache-load-misses:u,3923963
perfA,04,T8.3,510a4bb,2,instructions:u,57156581877
perfA,04,T8.3,510a4bb,2,branches:u,8474452826
perfA,04,T8.3,510a4bb,2,cycles:u,19415062947
perfA,04,T8.3,510a4bb,2,branch-misses:u,18185021
perfA,04,T8.3,510a4bb,2,L1-icache-load-misses:u,3988038
perfA,04,T8.3,510a4bb,3,instructions:u,57115943932
perfA,04,T8.3,510a4bb,3,branches:u,8462655041
perfA,04,T8.3,510a4bb,3,cycles:u,19453857140
perfA,04,T8.3,510a4bb,3,branch-misses:u,18309328
perfA,04,T8.3,510a4bb,3,L1-icache-load-misses:u,4038269
perfA,05,T8.4,3c8e43b,1,instructions:u,57779435920
perfA,05,T8.4,3c8e43b,1,branches:u,8537230295
perfA,05,T8.4,3c8e43b,1,cycles:u,19809604081
perfA,05,T8.4,3c8e43b,1,branch-misses:u,18691819
perfA,05,T8.4,3c8e43b,1,L1-icache-load-misses:u,4229342
perfA,05,T8.4,3c8e43b,2,instructions:u,57827843474
perfA,05,T8.4,3c8e43b,2,branches:u,8551283576
perfA,05,T8.4,3c8e43b,2,cycles:u,19816548579
perfA,05,T8.4,3c8e43b,2,branch-misses:u,18585330
perfA,05,T8.4,3c8e43b,2,L1-icache-load-misses:u,4315852
perfA,05,T8.4,3c8e43b,3,instructions:u,57763052460
perfA,05,T8.4,3c8e43b,3,branches:u,8532472800
perfA,05,T8.4,3c8e43b,3,cycles:u,19760588256
perfA,05,T8.4,3c8e43b,3,branch-misses:u,18445234
perfA,05,T8.4,3c8e43b,3,L1-icache-load-misses:u,4286692
perfA,06,T8.5,8f95655,1,instructions:u,57396717008
perfA,06,T8.5,8f95655,1,branches:u,8425763050
perfA,06,T8.5,8f95655,1,cycles:u,19356498313
perfA,06,T8.5,8f95655,1,branch-misses:u,18708452
perfA,06,T8.5,8f95655,1,L1-icache-load-misses:u,2846827
perfA,06,T8.5,8f95655,2,instructions:u,57412897755
perfA,06,T8.5,8f95655,2,branches:u,8430458398
perfA,06,T8.5,8f95655,2,cycles:u,19385510262
perfA,06,T8.5,8f95655,2,branch-misses:u,18469021
perfA,06,T8.5,8f95655,2,L1-icache-load-misses:u,2796780
perfA,06,T8.5,8f95655,3,instructions:u,57385222478
perfA,06,T8.5,8f95655,3,branches:u,8422423994
perfA,06,T8.5,8f95655,3,cycles:u,19332786029
perfA,06,T8.5,8f95655,3,branch-misses:u,18443310
perfA,06,T8.5,8f95655,3,L1-icache-load-misses:u,2834188
perfA,07,T8.6,8cbaa39,1,instructions:u,57701683682
perfA,07,T8.6,8cbaa39,1,branches:u,8514174068
perfA,07,T8.6,8cbaa39,1,cycles:u,19610149100
perfA,07,T8.6,8cbaa39,1,branch-misses:u,18942965
perfA,07,T8.6,8cbaa39,1,L1-icache-load-misses:u,5698041
perfA,07,T8.6,8cbaa39,2,instructions:u,57715558197
perfA,07,T8.6,8cbaa39,2,branches:u,8518201849
perfA,07,T8.6,8cbaa39,2,cycles:u,19641484832
perfA,07,T8.6,8cbaa39,2,branch-misses:u,18761671
perfA,07,T8.6,8cbaa39,2,L1-icache-load-misses:u,5825930
perfA,07,T8.6,8cbaa39,3,instructions:u,57747823754
perfA,07,T8.6,8cbaa39,3,branches:u,8527571122
perfA,07,T8.6,8cbaa39,3,cycles:u,19634346806
perfA,07,T8.6,8cbaa39,3,branch-misses:u,18773969
