arm,kind,round,row_index,row,wall_s
e1,parent,1,0,f7_n1000_bound_physics/MakeParameter,0.046303965
e1,parent,1,1,f7_n1000_bound_physics/MakeConstraint,0.031926425
e1,parent,1,2,f7_n1000_bound_physics/RelaxBounds,0.031869226
e1,parent,1,3,f7_n5000_bound_physics/MakeParameter,0.179750137
e1,parent,1,4,f7_n5000_bound_physics/MakeConstraint,0.173101331
e1,parent,1,5,f7_n5000_bound_physics/RelaxBounds,0.174003456
e1,parent,1,6,f7_n10000_bound_neutral/MakeParameter,0.532427707
e1,parent,1,7,f7_n10000_bound_neutral/MakeConstraint,0.523497050
e1,parent,1,8,f7_n10000_bound_neutral/RelaxBounds,0.522461165
e1,parent,1,9,f7_n20000_bound_neutral/MakeParameter,1.122849332
e1,parent,1,10,f7_n20000_bound_neutral/MakeConstraint,1.088167180
e1,parent,1,11,f7_n20000_bound_neutral/RelaxBounds,1.090480090
e1,parent,1,12,hs071_x1_fixed/MakeParameter,0.000173939
e1,parent,1,13,hs071_x1_fixed/MakeConstraint,0.000125440
e1,parent,1,14,hs071_x1_fixed/RelaxBounds,0.000127169
e1,parent,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016084981
e1,parent,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000074569
e1,parent,1,17,infeas2_spike/MakeParameter/stalled,0.000595347
e1,parent,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000192019
e1,parent,2,0,f7_n1000_bound_physics/MakeParameter,0.370626592
e1,parent,2,1,f7_n1000_bound_physics/MakeConstraint,0.031957655
e1,parent,2,2,f7_n1000_bound_physics/RelaxBounds,0.032544032
e1,parent,2,3,f7_n5000_bound_physics/MakeParameter,0.178940862
e1,parent,2,4,f7_n5000_bound_physics/MakeConstraint,0.173281840
e1,parent,2,5,f7_n5000_bound_physics/RelaxBounds,0.173291739
e1,parent,2,6,f7_n10000_bound_neutral/MakeParameter,0.531196363
e1,parent,2,7,f7_n10000_bound_neutral/MakeConstraint,0.523225391
e1,parent,2,8,f7_n10000_bound_neutral/RelaxBounds,0.521240091
e1,parent,2,9,f7_n20000_bound_neutral/MakeParameter,1.125971228
e1,parent,2,10,f7_n20000_bound_neutral/MakeConstraint,1.089736133
e1,parent,2,11,f7_n20000_bound_neutral/RelaxBounds,1.092324921
e1,parent,2,12,hs071_x1_fixed/MakeParameter,0.000180799
e1,parent,2,13,hs071_x1_fixed/MakeConstraint,0.000125769
e1,parent,2,14,hs071_x1_fixed/RelaxBounds,0.000127399
e1,parent,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016012462
e1,parent,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000082540
e1,parent,2,17,infeas2_spike/MakeParameter/stalled,0.000595567
e1,parent,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000180039
e1,parent,3,0,f7_n1000_bound_physics/MakeParameter,0.342488628
e1,parent,3,1,f7_n1000_bound_physics/MakeConstraint,0.032007115
e1,parent,3,2,f7_n1000_bound_physics/RelaxBounds,0.031909385
e1,parent,3,3,f7_n5000_bound_physics/MakeParameter,0.178633873
e1,parent,3,4,f7_n5000_bound_physics/MakeConstraint,0.173937196
e1,parent,3,5,f7_n5000_bound_physics/RelaxBounds,0.173397519
e1,parent,3,6,f7_n10000_bound_neutral/MakeParameter,0.532573666
e1,parent,3,7,f7_n10000_bound_neutral/MakeConstraint,0.523867609
e1,parent,3,8,f7_n10000_bound_neutral/RelaxBounds,0.524785914
e1,parent,3,9,f7_n20000_bound_neutral/MakeParameter,1.126985522
e1,parent,3,10,f7_n20000_bound_neutral/MakeConstraint,1.090716718
e1,parent,3,11,f7_n20000_bound_neutral/RelaxBounds,1.091139176
e1,parent,3,12,hs071_x1_fixed/MakeParameter,0.000179320
e1,parent,3,13,hs071_x1_fixed/MakeConstraint,0.000126310
e1,parent,3,14,hs071_x1_fixed/RelaxBounds,0.000128019
e1,parent,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016263061
e1,parent,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000075049
e1,parent,3,17,infeas2_spike/MakeParameter/stalled,0.000604247
e1,parent,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000179059
e1,parent,4,0,f7_n1000_bound_physics/MakeParameter,0.356554280
e1,parent,4,1,f7_n1000_bound_physics/MakeConstraint,0.031840546
e1,parent,4,2,f7_n1000_bound_physics/RelaxBounds,0.031862925
e1,parent,4,3,f7_n5000_bound_physics/MakeParameter,0.178769812
e1,parent,4,4,f7_n5000_bound_physics/MakeConstraint,0.172974461
e1,parent,4,5,f7_n5000_bound_physics/RelaxBounds,0.173431319
e1,parent,4,6,f7_n10000_bound_neutral/MakeParameter,0.532617536
e1,parent,4,7,f7_n10000_bound_neutral/MakeConstraint,0.522909443
e1,parent,4,8,f7_n10000_bound_neutral/RelaxBounds,0.521290931
e1,parent,4,9,f7_n20000_bound_neutral/MakeParameter,1.125931358
e1,parent,4,10,f7_n20000_bound_neutral/MakeConstraint,1.092782819
e1,parent,4,11,f7_n20000_bound_neutral/RelaxBounds,1.096021673
e1,parent,4,12,hs071_x1_fixed/MakeParameter,0.000174929
e1,parent,4,13,hs071_x1_fixed/MakeConstraint,0.000125360
e1,parent,4,14,hs071_x1_fixed/RelaxBounds,0.000130279
e1,parent,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016110332
e1,parent,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000086490
e1,parent,4,17,infeas2_spike/MakeParameter/stalled,0.000604327
e1,parent,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000183039
e1,parent,5,0,f7_n1000_bound_physics/MakeParameter,1.024110671
e1,parent,5,1,f7_n1000_bound_physics/MakeConstraint,0.031975715
e1,parent,5,2,f7_n1000_bound_physics/RelaxBounds,0.031887545
