# hven_sqp_corpus provenance -- ENGINE interior (top-level interior-point driver)
# binary: 8cf6bc8aaa1a
# schema: 31
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89ra3/bin/5124aa1/hven_sqp_corpus --engine interior --cells f7_n1000_bound_physics,f7_n5000_bound_physics,f7_n10000_bound_neutral,f7_n20000_bound_neutral --csv /home/ghecht/Projects/hven/.scratch/w5t89ra3/art/smoke/s-b05.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T18:49:43Z
# levers: max_iters=200 print_level=10 partitions=1 qp_threads=1
# levers: kkt_tol=1.000000000e-08 econ_tol=1.000000000e-08 icon_tol=1.000000000e-08 barr_tol=1.000000000e-08
# levers: bound_relax_factor=1.000000000e-08
# treatments: MakeParameter,MakeConstraint,RelaxBounds -- one row each, per cell
# key: column 0 is <cell_id>/<fixed_treatment>, plus /<variant> on a non-base row
# variant: base entry=optimize max_iters=<levers> restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: cap1 entry=optimize max_iters=1 restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: stalled entry=solve max_iters=600 restoration=l1_nested max_feas_rest=1 con_tol=2.000000000e-02 acc_tols=1.000000000e-06/2.000000000e-01/1.000000000e-06 div_tol=1.000000000e+300
# variant: resto_infeasible entry=optimize max_iters=200 restoration=l1_nested max_feas_rest=1 con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# variant: solve_optimize entry=solve_optimize max_iters=<levers> restoration=off max_feas_rest=<unused> con_tol=<levers> acc_tols=<default>/<default>/<default> div_tol=<default>
# abnormal-exit rows run under MakeParameter only, unconditionally (they do not vary with --cells), on the cells named in their keys
cell_id,family,n_nodes,window,taxonomy,status,iter_num,obj_val,kkt_inf,barr_inf,econ_inf,icon_inf,factorizations,solves,analyses,soc_steps,watchdog_activations,fixed_treatment,stop_reason,phase_count,phases_ran,phases,x_size,lambda_e_size,lambda_i_size,z_size,stationarity,feasibility_e,feasibility_i,complementarity,wall_s
f7_n1000_bound_physics/MakeParameter,F7,1000,bound,physics,optimal,5,-4.075173558e-01,2.380795236e-10,3.669294146e-11,1.081291806e-16,0.000000000e+00,5,5,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:5,5000,3000,1000,5000,2.380795236e-10,1.081291806e-16,0.000000000e+00,3.669294146e-11,0.750450429
f7_n1000_bound_physics/MakeConstraint,F7,1000,bound,physics,optimal,5,-4.075173558e-01,2.380795236e-10,3.669294146e-11,1.081291806e-16,0.000000000e+00,5,5,1,0,0,MakeConstraint,none,1,1,kOptimize:optimal:5,5000,3000,1000,5000,2.380795236e-10,1.081291806e-16,0.000000000e+00,3.669294146e-11,0.032944010
f7_n1000_bound_physics/RelaxBounds,F7,1000,bound,physics,optimal,5,-4.075173558e-01,2.380795236e-10,3.669294146e-11,1.081291806e-16,0.000000000e+00,5,5,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:5,5000,3000,1000,5000,2.380795236e-10,1.081291806e-16,0.000000000e+00,3.669294146e-11,0.032666721
f7_n5000_bound_physics/MakeParameter,F7,5000,bound,physics,optimal,5,-4.061354862e-01,2.466487686e-10,3.783082487e-11,1.096120960e-16,0.000000000e+00,5,5,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:5,25000,15000,5000,25000,2.466487686e-10,1.096120960e-16,0.000000000e+00,3.783082487e-11,0.187927308
f7_n5000_bound_physics/MakeConstraint,F7,5000,bound,physics,optimal,5,-4.061354862e-01,2.466487686e-10,3.783082487e-11,1.096120960e-16,0.000000000e+00,5,5,1,0,0,MakeConstraint,none,1,1,kOptimize:optimal:5,25000,15000,5000,25000,2.466487686e-10,1.096120960e-16,0.000000000e+00,3.783082487e-11,0.179981206
f7_n5000_bound_physics/RelaxBounds,F7,5000,bound,physics,optimal,5,-4.061354862e-01,2.466487686e-10,3.783082487e-11,1.096120960e-16,0.000000000e+00,5,5,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:5,25000,15000,5000,25000,2.466487686e-10,1.096120960e-16,0.000000000e+00,3.783082487e-11,0.180282185
f7_n10000_bound_neutral/MakeParameter,F7,10000,bound,neutral,optimal,9,-4.059629708e-01,4.384091675e-10,6.954131848e-11,6.138253342e-16,0.000000000e+00,9,9,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:9,50000,30000,10000,50000,4.384091675e-10,6.138253342e-16,0.000000000e+00,6.954131848e-11,0.556020412
f7_n10000_bound_neutral/MakeConstraint,F7,10000,bound,neutral,optimal,9,-4.059629708e-01,4.384091675e-10,6.954131848e-11,6.138253342e-16,0.000000000e+00,9,9,1,0,0,MakeConstraint,none,1,1,kOptimize:optimal:9,50000,30000,10000,50000,4.384091675e-10,6.138253342e-16,0.000000000e+00,6.954131848e-11,0.537138744
f7_n10000_bound_neutral/RelaxBounds,F7,10000,bound,neutral,optimal,9,-4.059629708e-01,4.384091675e-10,6.954131848e-11,6.138253342e-16,0.000000000e+00,9,9,1,0,0,RelaxBounds,none,1,1,kOptimize:optimal:9,50000,30000,10000,50000,4.384091675e-10,6.138253342e-16,0.000000000e+00,6.954131848e-11,0.532839395
f7_n20000_bound_neutral/MakeParameter,F7,20000,bound,neutral,optimal,9,-4.058767313e-01,5.551597096e-10,9.900664080e-11,3.404097007e-15,0.000000000e+00,9,9,1,0,0,MakeParameter,none,1,1,kOptimize:optimal:9,100000,60000,20000,100000,5.551597096e-10,3.404097007e-15,0.000000000e+00,9.900664080e-11,1.156238140
