pass,arm,round,minor_faults,major_faults,user_s,sys_s,real_s,maxrss_kb
timeR,a1,1,299658,0,6.34,0.56,6.94,266664
timeR,a1,2,299656,0,6.32,0.57,6.92,266532
timeR,a1,3,299697,0,6.35,0.56,6.95,266468
timeR,a2,1,341285,0,6.25,0.65,6.94,264280
timeR,a2,2,341286,0,6.27,0.62,6.93,264216
timeR,a2,3,341285,0,6.26,0.65,6.94,264280
timeR,a3,1,364429,0,6.24,0.66,6.94,261932
timeR,a3,2,364426,0,6.21,0.69,6.93,261932
timeR,a3,3,364428,0,6.21,0.68,6.93,261856
timeR,a4,1,317429,0,6.3,0.6,6.94,262576
timeR,a4,2,317430,0,6.31,0.59,6.94,262640
timeR,a4,3,317432,0,6.27,0.62,6.93,262580
perfstat,a1,1,299630,0,-1.0,-1.0,-1.0,-1
perfstat,a1,2,299628,0,-1.0,-1.0,-1.0,-1
perfstat,a1,3,299627,0,-1.0,-1.0,-1.0,-1
perfstat,a2,1,341256,0,-1.0,-1.0,-1.0,-1
perfstat,a2,2,341255,0,-1.0,-1.0,-1.0,-1
perfstat,a2,3,341256,0,-1.0,-1.0,-1.0,-1
perfstat,a3,1,364401,0,-1.0,-1.0,-1.0,-1
perfstat,a3,2,364401,0,-1.0,-1.0,-1.0,-1
perfstat,a3,3,364424,0,-1.0,-1.0,-1.0,-1
perfstat,a4,1,317399,0,-1.0,-1.0,-1.0,-1
perfstat,a4,2,317442,0,-1.0,-1.0,-1.0,-1
perfstat,a4,3,317404,0,-1.0,-1.0,-1.0,-1
