arm,arm_label,row,round,wall_s
a1,base 102f729,f7_n1000_bound_physics/MakeConstraint,1,0.031905426
a1,base 102f729,f7_n1000_bound_physics/RelaxBounds,1,0.031970775
a1,base 102f729,f7_n5000_bound_physics/MakeParameter,1,0.178894273
a1,base 102f729,f7_n5000_bound_physics/MakeConstraint,1,0.173627350
a1,base 102f729,f7_n5000_bound_physics/RelaxBounds,1,0.173010292
a1,base 102f729,f7_n10000_bound_neutral/MakeParameter,1,0.539286857
a1,base 102f729,f7_n10000_bound_neutral/MakeConstraint,1,0.523103816
a1,base 102f729,f7_n10000_bound_neutral/RelaxBounds,1,0.522817448
a1,base 102f729,f7_n20000_bound_neutral/MakeParameter,1,1.123129190
a1,base 102f729,f7_n20000_bound_neutral/MakeConstraint,1,1.091930731
a1,base 102f729,f7_n20000_bound_neutral/RelaxBounds,1,1.090887456
a1,base 102f729,hs071_x1_fixed/MakeParameter,1,0.000175819
a1,base 102f729,hs071_x1_fixed/MakeConstraint,1,0.000129349
a1,base 102f729,hs071_x1_fixed/RelaxBounds,1,0.000132790
a1,base 102f729,f7_n1000_bound_physics/MakeConstraint,2,0.032120315
a1,base 102f729,f7_n1000_bound_physics/RelaxBounds,2,0.032088615
a1,base 102f729,f7_n5000_bound_physics/MakeParameter,2,0.179129504
a1,base 102f729,f7_n5000_bound_physics/MakeConstraint,2,0.174359646
a1,base 102f729,f7_n5000_bound_physics/RelaxBounds,2,0.173805739
a1,base 102f729,f7_n10000_bound_neutral/MakeParameter,2,0.539923967
a1,base 102f729,f7_n10000_bound_neutral/MakeConstraint,2,0.522787780
a1,base 102f729,f7_n10000_bound_neutral/RelaxBounds,2,0.522800241
a1,base 102f729,f7_n20000_bound_neutral/MakeParameter,2,1.128975668
a1,base 102f729,f7_n20000_bound_neutral/MakeConstraint,2,1.094047427
a1,base 102f729,f7_n20000_bound_neutral/RelaxBounds,2,1.094001237
a1,base 102f729,hs071_x1_fixed/MakeParameter,2,0.000178529
a1,base 102f729,hs071_x1_fixed/MakeConstraint,2,0.000127930
a1,base 102f729,hs071_x1_fixed/RelaxBounds,2,0.000133539
a1,base 102f729,f7_n1000_bound_physics/MakeConstraint,3,0.031988825
a1,base 102f729,f7_n1000_bound_physics/RelaxBounds,3,0.031874085
a1,base 102f729,f7_n5000_bound_physics/MakeParameter,3,0.178948004
a1,base 102f729,f7_n5000_bound_physics/MakeConstraint,3,0.174288897
a1,base 102f729,f7_n5000_bound_physics/RelaxBounds,3,0.173521110
a1,base 102f729,f7_n10000_bound_neutral/MakeParameter,3,0.538391985
a1,base 102f729,f7_n10000_bound_neutral/MakeConstraint,3,0.521955535
a1,base 102f729,f7_n10000_bound_neutral/RelaxBounds,3,0.523523297
a1,base 102f729,f7_n20000_bound_neutral/MakeParameter,3,1.127292436
a1,base 102f729,f7_n20000_bound_neutral/MakeConstraint,3,1.093735048
a1,base 102f729,f7_n20000_bound_neutral/RelaxBounds,3,1.093668308
a1,base 102f729,hs071_x1_fixed/MakeParameter,3,0.000186849
a1,base 102f729,hs071_x1_fixed/MakeConstraint,3,0.000365248
a1,base 102f729,hs071_x1_fixed/RelaxBounds,3,0.000131709
a1,base 102f729,f7_n1000_bound_physics/MakeConstraint,4,0.031983345
a1,base 102f729,f7_n1000_bound_physics/RelaxBounds,4,0.031918135
a1,base 102f729,f7_n5000_bound_physics/MakeParameter,4,0.179003934
a1,base 102f729,f7_n5000_bound_physics/MakeConstraint,4,0.174188507
a1,base 102f729,f7_n5000_bound_physics/RelaxBounds,4,0.173496381
a1,base 102f729,f7_n10000_bound_neutral/MakeParameter,4,0.539912848
a1,base 102f729,f7_n10000_bound_neutral/MakeConstraint,4,0.523196809
