pass_,arm,cell,treatment,round,event,value
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,1,instructions:u,7051948993
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,1,branches:u,1253907204
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,1,cycles:u,2914666394
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,1,branch-misses:u,1773193
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,1,L1-icache-load-misses:u,452090
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,1,elapsed_s,0.96902589
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,2,instructions:u,7032786100
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,2,branches:u,1248343735
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,2,cycles:u,2899834967
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,2,branch-misses:u,1775495
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,2,L1-icache-load-misses:u,418407
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,2,elapsed_s,0.967810095
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,3,instructions:u,7028083585
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,3,branches:u,1246978436
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,3,cycles:u,2900042114
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,3,branch-misses:u,1788783
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,3,L1-icache-load-misses:u,436281
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,3,elapsed_s,0.9667889
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,4,instructions:u,7023446375
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,4,branches:u,1245632139
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,4,cycles:u,2901556582
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,4,branch-misses:u,1786493
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,4,L1-icache-load-misses:u,437969
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,4,elapsed_s,0.967990978
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,5,instructions:u,7005927867
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,5,branches:u,1240546516
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,5,cycles:u,2886207396
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,5,branch-misses:u,1771391
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,5,L1-icache-load-misses:u,426391
A,510a4bb,f7_n10000_bound_neutral,MakeConstraint,5,elapsed_s,0.962748484
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,1,instructions:u,8799045219
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,1,branches:u,1761088033
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,1,cycles:u,4138329330
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,1,branch-misses:u,1779619
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,1,L1-icache-load-misses:u,448461
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,1,elapsed_s,1.332570307
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,2,instructions:u,8792220179
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,2,branches:u,1759106563
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,2,cycles:u,4134063720
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,2,branch-misses:u,1753797
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,2,L1-icache-load-misses:u,419789
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,2,elapsed_s,1.335105344
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,3,instructions:u,8781131400
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,3,branches:u,1755887250
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,3,cycles:u,4141269515
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,3,branch-misses:u,1779822
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,3,L1-icache-load-misses:u,425469
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,3,elapsed_s,1.336609447
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,4,instructions:u,8793487278
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,4,branches:u,1759474434
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,4,cycles:u,4139983593
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,4,branch-misses:u,1779278
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,4,L1-icache-load-misses:u,421789
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,4,elapsed_s,1.335849473
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,5,instructions:u,8792854356
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,5,branches:u,1759290680
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,5,cycles:u,4149832495
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,5,branch-misses:u,1788610
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,5,L1-icache-load-misses:u,415027
A,510a4bb,f7_n10000_bound_neutral,MakeParameter,5,elapsed_s,1.338782229
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,1,instructions:u,7068703560
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,1,branches:u,1258730581
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,1,cycles:u,2901269425
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,1,branch-misses:u,1781998
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,1,L1-icache-load-misses:u,445257
A,510a4bb,f7_n10000_bound_neutral,RelaxBounds,1,elapsed_s,0.969371538
