event: instructions:u, sampled at one sample per 2 000 000 instructions
calibration symbols set aside: difftime, mkl_serv_get_clocks_frequency

row                                        arm       rd  total e9   cal %  non-cal e9
f7_n20000_bound_neutral-MakeParameter      510a4bb    1   15.5920   27.19     11.3525
f7_n20000_bound_neutral-MakeParameter      510a4bb    2   14.2000   20.70     11.2606
f7_n20000_bound_neutral-MakeParameter      510a4bb    3   14.2040   20.29     11.3220
f7_n20000_bound_neutral-MakeParameter      9cebbbe    1   13.9960   19.94     11.2052
f7_n20000_bound_neutral-MakeParameter      9cebbbe    2   13.9980   19.56     11.2600
f7_n20000_bound_neutral-MakeParameter      9cebbbe    3   14.0000   19.47     11.2742
f7_n20000_bound_neutral-MakeParameter      control    1   14.5460   22.27     11.3066
f7_n20000_bound_neutral-MakeParameter      control    2   14.5440   22.26     11.3065
f7_n20000_bound_neutral-MakeParameter      control    3   14.5500   22.42     11.2879
f7_n20000_bound_neutral-MakeConstraint     510a4bb    1   13.9460   19.37     11.2447
f7_n20000_bound_neutral-MakeConstraint     510a4bb    2   13.8900   19.23     11.2190
f7_n20000_bound_neutral-MakeConstraint     510a4bb    3   13.9120   19.30     11.2270
f7_n20000_bound_neutral-MakeConstraint     9cebbbe    1   13.4880   17.03     11.1910
f7_n20000_bound_neutral-MakeConstraint     9cebbbe    2   13.4400   16.72     11.1928
f7_n20000_bound_neutral-MakeConstraint     9cebbbe    3   13.4740   16.69     11.2252
f7_n20000_bound_neutral-MakeConstraint     control    1   13.9680   19.64     11.2247
f7_n20000_bound_neutral-MakeConstraint     control    2   13.9160   19.31     11.2288
f7_n20000_bound_neutral-MakeConstraint     control    3   13.9360   19.55     11.2115
f7_n1000_bound_physics-MakeConstraint      510a4bb    1    3.9960   83.34      0.6657
f7_n1000_bound_physics-MakeConstraint      510a4bb    2    3.9840   82.98      0.6781
f7_n1000_bound_physics-MakeConstraint      510a4bb    3    3.9700   82.42      0.6979
f7_n1000_bound_physics-MakeConstraint      9cebbbe    1    3.4420   82.80      0.5920
f7_n1000_bound_physics-MakeConstraint      9cebbbe    2    3.4280   83.95      0.5502
f7_n1000_bound_physics-MakeConstraint      9cebbbe    3    3.4320   83.34      0.5718
f7_n1000_bound_physics-MakeConstraint      control    1    4.0060   83.62      0.6562
f7_n1000_bound_physics-MakeConstraint      control    2    3.9900   83.66      0.6520
f7_n1000_bound_physics-MakeConstraint      control    3    3.9920   83.62      0.6539

row                                         parent e9  culprit e9  control e9       c/p       x/p
f7_n20000_bound_neutral-MakeParameter         11.3220     11.2600     11.3065   0.99452   0.99863
f7_n20000_bound_neutral-MakeConstraint        11.2270     11.1928     11.2247   0.99696   0.99980
f7_n1000_bound_physics-MakeConstraint          0.6781      0.5718      0.6539   0.84322   0.96433
