arm,commit,sha,round,row_index,row,wall_s
01,T8.3,510a4bb,1,0,f7_n1000_bound_physics/MakeParameter,0.281235856
01,T8.3,510a4bb,1,1,f7_n1000_bound_physics/MakeConstraint,0.032217654
01,T8.3,510a4bb,1,2,f7_n1000_bound_physics/RelaxBounds,0.032071174
01,T8.3,510a4bb,1,3,f7_n5000_bound_physics/MakeParameter,0.179913488
01,T8.3,510a4bb,1,4,f7_n5000_bound_physics/MakeConstraint,0.174401084
01,T8.3,510a4bb,1,5,f7_n5000_bound_physics/RelaxBounds,0.174059755
01,T8.3,510a4bb,1,6,f7_n10000_bound_neutral/MakeParameter,0.534259828
01,T8.3,510a4bb,1,7,f7_n10000_bound_neutral/MakeConstraint,0.522663354
01,T8.3,510a4bb,1,8,f7_n10000_bound_neutral/RelaxBounds,0.529282632
01,T8.3,510a4bb,1,9,f7_n20000_bound_neutral/MakeParameter,1.126527864
01,T8.3,510a4bb,1,10,f7_n20000_bound_neutral/MakeConstraint,1.095341825
01,T8.3,510a4bb,1,11,f7_n20000_bound_neutral/RelaxBounds,1.091908422
01,T8.3,510a4bb,1,12,hs071_x1_fixed/MakeParameter,0.000171099
01,T8.3,510a4bb,1,13,hs071_x1_fixed/MakeConstraint,0.000127670
01,T8.3,510a4bb,1,14,hs071_x1_fixed/RelaxBounds,0.000131279
01,T8.3,510a4bb,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016203462
01,T8.3,510a4bb,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000075909
01,T8.3,510a4bb,1,17,infeas2_spike/MakeParameter/stalled,0.000579668
01,T8.3,510a4bb,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000177469
01,T8.3,510a4bb,2,0,f7_n1000_bound_physics/MakeParameter,0.192178457
01,T8.3,510a4bb,2,1,f7_n1000_bound_physics/MakeConstraint,0.032348423
01,T8.3,510a4bb,2,2,f7_n1000_bound_physics/RelaxBounds,0.032252224
01,T8.3,510a4bb,2,3,f7_n5000_bound_physics/MakeParameter,0.181276321
01,T8.3,510a4bb,2,4,f7_n5000_bound_physics/MakeConstraint,0.174910891
01,T8.3,510a4bb,2,5,f7_n5000_bound_physics/RelaxBounds,0.175256800
01,T8.3,510a4bb,2,6,f7_n10000_bound_neutral/MakeParameter,0.539216773
01,T8.3,510a4bb,2,7,f7_n10000_bound_neutral/MakeConstraint,0.526089227
01,T8.3,510a4bb,2,8,f7_n10000_bound_neutral/RelaxBounds,0.527622100
01,T8.3,510a4bb,2,9,f7_n20000_bound_neutral/MakeParameter,1.136591445
01,T8.3,510a4bb,2,10,f7_n20000_bound_neutral/MakeConstraint,1.101076868
01,T8.3,510a4bb,2,11,f7_n20000_bound_neutral/RelaxBounds,1.104508820
01,T8.3,510a4bb,2,12,hs071_x1_fixed/MakeParameter,0.000171589
01,T8.3,510a4bb,2,13,hs071_x1_fixed/MakeConstraint,0.000133040
01,T8.3,510a4bb,2,14,hs071_x1_fixed/RelaxBounds,0.000130029
01,T8.3,510a4bb,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016387560
01,T8.3,510a4bb,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000076400
01,T8.3,510a4bb,2,17,infeas2_spike/MakeParameter/stalled,0.000583887
