arm,task,sha,round,row_index,row,wall_s
01,base,102f729,1,0,f7_n1000_bound_physics/MakeParameter,0.364845025
01,base,102f729,1,1,f7_n1000_bound_physics/MakeConstraint,0.031816626
01,base,102f729,1,2,f7_n1000_bound_physics/RelaxBounds,0.031843586
01,base,102f729,1,3,f7_n5000_bound_physics/MakeParameter,0.179847950
01,base,102f729,1,4,f7_n5000_bound_physics/MakeConstraint,0.172987793
01,base,102f729,1,5,f7_n5000_bound_physics/RelaxBounds,0.172830824
01,base,102f729,1,6,f7_n10000_bound_neutral/MakeParameter,0.543583600
01,base,102f729,1,7,f7_n10000_bound_neutral/MakeConstraint,0.521578306
01,base,102f729,1,8,f7_n10000_bound_neutral/RelaxBounds,0.523253088
01,base,102f729,1,9,f7_n20000_bound_neutral/MakeParameter,1.125177486
01,base,102f729,1,10,f7_n20000_bound_neutral/MakeConstraint,1.090835322
01,base,102f729,1,11,f7_n20000_bound_neutral/RelaxBounds,1.093177111
01,base,102f729,1,12,hs071_x1_fixed/MakeParameter,0.000279939
01,base,102f729,1,13,hs071_x1_fixed/MakeConstraint,0.000177819
01,base,102f729,1,14,hs071_x1_fixed/RelaxBounds,0.000138959
01,base,102f729,2,0,f7_n1000_bound_physics/MakeParameter,0.137270122
01,base,102f729,2,1,f7_n1000_bound_physics/MakeConstraint,0.031853785
01,base,102f729,2,2,f7_n1000_bound_physics/RelaxBounds,0.031860055
01,base,102f729,2,3,f7_n5000_bound_physics/MakeParameter,0.178669581
01,base,102f729,2,4,f7_n5000_bound_physics/MakeConstraint,0.174476091
01,base,102f729,2,5,f7_n5000_bound_physics/RelaxBounds,0.172989469
01,base,102f729,2,6,f7_n10000_bound_neutral/MakeParameter,0.549377239
01,base,102f729,2,7,f7_n10000_bound_neutral/MakeConstraint,0.523968402
01,base,102f729,2,8,f7_n10000_bound_neutral/RelaxBounds,0.523551124
01,base,102f729,2,9,f7_n20000_bound_neutral/MakeParameter,1.125314038
01,base,102f729,2,10,f7_n20000_bound_neutral/MakeConstraint,1.092655037
01,base,102f729,2,11,f7_n20000_bound_neutral/RelaxBounds,1.089256333
01,base,102f729,2,12,hs071_x1_fixed/MakeParameter,0.000178880
01,base,102f729,2,13,hs071_x1_fixed/MakeConstraint,0.000129219
01,base,102f729,2,14,hs071_x1_fixed/RelaxBounds,0.000135829
01,base,102f729,3,0,f7_n1000_bound_physics/MakeParameter,0.144371528
01,base,102f729,3,1,f7_n1000_bound_physics/MakeConstraint,0.032022814
01,base,102f729,3,2,f7_n1000_bound_physics/RelaxBounds,0.031845575
01,base,102f729,3,3,f7_n5000_bound_physics/MakeParameter,0.178549392
01,base,102f729,3,4,f7_n5000_bound_physics/MakeConstraint,0.172979189
01,base,102f729,3,5,f7_n5000_bound_physics/RelaxBounds,0.172677991
01,base,102f729,3,6,f7_n10000_bound_neutral/MakeParameter,0.539417147
01,base,102f729,3,7,f7_n10000_bound_neutral/MakeConstraint,0.520901117
01,base,102f729,3,8,f7_n10000_bound_neutral/RelaxBounds,0.523183906
01,base,102f729,3,9,f7_n20000_bound_neutral/MakeParameter,1.123850265
01,base,102f729,3,10,f7_n20000_bound_neutral/MakeConstraint,1.090982034
01,base,102f729,3,11,f7_n20000_bound_neutral/RelaxBounds,1.089815871
01,base,102f729,3,12,hs071_x1_fixed/MakeParameter,0.000179619
01,base,102f729,3,13,hs071_x1_fixed/MakeConstraint,0.000128169
01,base,102f729,3,14,hs071_x1_fixed/RelaxBounds,0.000134230
01,base,102f729,4,0,f7_n1000_bound_physics/MakeParameter,0.092767371
01,base,102f729,4,1,f7_n1000_bound_physics/MakeConstraint,0.031961715
01,base,102f729,4,2,f7_n1000_bound_physics/RelaxBounds,0.031964316
01,base,102f729,4,3,f7_n5000_bound_physics/MakeParameter,0.178872685
01,base,102f729,4,4,f7_n5000_bound_physics/MakeConstraint,0.173066432
01,base,102f729,4,5,f7_n5000_bound_physics/RelaxBounds,0.173184952
01,base,102f729,4,6,f7_n10000_bound_neutral/MakeParameter,0.542091647
01,base,102f729,4,7,f7_n10000_bound_neutral/MakeConstraint,0.523004079
01,base,102f729,4,8,f7_n10000_bound_neutral/RelaxBounds,0.522167843
01,base,102f729,4,9,f7_n20000_bound_neutral/MakeParameter,1.128274561
01,base,102f729,4,10,f7_n20000_bound_neutral/MakeConstraint,1.094676634
