arm,task,sha,mode,cell,round,instructions,branches,cycles,branch_misses,l1_icache_load_misses
a01,base,102f729,ipm,f7_n1000_bound_neutral,1,749116713,112841916,243027995,549327,55467
a01,base,102f729,ipm,f7_n1000_bound_neutral,2,749119830,112843160,241976585,553741,52128
a01,base,102f729,ipm,f7_n1000_bound_neutral,3,749119815,112843157,242306522,551996,50459
a01,base,102f729,ipm,f7_n1000_bound_neutral,4,749119828,112843162,242051479,551101,55003
a01,base,102f729,ipm,f7_n1000_bound_neutral,5,749115321,112841387,242193799,557667,55575
a01,base,102f729,ipm,f7_n5000_bound_neutral,1,3834869375,577328324,1223387386,2101253,234158
a01,base,102f729,ipm,f7_n5000_bound_neutral,2,3834868326,577327844,1228224296,2103053,227072
a01,base,102f729,ipm,f7_n5000_bound_neutral,3,3834875184,577330489,1221042086,2071819,210151
a01,base,102f729,ipm,f7_n5000_bound_neutral,4,3834875198,577330494,1221790644,2074956,214361
a01,base,102f729,ipm,f7_n5000_bound_neutral,5,3834869039,577328116,1222989032,2069417,231179
a01,base,102f729,ipm,f7_n20000_bound_neutral,1,15958320426,2405656087,5260650678,8376525,847063
a01,base,102f729,ipm,f7_n20000_bound_neutral,2,15958320393,2405656100,5341467890,8719410,950708
a01,base,102f729,ipm,f7_n20000_bound_neutral,3,15958321569,2405656415,5255738488,8392381,810005
a01,base,102f729,ipm,f7_n20000_bound_neutral,4,15958320371,2405656085,5275868971,8382854,885845
a01,base,102f729,ipm,f7_n20000_bound_neutral,5,15958321726,2405657468,5277238617,8415577,888088
a01,base,102f729,ssn,f7_n1000_bound_neutral,1,488471422,77308560,178121699,604090,30565
a01,base,102f729,ssn,f7_n1000_bound_neutral,2,488477237,77310774,178254690,605591,29995
a01,base,102f729,ssn,f7_n1000_bound_neutral,3,488477050,77310714,181750886,601215,29618
a01,base,102f729,ssn,f7_n1000_bound_neutral,4,488477271,77310779,177878619,593008,30419
a01,base,102f729,ssn,f7_n1000_bound_neutral,5,488477002,77310706,178120069,596985,30916
a01,base,102f729,ssn,f7_n5000_bound_neutral,1,2629034831,413930626,953416989,2367187,148580
a01,base,102f729,ssn,f7_n5000_bound_neutral,2,2629034560,413930541,949984563,2300367,145827
a01,base,102f729,ssn,f7_n5000_bound_neutral,3,2629029742,413928717,947333627,2321288,143068
a01,base,102f729,ssn,f7_n5000_bound_neutral,4,2629034578,413930543,948258343,2294008,150262
a01,base,102f729,ssn,f7_n5000_bound_neutral,5,2629034675,413930647,951906486,2298475,168038
a01,base,102f729,ssn,f7_n20000_bound_neutral,1,11674698804,1834992163,4316833437,9638495,609326
a01,base,102f729,ssn,f7_n20000_bound_neutral,2,11674698798,1834992157,4308241488,9579350,608244
a01,base,102f729,ssn,f7_n20000_bound_neutral,3,11674698559,1834992092,4306668854,9555349,597420
a01,base,102f729,ssn,f7_n20000_bound_neutral,4,11674698844,1834992169,4308309486,9552242,616257
a01,base,102f729,ssn,f7_n20000_bound_neutral,5,11674698836,1834992179,4312893220,9542723,763716
a01,base,102f729,walk,f7_n1000_bound_neutral,1,261293065,39746592,87344623,305823,13684
