# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ipm
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine ipm --repeat 2000 --hs-warmup 1 --csv /home/ghecht/Projects/hven/.scratch/w5t89r/calib/hs-ipm-N2000.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T12:14:20Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,off,2000,1,2.384893500e-03,2.275819000e-03,3.144764000e-03,36.435380,0.168142,1,Optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,0,0,0,0,0
3,ipm,off,2000,1,5.977170000e-04,5.775370000e-04,9.291250000e-04,58.821817,0.148644,1,Optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,0,0,0,0,0
5,ipm,off,2000,1,3.734480000e-04,3.611580000e-04,6.206970000e-04,69.498029,0.200022,1,Optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,0,0,0,0,0
6,ipm,off,2000,1,9.403005000e-04,9.138550000e-04,1.315894000e-03,42.756438,0.116681,1,Optimal,0,8,0,87,0,0,0,0,0,0,9,0,0,0,0,0
7,ipm,off,2000,1,1.106719500e-03,1.080135000e-03,1.432733000e-03,31.859744,0.105830,1,Optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,0,0,0,0,0
10,ipm,off,2000,1,4.732897000e-03,4.576598000e-03,8.750627000e-03,88.191841,0.074316,1,Optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,0,0,0,0,0
11,ipm,off,2000,1,1.339448500e-03,1.293963000e-03,1.899380000e-03,45.198976,0.096430,1,Optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,0,0,0,0,0
12,ipm,off,2000,1,8.747010000e-04,8.345150000e-04,1.072605000e-03,27.219587,0.109022,1,Optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,0,0,0,0,0
14,ipm,off,2000,1,5.729875000e-04,5.530380000e-04,8.373950000e-04,49.627086,0.148266,1,Optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,0,0,0,0,0
15,ipm,off,2000,1,3.380518500e-03,3.256644000e-03,3.724901000e-03,13.851633,0.053412,1,Optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,0,0,0,0,0
