# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: walk
# repeat: 250
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine walk --repeat 250 --hs-warmup 1 --csv /home/ghecht/Projects/hven/.scratch/w5t89r/calib/hs-walk-N250.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T12:15:41Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,off,250,1,1.311038500e-03,1.276373000e-03,1.552912000e-03,21.093126,0.228279,1,Optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,0,0,0,0,0
3,walk,off,250,1,2.247340000e-04,2.204390000e-04,3.319880000e-04,49.636014,0.553017,1,Optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
5,walk,off,250,1,1.862390000e-04,1.833990000e-04,3.641990000e-04,97.079559,0.916857,1,Optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
6,walk,off,250,1,5.889020000e-04,5.752070000e-04,7.067170000e-04,22.331390,0.363749,1,Optimal,0,8,22,8,0,0,0,0,0,0,9,0,0,0,0,0
7,walk,off,250,1,7.493665000e-04,7.326160000e-04,1.019175000e-03,38.240167,0.351774,1,Optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,0,0,0,0,0
10,walk,off,250,1,5.612118000e-03,5.462153000e-03,6.096450000e-03,11.302275,0.120292,1,Optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,0,0,0,0,0
11,walk,off,250,1,1.377608500e-03,1.347773000e-03,1.625162000e-03,20.135546,0.234543,1,Optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,0,0,0,0,0
12,walk,off,250,1,4.088280000e-04,3.970280000e-04,5.245870000e-04,31.201141,0.468914,1,Optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,0,0,0,0,0
14,walk,off,250,1,2.574490000e-04,2.519690000e-04,3.663180000e-04,44.416176,0.546705,1,Optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,0,0,0,0,0
15,walk,off,250,1,1.019170000e-03,1.004355000e-03,1.292154000e-03,28.238567,0.295778,1,Optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,0,0,0,0,0
