# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ipm
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine ipm --repeat 1000 --hs-warmup 1 --hs-trace off --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ipm/off/head-r1.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:10:57Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,off,1000,1,2.291479000e-03,2.238509000e-03,2.923306000e-03,29.884498,0.214855,1,optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,0,0,0,0,0
3,ipm,off,1000,1,5.925670000e-04,5.791670000e-04,7.250460000e-04,24.618144,0.068897,1,optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,0,0,0,0,0
5,ipm,off,1000,1,3.663380000e-04,3.605280000e-04,4.169480000e-04,15.401078,0.085357,1,optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,0,0,0,0,0
6,ipm,off,1000,1,9.291260000e-04,9.151560000e-04,1.083464000e-03,18.114658,0.042853,1,optimal,0,8,0,87,0,0,0,0,0,0,9,0,0,0,0,0
7,ipm,off,1000,1,1.082215000e-03,1.073754000e-03,1.203264000e-03,11.967123,0.039415,1,optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,0,0,0,0,0
10,ipm,off,1000,1,4.574027500e-03,4.532408000e-03,4.965805000e-03,9.475173,0.037616,1,optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,0,0,0,0,0
11,ipm,off,1000,1,1.191979000e-03,1.181414000e-03,1.256154000e-03,6.270245,0.032079,1,optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,0,0,0,0,0
12,ipm,off,1000,1,8.489655000e-04,7.311460000e-04,9.195150000e-04,22.188063,0.092100,1,optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,0,0,0,0,0
14,ipm,off,1000,1,5.597575000e-04,5.460480000e-04,6.538170000e-04,19.252801,0.057315,1,optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,0,0,0,0,0
15,ipm,off,1000,1,3.250144000e-03,3.218215000e-03,3.391614000e-03,5.335117,0.033150,1,optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,0,0,0,0,0
22,ipm,off,1000,1,7.086365000e-04,6.927160000e-04,8.844260000e-04,27.053362,0.060671,1,optimal,1,2,6,53,0,0,0,0,0,0,3,0,0,0,0,0
24,ipm,off,1000,1,5.743080000e-04,5.612970000e-04,6.300670000e-04,11.974411,0.058785,1,optimal,-1.0000000000000002,3,0,49,0,0,0,0,0,0,4,0,0,0,0,0
25,ipm,off,1000,1,2.707000000e-05,2.668000000e-05,4.654000000e-05,73.365349,0.163769,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ipm,off,1000,1,1.677462000e-03,1.658461000e-03,1.982980000e-03,19.345833,0.046033,1,optimal,2.282201461231784e-12,17,0,137,0,0,0,0,0,0,18,0,0,0,0,0
27,ipm,off,1000,1,1.876876000e-03,1.850931000e-03,2.121769000e-03,14.430255,0.036415,1,optimal,0.040000000000000001,4,27,124,0,0,1,6,0,0,5,0,0,0,0,0
28,ipm,off,1000,1,4.556930000e-04,4.457570000e-04,5.262870000e-04,17.671985,0.068387,1,optimal,1.5099290763995929e-31,3,0,40,0,0,0,0,0,0,4,0,0,0,0,0
30,ipm,off,1000,1,1.223219000e-03,1.212954000e-03,1.448513000e-03,19.257304,0.045049,1,optimal,1.0000002384185498,11,0,102,0,0,0,0,0,0,12,0,0,0,0,0
33,ipm,off,1000,1,1.888481000e-03,1.867781000e-03,2.719667000e-03,45.109588,0.074179,1,optimal,-4.5857864376269051,7,0,233,0,0,0,0,0,0,8,0,0,0,0,0
35,ipm,off,1000,1,1.528590000e-04,1.510300000e-04,2.442590000e-04,60.990194,0.187977,1,optimal,0.1111111111111108,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0
38,ipm,off,1000,1,6.092950500e-03,6.048711000e-03,1.004702100e-02,65.621902,0.084976,1,optimal,1.9365518387745271e-23,49,4,613,0,0,0,0,0,0,50,0,0,0,0,0
39,ipm,off,1000,1,1.183054000e-03,1.172524000e-03,1.445963000e-03,23.112977,0.047421,1,optimal,-1.000000025193696,9,0,96,0,0,0,0,0,0,10,0,0,0,0,0
40,ipm,off,1000,1,4.833880000e-04,4.716470000e-04,5.377570000e-04,13.676384,0.065529,1,optimal,-0.25000000000317785,4,0,30,0,0,0,0,0,0,5,0,0,0,0,0
43,ipm,off,1000,1,1.347793500e-03,1.332594000e-03,1.494593000e-03,12.019571,0.040281,1,optimal,-44.000000001934538,7,5,90,0,0,0,0,0,0,8,0,0,0,0,0
45,ipm,off,1000,1,1.119729000e-03,1.110925000e-03,1.358594000e-03,22.118655,0.039399,1,optimal,1.0000000000049998,3,3,116,0,0,0,0,0,0,4,0,0,0,0,0
76,ipm,off,1000,1,5.258830000e-04,5.138670000e-04,5.843070000e-04,13.394614,0.055126,1,optimal,-4.6818181818181817,2,0,42,0,0,0,0,0,0,3,0,0,0,0,0
77,ipm,off,1000,1,1.447698000e-03,1.430413000e-03,1.713902000e-03,19.582054,0.047046,1,optimal,0.24150512879002825,12,4,85,2,0,0,0,0,0,13,0,0,0,0,0
79,ipm,off,1000,1,5.030220000e-04,4.911470000e-04,5.640270000e-04,14.488432,0.066618,1,optimal,0.078776821223127472,4,0,30,0,0,0,0,0,0,5,0,0,0,0,0
