# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ipm
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine ipm --repeat 1000 --hs-warmup 1 --hs-trace off --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ipm/off/passB-head-r1.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:14:46Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,off,1000,1,2.300904000e-03,2.256169000e-03,3.072095000e-03,35.461106,0.229689,1,optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,0,0,0,0,0
3,ipm,off,1000,1,5.920370000e-04,5.787470000e-04,7.642260000e-04,31.328954,0.082999,1,optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,0,0,0,0,0
5,ipm,off,1000,1,3.644980000e-04,3.591080000e-04,4.383380000e-04,21.736745,0.086107,1,optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,0,0,0,0,0
6,ipm,off,1000,1,9.272200000e-04,9.110250000e-04,1.211904000e-03,32.449580,0.059167,1,optimal,0,8,0,87,0,0,0,0,0,0,9,0,0,0,0,0
7,ipm,off,1000,1,1.079120000e-03,1.072505000e-03,1.481973000e-03,37.944622,0.082074,1,optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,0,0,0,0,0
10,ipm,off,1000,1,4.578038000e-03,4.533698000e-03,5.039516000e-03,11.048794,0.043601,1,optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,0,0,0,0,0
11,ipm,off,1000,1,1.192529000e-03,1.183084000e-03,1.513603000e-03,27.715804,0.058102,1,optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,0,0,0,0,0
12,ipm,off,1000,1,8.482110000e-04,7.288960000e-04,1.107984000e-03,44.692653,0.108132,1,optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,0,0,0,0,0
14,ipm,off,1000,1,5.586675000e-04,5.449970000e-04,6.150770000e-04,12.544134,0.054631,1,optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,0,0,0,0,0
15,ipm,off,1000,1,3.245494500e-03,3.215654000e-03,4.262769000e-03,32.263650,0.065387,1,optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,0,0,0,0,0
22,ipm,off,1000,1,7.050765000e-04,6.911370000e-04,9.194350000e-04,32.379182,0.071932,1,optimal,1,2,6,53,0,0,0,0,0,0,3,0,0,0,0,0
24,ipm,off,1000,1,5.735175000e-04,5.608180000e-04,8.418860000e-04,49.007746,0.091343,1,optimal,-1.0000000000000002,3,0,49,0,0,0,0,0,0,4,0,0,0,0,0
25,ipm,off,1000,1,2.678000000e-05,2.648000000e-05,3.522000000e-05,32.636296,0.128691,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ipm,off,1000,1,1.686697000e-03,1.667771000e-03,2.448408000e-03,46.281994,0.080382,1,optimal,2.282201461231784e-12,17,0,137,0,0,0,0,0,0,18,0,0,0,0,0
27,ipm,off,1000,1,1.871236000e-03,1.847981000e-03,2.249289000e-03,21.446146,0.050140,1,optimal,0.040000000000000001,4,27,124,0,0,1,6,0,0,5,0,0,0,0,0
28,ipm,off,1000,1,4.556230000e-04,4.454480000e-04,8.056460000e-04,79.056149,0.142760,1,optimal,1.5099290763995929e-31,3,0,40,0,0,0,0,0,0,4,0,0,0,0,0
