# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ipm
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine ipm --repeat 1000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ipm/sink/head-r1.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:18:45Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,sink,1000,1,2.294079000e-03,2.256059000e-03,3.025906000e-03,33.557999,0.220041,1,optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,29,0,0,0,0
3,ipm,sink,1000,1,5.881280000e-04,5.753370000e-04,7.934360000e-04,37.083594,0.083013,1,optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,4,0,0,0,3
5,ipm,sink,1000,1,3.630335000e-04,3.572280000e-04,4.697570000e-04,30.996864,0.107226,1,optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,4,0,0,0,0
6,ipm,sink,1000,1,9.180850000e-04,9.028950000e-04,1.029935000e-03,13.837499,0.044079,1,optimal,0,8,0,87,0,0,0,0,0,0,9,8,0,0,0,0
7,ipm,sink,1000,1,1.069665000e-03,1.063464000e-03,1.203974000e-03,13.135888,0.042471,1,optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,9,0,0,0,0
10,ipm,sink,1000,1,4.530503500e-03,4.493448000e-03,6.254269000e-03,38.865901,0.071867,1,optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,14,0,52,0,0
11,ipm,sink,1000,1,1.180009500e-03,1.170654000e-03,1.619103000e-03,38.003847,0.095404,1,optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,7,0,8,0,0
12,ipm,sink,1000,1,8.533110000e-04,7.265760000e-04,1.080785000e-03,41.509954,0.121518,1,optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,6,0,0,0,2
14,ipm,sink,1000,1,5.558620000e-04,5.429270000e-04,7.188160000e-04,31.642566,0.104590,1,optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,5,0,0,0,0
15,ipm,sink,1000,1,3.230849000e-03,3.192034000e-03,4.419179000e-03,37.982122,0.089727,1,optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,9,0,11,1,0
22,ipm,sink,1000,1,7.035570000e-04,6.876670000e-04,1.152004000e-03,65.998491,0.139534,1,optimal,1,2,6,53,0,0,0,0,0,0,3,3,0,0,0,1
24,ipm,sink,1000,1,5.712175000e-04,5.579770000e-04,9.352750000e-04,66.051548,0.178786,1,optimal,-1.0000000000000002,3,0,49,0,0,0,0,0,0,4,3,0,0,0,0
25,ipm,sink,1000,1,2.679000000e-05,2.640000000e-05,4.160900000e-05,56.771183,0.156640,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ipm,sink,1000,1,1.675027000e-03,1.654732000e-03,2.481878000e-03,49.381055,0.094291,1,optimal,2.282201461231784e-12,17,0,137,0,0,0,0,0,0,18,17,0,0,0,0
27,ipm,sink,1000,1,1.860306500e-03,1.835661000e-03,2.906516000e-03,57.563364,0.123402,1,optimal,0.040000000000000001,4,27,124,0,0,1,6,0,0,5,4,0,7,1,1
28,ipm,sink,1000,1,4.537630000e-04,4.434370000e-04,7.505770000e-04,67.687317,0.203281,1,optimal,1.5099290763995929e-31,3,0,40,0,0,0,0,0,0,4,3,0,0,0,1
30,ipm,sink,1000,1,1.220754000e-03,1.209504000e-03,2.654137000e-03,118.339403,0.344184,1,optimal,1.0000002384185498,11,0,102,0,0,0,0,0,0,12,11,0,0,0,0
33,ipm,sink,1000,1,1.874231000e-03,1.856671000e-03,2.235069000e-03,20.189507,0.063470,1,optimal,-4.5857864376269051,7,0,233,0,0,0,0,0,0,8,7,0,0,0,1
35,ipm,sink,1000,1,1.517345000e-04,1.500890000e-04,2.097890000e-04,39.345040,0.126953,1,optimal,0.1111111111111108,1,0,10,0,0,0,0,0,0,2,1,0,0,0,0
38,ipm,sink,1000,1,6.060366000e-03,6.010510000e-03,6.484388000e-03,7.819297,0.029946,1,optimal,1.9365518387745271e-23,49,4,613,0,0,0,0,0,0,50,49,0,0,1,0
