# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ipm
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine ipm --repeat 1000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ipm/sink/passB-head-r3.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:25:07Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,sink,1000,1,2.310463500e-03,2.259619000e-03,2.912656000e-03,28.264329,0.222345,1,optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,29,0,0,0,0
3,ipm,sink,1000,1,5.942420000e-04,5.795570000e-04,7.167860000e-04,23.093117,0.074833,1,optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,4,0,0,0,3
5,ipm,sink,1000,1,3.685280000e-04,3.611090000e-04,5.039170000e-04,38.750923,0.140050,1,optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,4,0,0,0,0
6,ipm,sink,1000,1,9.351455000e-04,9.180250000e-04,1.075494000e-03,16.838984,0.052222,1,optimal,0,8,0,87,0,0,0,0,0,0,9,8,0,0,0,0
7,ipm,sink,1000,1,1.091825000e-03,1.084285000e-03,1.414623000e-03,30.255581,0.060909,1,optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,9,0,0,0,0
10,ipm,sink,1000,1,4.569393000e-03,4.532268000e-03,5.112215000e-03,12.691992,0.042194,1,optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,14,0,52,0,0
11,ipm,sink,1000,1,1.188909000e-03,1.179034000e-03,1.423093000e-03,20.527980,0.048165,1,optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,7,0,8,0,0
12,ipm,sink,1000,1,8.558360000e-04,7.336660000e-04,1.226024000e-03,57.529480,0.115870,1,optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,6,0,0,0,2
14,ipm,sink,1000,1,5.614370000e-04,5.477470000e-04,8.469360000e-04,53.289862,0.092242,1,optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,5,0,0,0,0
15,ipm,sink,1000,1,3.260729500e-03,3.213464000e-03,3.946770000e-03,22.489017,0.054632,1,optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,9,0,11,1,0
22,ipm,sink,1000,1,7.052965000e-04,6.916660000e-04,7.723970000e-04,11.446392,0.047656,1,optimal,1,2,6,53,0,0,0,0,0,0,3,3,0,0,0,1
24,ipm,sink,1000,1,5.756020000e-04,5.618770000e-04,8.657160000e-04,52.786300,0.101291,1,optimal,-1.0000000000000002,3,0,49,0,0,0,0,0,0,4,3,0,0,0,0
25,ipm,sink,1000,1,2.681000000e-05,2.646000000e-05,3.458900000e-05,30.320776,0.130654,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ipm,sink,1000,1,1.693662000e-03,1.673981000e-03,2.918066000e-03,73.455329,0.204524,1,optimal,2.282201461231784e-12,17,0,137,0,0,0,0,0,0,18,17,0,0,0,0
27,ipm,sink,1000,1,1.871346000e-03,1.848601000e-03,2.297269000e-03,23.975684,0.051446,1,optimal,0.040000000000000001,4,27,124,0,0,1,6,0,0,5,4,0,7,1,1
28,ipm,sink,1000,1,4.549530000e-04,4.472480000e-04,5.329870000e-04,18.845683,0.076935,1,optimal,1.5099290763995929e-31,3,0,40,0,0,0,0,0,0,4,3,0,0,0,1
30,ipm,sink,1000,1,1.225684000e-03,1.213544000e-03,1.650022000e-03,35.610973,0.063453,1,optimal,1.0000002384185498,11,0,102,0,0,0,0,0,0,12,11,0,0,0,0
33,ipm,sink,1000,1,1.885316000e-03,1.866171000e-03,2.372818000e-03,26.873320,0.049162,1,optimal,-4.5857864376269051,7,0,233,0,0,0,0,0,0,8,7,0,0,0,1
35,ipm,sink,1000,1,1.523490000e-04,1.508000000e-04,1.893890000e-04,25.329342,0.122306,1,optimal,0.1111111111111108,1,0,10,0,0,0,0,0,0,2,1,0,0,0,0
38,ipm,sink,1000,1,6.115720000e-03,6.071821000e-03,6.826917000e-03,12.346805,0.030853,1,optimal,1.9365518387745271e-23,49,4,613,0,0,0,0,0,0,50,49,0,0,1,0
39,ipm,sink,1000,1,1.186779500e-03,1.177544000e-03,1.586952000e-03,34.497394,0.060525,1,optimal,-1.000000025193696,9,0,96,0,0,0,0,0,0,10,9,0,0,0,0
40,ipm,sink,1000,1,4.852680000e-04,4.739780000e-04,5.604670000e-04,17.822935,0.079108,1,optimal,-0.25000000000317785,4,0,30,0,0,0,0,0,0,5,4,0,0,0,0
43,ipm,sink,1000,1,1.341968500e-03,1.328554000e-03,1.556102000e-03,16.956285,0.047218,1,optimal,-44.000000001934538,7,5,90,0,0,0,0,0,0,8,8,0,0,0,1
45,ipm,sink,1000,1,1.117594000e-03,1.111394000e-03,1.237794000e-03,11.310011,0.033437,1,optimal,1.0000000000049998,3,3,116,0,0,0,0,0,0,4,4,0,0,0,3
76,ipm,sink,1000,1,5.225825000e-04,5.111780000e-04,7.568260000e-04,47.006549,0.105155,1,optimal,-4.6818181818181817,2,0,42,0,0,0,0,0,0,3,2,0,0,0,0
77,ipm,sink,1000,1,1.457733000e-03,1.439503000e-03,1.609882000e-03,11.687943,0.041140,1,optimal,0.24150512879002825,12,4,85,2,0,0,0,0,0,13,12,2,0,0,0
79,ipm,sink,1000,1,5.076225000e-04,4.949170000e-04,3.375584000e-03,567.482135,0.756542,1,optimal,0.078776821223127472,4,0,30,0,0,0,0,0,0,5,4,0,0,0,0
