# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ssn
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine ssn --repeat 2000 --hs-warmup 1 --hs-trace off --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ssn/off/base-r3.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:29:53Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,off,2000,1,1.696286000e-03,1.655512000e-03,2.273189000e-03,36.413494,0.196622,1,Optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,0,0,0,0,0
3,ssn,off,2000,1,3.210235000e-04,3.140580000e-04,4.125680000e-04,30.686227,0.089956,1,Optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,0,0,0,0,0
5,ssn,off,2000,1,3.008890000e-04,2.929280000e-04,3.971880000e-04,34.650652,0.079305,1,Optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,0,0,0,0,0
6,ssn,off,2000,1,1.070635000e-03,1.055125000e-03,1.388594000e-03,31.146843,0.042036,1,Optimal,0,8,8,73,0,0,0,0,0,0,9,0,0,0,0,0
7,ssn,off,2000,1,1.115674000e-03,1.100264000e-03,1.261014000e-03,14.408331,0.038116,1,Optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,0,0,0,0,0
10,ssn,off,2000,1,6.573728000e-03,6.499218000e-03,6.971346000e-03,7.182043,0.029747,1,Optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,0,0,0,0,0
11,ssn,off,2000,1,2.032910000e-03,2.015150000e-03,2.474508000e-03,22.596081,0.029797,1,Optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,0,0,0,0,0
12,ssn,off,2000,1,4.106130000e-04,3.977080000e-04,6.922170000e-04,71.724227,0.092038,1,Optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,0,0,0,0,0
14,ssn,off,2000,1,3.592030000e-04,3.513580000e-04,5.025080000e-04,42.079270,0.080062,1,Optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,0,0,0,0,0
15,ssn,off,2000,1,1.189244500e-03,1.169625000e-03,1.602252000e-03,36.378306,0.046721,1,Optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,0,0,0,0,0
22,ssn,off,2000,1,5.223420000e-04,5.093180000e-04,7.750960000e-04,50.881989,0.080306,1,Optimal,1,2,6,34,0,0,0,0,0,0,3,0,0,0,0,0
24,ssn,off,2000,1,6.499370000e-04,6.311570000e-04,9.700560000e-04,52.143362,0.059195,1,Optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,0,0,0,0,0
25,ssn,off,2000,1,2.680000000e-05,2.647000000e-05,3.662000000e-05,37.873134,0.098791,1,Optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,off,2000,1,1.122825000e-03,1.108944000e-03,1.618412000e-03,45.373767,0.051472,1,Optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,0,0,0,0,0
27,ssn,off,2000,1,1.524207500e-03,1.482882000e-03,1.877441000e-03,25.886174,0.060499,1,Optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,0,0,0,0,0
28,ssn,off,2000,1,2.717790000e-04,2.686180000e-04,4.411880000e-04,63.496444,0.101150,1,Optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,0,0,0,0,0
30,ssn,off,2000,1,7.048015000e-04,6.858670000e-04,1.194514000e-03,72.168831,0.159870,1,Optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,0,0,0,0,0
