# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ssn
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine ssn --repeat 2000 --hs-warmup 1 --hs-trace off --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ssn/off/head-r3.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:30:55Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,off,2000,1,1.645326500e-03,1.613362000e-03,2.640227000e-03,62.411017,0.198826,1,optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,0,0,0,0,0
3,ssn,off,2000,1,3.139935000e-04,3.099480000e-04,4.667470000e-04,49.937021,0.080124,1,optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,0,0,0,0,0
5,ssn,off,2000,1,2.915985000e-04,2.876090000e-04,4.013580000e-04,39.008774,0.086624,1,optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,0,0,0,0,0
6,ssn,off,2000,1,1.062950000e-03,1.045734000e-03,1.182354000e-03,12.852909,0.037875,1,optimal,0,8,8,73,0,0,0,0,0,0,9,0,0,0,0,0
7,ssn,off,2000,1,1.109074500e-03,1.088885000e-03,1.224934000e-03,12.266895,0.036618,1,optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,0,0,0,0,0
10,ssn,off,2000,1,6.486748000e-03,6.424219000e-03,7.245335000e-03,12.658361,0.034427,1,optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,0,0,0,0,0
11,ssn,off,2000,1,1.883330500e-03,1.862430000e-03,3.042805000e-03,62.674873,0.123467,1,optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,0,0,0,0,0
12,ssn,off,2000,1,4.011780000e-04,3.944980000e-04,4.829780000e-04,22.055048,0.061221,1,optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,0,0,0,0,0
14,ssn,off,2000,1,3.525735000e-04,3.482380000e-04,4.200080000e-04,20.356039,0.062338,1,optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,0,0,0,0,0
15,ssn,off,2000,1,1.154579500e-03,1.143455000e-03,1.294734000e-03,13.102519,0.029587,1,optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,0,0,0,0,0
22,ssn,off,2000,1,4.938875000e-04,4.820880000e-04,8.204660000e-04,68.513174,0.061564,1,optimal,1,2,6,34,0,0,0,0,0,0,3,0,0,0,0,0
24,ssn,off,2000,1,6.193770000e-04,6.055970000e-04,7.257360000e-04,19.396749,0.039598,1,optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,0,0,0,0,0
25,ssn,off,2000,1,2.721000000e-05,2.685900000e-05,6.282000000e-05,132.160970,0.130693,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,off,2000,1,1.093469500e-03,1.082485000e-03,1.234004000e-03,13.856719,0.031332,1,optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,0,0,0,0,0
27,ssn,off,2000,1,1.497853000e-03,1.472292000e-03,1.666012000e-03,12.933178,0.036286,1,optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,0,0,0,0,0
28,ssn,off,2000,1,2.695985000e-04,2.662290000e-04,3.820580000e-04,42.963518,0.081915,1,optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,0,0,0,0,0
30,ssn,off,2000,1,6.883465000e-04,6.722470000e-04,8.027760000e-04,18.962688,0.042266,1,optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,0,0,0,0,0
33,ssn,off,2000,1,5.301825000e-04,5.170270000e-04,6.346970000e-04,22.194244,0.050424,1,optimal,-4.000000000818825,4,3,29,0,0,0,0,0,0,5,0,0,0,0,0
35,ssn,off,2000,1,1.310290000e-04,1.293290000e-04,2.123190000e-04,63.337124,0.120280,1,optimal,0.1111111111111108,1,0,7,0,0,0,0,0,0,2,0,0,0,0,0
38,ssn,off,2000,1,5.082850000e-03,5.047365000e-03,6.128561000e-03,21.271452,0.027426,1,optimal,3.5412104488228488e-19,49,28,327,0,0,0,0,0,0,50,0,0,0,0,0
39,ssn,off,2000,1,1.116274000e-03,1.107035000e-03,1.455903000e-03,31.252900,0.036942,1,optimal,-1.0000000251945493,9,7,64,0,0,0,0,0,0,10,0,0,0,0,0
40,ssn,off,2000,1,3.133835000e-04,3.090780000e-04,5.153980000e-04,65.836268,0.087079,1,optimal,-0.25000000000317785,4,0,12,0,0,0,0,0,0,5,0,0,0,0,0
43,ssn,off,2000,1,8.861760000e-04,8.705650000e-04,1.329363000e-03,51.772786,0.057206,1,optimal,-44.000000001934538,7,5,54,0,0,0,0,0,0,8,0,0,0,0,0
45,ssn,off,2000,1,7.761610000e-04,7.624960000e-04,9.763650000e-04,27.554721,0.037189,1,optimal,0.99999987823864456,3,6,31,0,0,0,0,0,0,4,0,0,0,0,0
76,ssn,off,2000,1,2.736485000e-04,2.701890000e-04,4.438080000e-04,63.445990,0.089787,1,optimal,-4.6818181818181817,2,0,18,0,0,0,0,0,0,3,0,0,0,0,0
77,ssn,off,2000,1,1.026175000e-03,1.016086000e-03,3.905341000e-03,281.555778,0.190202,1,optimal,0.24150512879002844,12,4,41,2,0,0,0,0,0,13,0,0,0,0,0
79,ssn,off,2000,1,3.329285000e-04,3.283180000e-04,4.163580000e-04,26.444116,0.065293,1,optimal,0.078776821223127472,4,0,12,0,0,0,0,0,0,5,0,0,0,0,0
