# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ssn
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine ssn --repeat 2000 --hs-warmup 1 --hs-trace off --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ssn/off/passB-base-r2.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:34:00Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,off,2000,1,1.684047000e-03,1.651082000e-03,2.638457000e-03,58.631083,0.206815,1,Optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,0,0,0,0,0
3,ssn,off,2000,1,3.224135000e-04,3.140490000e-04,5.452270000e-04,71.702333,0.116354,1,Optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,0,0,0,0,0
5,ssn,off,2000,1,2.977885000e-04,2.929880000e-04,4.065880000e-04,38.147880,0.083461,1,Optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,0,0,0,0,0
6,ssn,off,2000,1,1.068435000e-03,1.055485000e-03,1.790141000e-03,68.760009,0.130608,1,Optimal,0,8,8,73,0,0,0,0,0,0,9,0,0,0,0,0
7,ssn,off,2000,1,1.111044000e-03,1.101804000e-03,1.418803000e-03,28.531633,0.045407,1,Optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,0,0,0,0,0
10,ssn,off,2000,1,6.604978000e-03,6.541168000e-03,8.555748000e-03,30.500934,0.035549,1,Optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,0,0,0,0,0
11,ssn,off,2000,1,2.039700000e-03,2.023720000e-03,2.358258000e-03,16.401334,0.023759,1,Optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,0,0,0,0,0
12,ssn,off,2000,1,4.097380000e-04,3.996080000e-04,5.033970000e-04,25.330577,0.062171,1,Optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,0,0,0,0,0
14,ssn,off,2000,1,3.573735000e-04,3.506280000e-04,4.810480000e-04,36.494032,0.065787,1,Optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,0,0,0,0,0
15,ssn,off,2000,1,1.190939500e-03,1.174374000e-03,1.306784000e-03,11.118113,0.030842,1,Optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,0,0,0,0,0
22,ssn,off,2000,1,5.237370000e-04,5.115870000e-04,6.290970000e-04,22.436834,0.050958,1,Optimal,1,2,6,34,0,0,0,0,0,0,3,0,0,0,0,0
24,ssn,off,2000,1,6.515170000e-04,6.209570000e-04,7.646360000e-04,22.052993,0.043852,1,Optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,0,0,0,0,0
25,ssn,off,2000,1,2.668000000e-05,2.625000000e-05,7.607000000e-05,186.731634,0.160138,1,Optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,off,2000,1,1.118110000e-03,1.104924000e-03,1.569102000e-03,41.514520,0.041154,1,Optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,0,0,0,0,0
27,ssn,off,2000,1,1.527952500e-03,1.488483000e-03,2.025740000e-03,35.161891,0.057318,1,Optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,0,0,0,0,0
28,ssn,off,2000,1,2.717690000e-04,2.689380000e-04,5.997670000e-04,121.731691,0.133193,1,Optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,0,0,0,0,0
30,ssn,off,2000,1,7.005615000e-04,6.858570000e-04,9.672960000e-04,40.173347,0.051193,1,Optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,0,0,0,0,0
33,ssn,off,2000,1,5.351230000e-04,5.220580000e-04,8.880960000e-04,68.402592,0.061677,1,Optimal,-4.000000000818825,4,3,29,0,0,0,0,0,0,5,0,0,0,0,0
35,ssn,off,2000,1,1.333000000e-04,1.301000000e-04,1.810200000e-04,38.199550,0.092617,1,Optimal,0.1111111111111108,1,0,7,0,0,0,0,0,0,2,0,0,0,0,0
38,ssn,off,2000,1,5.143240000e-03,5.106926000e-03,5.588552000e-03,9.364253,0.015728,1,Optimal,3.5412104488228488e-19,49,28,327,0,0,0,0,0,0,50,0,0,0,0,0
39,ssn,off,2000,1,1.123604500e-03,1.113885000e-03,1.415214000e-03,26.818066,0.032376,1,Optimal,-1.0000000251945493,9,7,64,0,0,0,0,0,0,10,0,0,0,0,0
40,ssn,off,2000,1,3.190830000e-04,3.157190000e-04,4.580070000e-04,44.592786,0.075332,1,Optimal,-0.25000000000317785,4,0,12,0,0,0,0,0,0,5,0,0,0,0,0
43,ssn,off,2000,1,8.901805000e-04,8.735250000e-04,9.977250000e-04,13.952227,0.027811,1,Optimal,-44.000000001934538,7,5,54,0,0,0,0,0,0,8,0,0,0,0,0
45,ssn,off,2000,1,7.822760000e-04,7.689160000e-04,3.632042000e-03,365.999468,0.245805,1,Optimal,0.99999987823864456,3,6,31,0,0,0,0,0,0,4,0,0,0,0,0
76,ssn,off,2000,1,2.750385000e-04,2.721990000e-04,3.396880000e-04,24.538019,0.065812,1,Optimal,-4.6818181818181817,2,0,18,0,0,0,0,0,0,3,0,0,0,0,0
77,ssn,off,2000,1,1.030485000e-03,1.021055000e-03,1.156305000e-03,13.124888,0.031425,1,Optimal,0.24150512879002844,12,4,41,2,0,0,0,0,0,13,0,0,0,0,0
79,ssn,off,2000,1,3.386135000e-04,3.333580000e-04,4.120880000e-04,23.250697,0.066370,1,Optimal,0.078776821223127472,4,0,12,0,0,0,0,0,0,5,0,0,0,0,0
