# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ssn
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine ssn --repeat 2000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ssn/sink/head-r1.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:39:10Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,sink,2000,1,1.641452000e-03,1.609112000e-03,2.281599000e-03,40.969032,0.188649,1,optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,29,0,0,0,0
3,ssn,sink,2000,1,3.133190000e-04,3.095180000e-04,5.356270000e-04,72.165748,0.085356,1,optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,5,0,0,0,0
5,ssn,sink,2000,1,2.912240000e-04,2.875680000e-04,4.836270000e-04,67.322405,0.088083,1,optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,4,0,0,0,0
6,ssn,sink,2000,1,1.055975000e-03,1.040535000e-03,1.151585000e-03,10.516347,0.037301,1,optimal,0,8,8,73,0,0,0,0,0,0,9,10,0,0,0,0
7,ssn,sink,2000,1,1.102339500e-03,1.084445000e-03,1.423113000e-03,30.722658,0.042212,1,optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,11,0,0,0,0
10,ssn,sink,2000,1,6.445408500e-03,6.377809000e-03,6.921646000e-03,8.437588,0.033248,1,optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,22,0,56,0,0
11,ssn,sink,2000,1,1.872821000e-03,1.847901000e-03,2.072790000e-03,12.008035,0.023719,1,optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,10,0,14,0,0
12,ssn,sink,2000,1,4.015930000e-04,3.954380000e-04,5.144770000e-04,29.641702,0.066531,1,optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,6,0,0,0,0
14,ssn,sink,2000,1,3.518880000e-04,3.482180000e-04,4.652480000e-04,33.257741,0.067039,1,optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,5,0,0,0,0
15,ssn,sink,2000,1,1.148334500e-03,1.138904000e-03,1.747212000e-03,52.973067,0.053269,1,optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,8,0,7,0,0
22,ssn,sink,2000,1,4.934675000e-04,4.821280000e-04,7.809660000e-04,60.558801,0.064704,1,optimal,1,2,6,34,0,0,0,0,0,0,3,3,0,0,0,0
24,ssn,sink,2000,1,6.156670000e-04,6.020070000e-04,7.732660000e-04,27.816823,0.044041,1,optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,5,0,0,0,0
25,ssn,sink,2000,1,2.685000000e-05,2.654000000e-05,9.145000000e-05,241.750466,0.181584,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,sink,2000,1,1.089065000e-03,1.079365000e-03,1.219244000e-03,12.843953,0.033110,1,optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,17,0,0,0,0
27,ssn,sink,2000,1,1.489258000e-03,1.465463000e-03,1.686732000e-03,14.857667,0.037691,1,optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,5,0,7,0,0
28,ssn,sink,2000,1,2.685990000e-04,2.658090000e-04,3.647690000e-04,36.843026,0.082504,1,optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,3,0,0,0,0
30,ssn,sink,2000,1,6.797515000e-04,6.650760000e-04,7.881660000e-04,18.108088,0.042679,1,optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,11,0,0,0,0
33,ssn,sink,2000,1,5.281725000e-04,5.160280000e-04,6.368270000e-04,22.871126,0.048179,1,optimal,-4.000000000818825,4,3,29,0,0,0,0,0,0,5,5,0,0,0,0
35,ssn,sink,2000,1,1.312895000e-04,1.298090000e-04,2.208690000e-04,69.358174,0.130844,1,optimal,0.1111111111111108,1,0,7,0,0,0,0,0,0,2,1,0,0,0,0
38,ssn,sink,2000,1,5.058816000e-03,5.016215000e-03,5.298394000e-03,5.577965,0.016478,1,optimal,3.5412104488228488e-19,49,28,327,0,0,0,0,0,0,50,56,0,0,0,0
39,ssn,sink,2000,1,1.110654500e-03,1.099794000e-03,1.767131000e-03,60.085022,0.152190,1,optimal,-1.0000000251945493,9,7,64,0,0,0,0,0,0,10,10,0,0,0,0
40,ssn,sink,2000,1,3.125380000e-04,3.089180000e-04,4.184380000e-04,35.042139,0.079799,1,optimal,-0.25000000000317785,4,0,12,0,0,0,0,0,0,5,4,0,0,0,0
