# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ssn
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine ssn --repeat 2000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/ssn/sink/passB-base-r1.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:44:18Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,sink,2000,1,1.681592000e-03,1.635712000e-03,2.667047000e-03,61.330870,0.229118,1,Optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,29,0,0,0,0
3,ssn,sink,2000,1,3.205985000e-04,3.131790000e-04,4.430180000e-04,40.498942,0.102346,1,Optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,5,0,0,0,0
5,ssn,sink,2000,1,2.966935000e-04,2.914780000e-04,4.086680000e-04,39.498675,0.078814,1,Optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,4,0,0,0,0
6,ssn,sink,2000,1,1.060070000e-03,1.047545000e-03,1.243284000e-03,18.464724,0.045247,1,Optimal,0,8,8,73,0,0,0,0,0,0,9,10,0,0,0,0
7,ssn,sink,2000,1,1.104714500e-03,1.092125000e-03,1.455153000e-03,32.861703,0.046814,1,Optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,11,0,0,0,0
10,ssn,sink,2000,1,6.529363000e-03,6.451909000e-03,1.059070900e-02,63.387500,0.076344,1,Optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,22,0,56,0,0
11,ssn,sink,2000,1,2.019025000e-03,1.999231000e-03,2.342569000e-03,17.005139,0.025267,1,Optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,10,0,14,0,0
12,ssn,sink,2000,1,4.099830000e-04,3.971180000e-04,6.554870000e-04,63.019442,0.086407,1,Optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,6,0,0,0,0
14,ssn,sink,2000,1,3.608835000e-04,3.518180000e-04,6.236470000e-04,75.323200,0.095756,1,Optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,5,0,0,0,0
15,ssn,sink,2000,1,1.189879000e-03,1.166584000e-03,1.560893000e-03,33.138580,0.053445,1,Optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,8,0,7,0,0
22,ssn,sink,2000,1,5.196075000e-04,5.073780000e-04,6.724870000e-04,31.775715,0.061332,1,Optimal,1,2,6,34,0,0,0,0,0,0,3,3,0,0,0,0
24,ssn,sink,2000,1,6.463770000e-04,6.245570000e-04,9.170650000e-04,45.253467,0.056400,1,Optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,5,0,0,0,0
25,ssn,sink,2000,1,2.677000000e-05,2.636900000e-05,6.436000000e-05,141.916324,0.147484,1,Optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
