# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ssn
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine ssn --repeat 2000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art/raw/leg2/ssn/sink/passB-head-r1.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T13:48:55Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,sink,2000,1,1.665657500e-03,1.625863000e-03,2.268480000e-03,38.580380,0.185220,1,optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,29,0,0,0,0
3,ssn,sink,2000,1,3.180735000e-04,3.127780000e-04,4.543880000e-04,44.521156,0.064864,1,optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,5,0,0,0,0
5,ssn,sink,2000,1,2.961490000e-04,2.910390000e-04,3.780280000e-04,29.373390,0.063023,1,optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,4,0,0,0,0
6,ssn,sink,2000,1,1.066180000e-03,1.050626000e-03,1.332934000e-03,26.478456,0.037664,1,optimal,0,8,8,73,0,0,0,0,0,0,9,10,0,0,0,0
7,ssn,sink,2000,1,1.113910000e-03,1.097925000e-03,1.337234000e-03,21.483693,0.038699,1,optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,11,0,0,0,0
10,ssn,sink,2000,1,6.520571500e-03,6.439632000e-03,9.063970000e-03,40.247055,0.039844,1,optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,22,0,56,0,0
11,ssn,sink,2000,1,1.897877000e-03,1.871292000e-03,2.172081000e-03,15.848709,0.021931,1,optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,10,0,14,0,0
12,ssn,sink,2000,1,4.037085000e-04,3.969280000e-04,4.657880000e-04,17.056862,0.049143,1,optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,6,0,0,0,0
14,ssn,sink,2000,1,3.540580000e-04,3.483080000e-04,4.985780000e-04,42.442199,0.067609,1,optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,5,0,0,0,0
15,ssn,sink,2000,1,1.165365000e-03,1.151265000e-03,1.389904000e-03,20.477619,0.029786,1,optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,8,0,7,0,0
22,ssn,sink,2000,1,4.969630000e-04,4.855180000e-04,6.785670000e-04,38.845749,0.047031,1,optimal,1,2,6,34,0,0,0,0,0,0,3,3,0,0,0,0
24,ssn,sink,2000,1,6.253325000e-04,6.084780000e-04,9.922260000e-04,61.367033,0.102418,1,optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,5,0,0,0,0
25,ssn,sink,2000,1,2.686000000e-05,2.651000000e-05,3.548000000e-05,33.395383,0.089478,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,sink,2000,1,1.107320500e-03,1.093965000e-03,3.980983000e-03,260.721083,0.176164,1,optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,17,0,0,0,0
27,ssn,sink,2000,1,1.510103000e-03,1.485233000e-03,1.784292000e-03,19.803881,0.035445,1,optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,5,0,7,0,0
28,ssn,sink,2000,1,2.718485000e-04,2.686290000e-04,5.739380000e-04,112.308510,0.104293,1,optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,3,0,0,0,0
30,ssn,sink,2000,1,6.912670000e-04,6.724070000e-04,8.602560000e-04,27.174594,0.039662,1,optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,11,0,0,0,0
33,ssn,sink,2000,1,5.317825000e-04,5.178070000e-04,7.210970000e-04,38.228035,0.047004,1,optimal,-4.000000000818825,4,3,29,0,0,0,0,0,0,5,5,0,0,0,0
35,ssn,sink,2000,1,1.313900000e-04,1.295800000e-04,2.006890000e-04,54.120557,0.099688,1,optimal,0.1111111111111108,1,0,7,0,0,0,0,0,0,2,1,0,0,0,0
38,ssn,sink,2000,1,5.103992500e-03,5.066268000e-03,5.498786000e-03,8.474111,0.016786,1,optimal,3.5412104488228488e-19,49,28,327,0,0,0,0,0,0,50,56,0,0,0,0
39,ssn,sink,2000,1,1.124530000e-03,1.110725000e-03,1.421374000e-03,27.624785,0.039991,1,optimal,-1.0000000251945493,9,7,64,0,0,0,0,0,0,10,10,0,0,0,0
40,ssn,sink,2000,1,3.163085000e-04,3.107690000e-04,4.300580000e-04,37.712866,0.082689,1,optimal,-0.25000000000317785,4,0,12,0,0,0,0,0,0,5,4,0,0,0,0
43,ssn,sink,2000,1,8.938910000e-04,8.764470000e-04,1.105175000e-03,25.587907,0.040771,1,optimal,-44.000000001934538,7,5,54,0,0,0,0,0,0,8,8,0,0,0,0
45,ssn,sink,2000,1,7.840365000e-04,7.699160000e-04,1.279105000e-03,64.944553,0.205257,1,optimal,0.99999987823864456,3,6,31,0,0,0,0,0,0,4,5,0,0,0,0
76,ssn,sink,2000,1,2.755590000e-04,2.719190000e-04,4.609080000e-04,68.583860,0.093794,1,optimal,-4.6818181818181817,2,0,18,0,0,0,0,0,0,3,2,0,0,0,0
77,ssn,sink,2000,1,1.029675500e-03,1.017636000e-03,1.366644000e-03,33.894950,0.050216,1,optimal,0.24150512879002844,12,4,41,2,0,0,0,0,0,13,12,2,0,0,0
