# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: walk
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine walk --repeat 1000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art/raw/leg2/walk/sink/passB-base-r1.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T13:03:36Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,sink,1000,1,1.287330000e-03,1.274685000e-03,1.908171000e-03,49.209294,0.083630,1,Optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,29,0,0,0,0
3,walk,sink,1000,1,2.238240000e-04,2.211290000e-04,3.410580000e-04,53.581832,0.116557,1,Optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
5,walk,sink,1000,1,1.860345000e-04,1.838000000e-04,3.398380000e-04,83.875840,0.402865,1,Optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
6,walk,sink,1000,1,5.857170000e-04,5.748280000e-04,6.370470000e-04,10.622707,0.042562,1,Optimal,0,8,22,8,0,0,0,0,0,0,9,8,0,0,0,0
7,walk,sink,1000,1,7.464965000e-04,7.325370000e-04,1.238784000e-03,67.816393,0.142909,1,Optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,9,0,0,0,0
10,walk,sink,1000,1,5.501440500e-03,5.441456000e-03,6.947789000e-03,27.380701,0.100204,1,Optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,14,0,56,0,0
11,walk,sink,1000,1,1.404679000e-03,1.389324000e-03,4.266081000e-03,204.798178,0.276401,1,Optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,7,0,14,0,0
12,walk,sink,1000,1,4.147130000e-04,4.048980000e-04,4.817480000e-04,18.530888,0.072365,1,Optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,6,0,0,0,0
14,walk,sink,1000,1,2.581040000e-04,2.520190000e-04,3.723190000e-04,46.609119,0.122269,1,Optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,5,0,0,0,0
15,walk,sink,1000,1,1.051065000e-03,1.037715000e-03,1.308414000e-03,25.754734,0.055881,1,Optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,7,0,7,0,0
22,walk,sink,1000,1,2.701885000e-04,2.678480000e-04,3.194890000e-04,19.112953,0.090920,1,Optimal,1,2,8,2,0,0,0,0,0,0,3,2,0,0,0,0
24,walk,sink,1000,1,4.676875000e-04,4.548580000e-04,6.551870000e-04,42.833944,0.095309,1,Optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,3,0,0,0,0
25,walk,sink,1000,1,2.655000000e-05,2.622000000e-05,6.509900000e-05,146.436911,0.225661,1,Optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,sink,1000,1,9.011410000e-04,8.867360000e-04,1.043436000e-03,17.389066,0.041691,1,Optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,17,0,0,0,0
27,walk,sink,1000,1,1.341259000e-03,1.318974000e-03,1.462373000e-03,10.691373,0.050592,1,Optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,4,0,7,0,0
28,walk,sink,1000,1,2.268240000e-04,2.226990000e-04,2.675790000e-04,19.786266,0.086061,1,Optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
30,walk,sink,1000,1,6.415070000e-04,6.294480000e-04,8.191460000e-04,29.570683,0.059259,1,Optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,11,0,0,0,0
33,walk,sink,1000,1,6.765670000e-04,6.651170000e-04,7.363470000e-04,10.528152,0.034759,1,Optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,4,0,0,0,0
35,walk,sink,1000,1,9.180000000e-05,9.078900000e-05,1.436790000e-04,57.614379,0.184826,1,Optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0
38,walk,sink,1000,1,3.342360500e-03,3.311845000e-03,3.681164000e-03,11.049646,0.028842,1,Optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,49,0,0,0,0
39,walk,sink,1000,1,6.894420000e-04,6.777270000e-04,8.993360000e-04,32.143240,0.065878,1,Optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,9,0,0,0,0
40,walk,sink,1000,1,2.355640000e-04,2.313490000e-04,2.867490000e-04,23.518025,0.091830,1,Optimal,-0.25000000000317785,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
43,walk,sink,1000,1,6.529070000e-04,6.403870000e-04,7.457570000e-04,16.138592,0.045937,1,Optimal,-44.000000001934538,7,23,7,0,0,0,0,0,0,8,7,0,0,0,0
45,walk,sink,1000,1,5.239930000e-04,5.147680000e-04,7.466460000e-04,44.252118,0.084218,1,Optimal,1,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
76,walk,sink,1000,1,2.796885000e-04,2.749090000e-04,3.161380000e-04,14.741042,0.077367,1,Optimal,-4.6818181818181817,2,9,2,0,0,0,0,0,0,3,2,0,0,0,0
