# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: walk
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine walk --repeat 1000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art2/raw/leg2/walk/sink/passB-head-r3.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T16:09:55Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,sink,1000,1,1.273293500e-03,1.259304000e-03,1.378993000e-03,9.399954,0.027668,1,optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,29,0,0,0,0
3,walk,sink,1000,1,2.206085000e-04,2.182190000e-04,2.737790000e-04,25.184886,0.084611,1,optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
5,walk,sink,1000,1,1.834140000e-04,1.814290000e-04,2.690280000e-04,47.760258,0.119823,1,optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
6,walk,sink,1000,1,5.854370000e-04,5.739080000e-04,7.089170000e-04,23.061235,0.052429,1,optimal,0,8,22,8,0,0,0,0,0,0,9,8,0,0,0,0
7,walk,sink,1000,1,7.401815000e-04,7.268060000e-04,1.014445000e-03,38.860604,0.062089,1,optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,9,0,0,0,0
10,walk,sink,1000,1,5.469178000e-03,5.419564000e-03,5.832462000e-03,7.549544,0.048788,1,optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,14,0,56,0,0
11,walk,sink,1000,1,1.349224000e-03,1.336083000e-03,2.124300000e-03,58.420025,0.081727,1,optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,7,0,14,0,0
12,walk,sink,1000,1,3.983530000e-04,3.938580000e-04,5.346980000e-04,35.355577,0.079361,1,optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,6,0,0,0,0
14,walk,sink,1000,1,2.526090000e-04,2.497990000e-04,3.071080000e-04,22.686840,0.087544,1,optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,5,0,0,0,0
15,walk,sink,1000,1,1.006530000e-03,1.000895000e-03,1.245124000e-03,24.264453,0.041521,1,optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,7,0,7,0,0
22,walk,sink,1000,1,2.544280000e-04,2.521780000e-04,2.977280000e-04,17.902904,0.085870,1,optimal,1,2,8,2,0,0,0,0,0,0,3,2,0,0,0,0
24,walk,sink,1000,1,4.347725000e-04,4.272780000e-04,6.952860000e-04,61.643273,0.103549,1,optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,3,0,0,0,0
25,walk,sink,1000,1,2.675900000e-05,2.644000000e-05,3.516000000e-05,32.587167,0.138677,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,sink,1000,1,8.927155000e-04,8.789360000e-04,1.169025000e-03,32.495123,0.050863,1,optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,17,0,0,0,0
27,walk,sink,1000,1,1.328028500e-03,1.310884000e-03,1.458743000e-03,11.133722,0.061964,1,optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,4,0,7,0,0
28,walk,sink,1000,1,2.235390000e-04,2.209090000e-04,2.728290000e-04,23.226372,0.088539,1,optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
30,walk,sink,1000,1,6.389870000e-04,6.266170000e-04,9.389050000e-04,48.872356,0.079626,1,optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,11,0,0,0,0
33,walk,sink,1000,1,6.729270000e-04,6.618870000e-04,1.141594000e-03,71.286633,0.128450,1,optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,4,0,0,0,0
35,walk,sink,1000,1,9.209000000e-05,9.118900000e-05,1.164490000e-04,27.429688,0.134662,1,optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0
38,walk,sink,1000,1,3.319754000e-03,3.287054000e-03,3.459453000e-03,5.193126,0.018971,1,optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,49,0,0,0,0
39,walk,sink,1000,1,6.865910000e-04,6.743770000e-04,7.880360000e-04,16.554106,0.046351,1,optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,9,0,0,0,0
40,walk,sink,1000,1,2.326390000e-04,2.297690000e-04,2.944790000e-04,27.815629,0.090518,1,optimal,-0.25000000000317785,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
43,walk,sink,1000,1,6.507620000e-04,6.376670000e-04,1.065235000e-03,65.702669,0.120168,1,optimal,-44.000000001934538,7,23,7,0,0,0,0,0,0,8,7,0,0,0,0
45,walk,sink,1000,1,5.204825000e-04,5.104770000e-04,5.760870000e-04,12.605611,0.049677,1,optimal,1,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
76,walk,sink,1000,1,2.774590000e-04,2.739990000e-04,3.773980000e-04,37.266407,0.097713,1,optimal,-4.6818181818181817,2,9,2,0,0,0,0,0,0,3,2,0,0,0,0
77,walk,sink,1000,1,7.202410000e-04,7.068260000e-04,8.704060000e-04,22.711842,0.042771,1,optimal,0.24150512879002839,12,29,10,2,0,0,0,0,0,13,12,2,0,0,0
79,walk,sink,1000,1,2.404190000e-04,2.380490000e-04,3.444880000e-04,44.272291,0.102947,1,optimal,0.078776821223127472,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
