# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: ssn
# repeat: 2000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-base/build/bench/hven_sqp_corpus --hs --engine ssn --repeat 2000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art/raw/leg2/ssn/sink/passB-base-r3.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T13:51:58Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,sink,2000,1,1.685602000e-03,1.642362000e-03,2.365879000e-03,42.923359,0.191955,1,Optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,29,0,0,0,0
3,ssn,sink,2000,1,3.218235000e-04,3.137780000e-04,3.837780000e-04,21.751053,0.080764,1,Optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,5,0,0,0,0
5,ssn,sink,2000,1,2.976940000e-04,2.940980000e-04,5.108080000e-04,72.796227,0.089079,1,Optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,4,0,0,0,0
6,ssn,sink,2000,1,1.069915000e-03,1.056925000e-03,1.332054000e-03,25.715033,0.039306,1,Optimal,0,8,8,73,0,0,0,0,0,0,9,10,0,0,0,0
7,ssn,sink,2000,1,1.115300000e-03,1.101775000e-03,1.343774000e-03,21.698108,0.034341,1,Optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,11,0,0,0,0
10,ssn,sink,2000,1,6.605518000e-03,6.529989000e-03,1.012005200e-02,54.349455,0.049756,1,Optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,22,0,56,0,0
11,ssn,sink,2000,1,2.040290000e-03,2.026221000e-03,2.400909000e-03,18.364448,0.025760,1,Optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,10,0,14,0,0
12,ssn,sink,2000,1,4.097880000e-04,3.981980000e-04,5.512980000e-04,37.360782,0.065864,1,Optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,6,0,0,0,0
14,ssn,sink,2000,1,3.620890000e-04,3.530180000e-04,4.244080000e-04,19.716147,0.058916,1,Optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,5,0,0,0,0
15,ssn,sink,2000,1,1.192159500e-03,1.174534000e-03,1.485163000e-03,26.055993,0.041304,1,Optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,8,0,7,0,0
22,ssn,sink,2000,1,5.240920000e-04,5.114880000e-04,6.411570000e-04,24.741648,0.050352,1,Optimal,1,2,6,34,0,0,0,0,0,0,3,3,0,0,0,0
24,ssn,sink,2000,1,6.529715000e-04,6.345970000e-04,8.539760000e-04,33.597025,0.047784,1,Optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,5,0,0,0,0
25,ssn,sink,2000,1,2.674000000e-05,2.637000000e-05,4.027900000e-05,52.015707,0.100136,1,Optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,sink,2000,1,1.122209000e-03,1.107735000e-03,3.997051000e-03,257.466836,0.175822,1,Optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,17,0,0,0,0
27,ssn,sink,2000,1,1.529792500e-03,1.486713000e-03,1.870091000e-03,25.060784,0.057291,1,Optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,5,0,7,0,0
28,ssn,sink,2000,1,2.718585000e-04,2.686690000e-04,3.661580000e-04,35.860199,0.069991,1,Optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,3,0,0,0,0
30,ssn,sink,2000,1,7.019865000e-04,6.842560000e-04,1.110375000e-03,60.701880,0.058681,1,Optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,11,0,0,0,0
33,ssn,sink,2000,1,5.339170000e-04,5.211070000e-04,8.480960000e-04,61.243414,0.068273,1,Optimal,-4.000000000818825,4,3,29,0,0,0,0,0,0,5,5,0,0,0,0
35,ssn,sink,2000,1,1.311400000e-04,1.291390000e-04,1.821490000e-04,40.422449,0.094961,1,Optimal,0.1111111111111108,1,0,7,0,0,0,0,0,0,2,1,0,0,0,0
38,ssn,sink,2000,1,5.149730500e-03,5.117946000e-03,7.244726000e-03,41.298860,0.031388,1,Optimal,3.5412104488228488e-19,49,28,327,0,0,0,0,0,0,50,56,0,0,0,0
39,ssn,sink,2000,1,1.125894000e-03,1.116025000e-03,1.491823000e-03,33.377742,0.036565,1,Optimal,-1.0000000251945493,9,7,64,0,0,0,0,0,0,10,10,0,0,0,0
40,ssn,sink,2000,1,3.182430000e-04,3.150590000e-04,3.744880000e-04,18.674095,0.060236,1,Optimal,-0.25000000000317785,4,0,12,0,0,0,0,0,0,5,4,0,0,0,0
43,ssn,sink,2000,1,8.911210000e-04,8.760350000e-04,1.122934000e-03,27.706563,0.031673,1,Optimal,-44.000000001934538,7,5,54,0,0,0,0,0,0,8,8,0,0,0,0
45,ssn,sink,2000,1,7.851615000e-04,7.732070000e-04,1.067495000e-03,37.481206,0.036542,1,Optimal,0.99999987823864456,3,6,31,0,0,0,0,0,0,4,5,0,0,0,0
76,ssn,sink,2000,1,2.767540000e-04,2.731390000e-04,3.405180000e-04,24.346170,0.065028,1,Optimal,-4.6818181818181817,2,0,18,0,0,0,0,0,0,3,2,0,0,0,0
77,ssn,sink,2000,1,1.035215000e-03,1.026405000e-03,1.980880000e-03,92.200654,0.074314,1,Optimal,0.24150512879002844,12,4,41,2,0,0,0,0,0,13,12,2,0,0,0
79,ssn,sink,2000,1,3.397180000e-04,3.350490000e-04,5.358580000e-04,59.110498,0.077262,1,Optimal,0.078776821223127472,4,0,12,0,0,0,0,0,0,5,4,0,0,0,0
