# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: walk
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine walk --repeat 1000 --hs-warmup 1 --hs-trace off --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art/raw/leg2/walk/off/passB-head-r3.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T13:00:54Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,off,1000,1,1.254704500e-03,1.242184000e-03,1.355914000e-03,9.064286,0.030120,1,optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,0,0,0,0,0
3,walk,off,1000,1,2.181490000e-04,2.154890000e-04,2.661180000e-04,23.208449,0.094131,1,optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
5,walk,off,1000,1,1.815095000e-04,1.793090000e-04,2.269090000e-04,26.224523,0.095851,1,optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
6,walk,off,1000,1,5.738380000e-04,5.612370000e-04,6.741770000e-04,19.681513,0.055028,1,optimal,0,8,22,8,0,0,0,0,0,0,9,0,0,0,0,0
7,walk,off,1000,1,7.298770000e-04,7.149770000e-04,8.186470000e-04,14.203763,0.043238,1,optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,0,0,0,0,0
10,walk,off,1000,1,5.384006000e-03,5.330956000e-03,5.860874000e-03,9.842448,0.051326,1,optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,0,0,0,0,0
11,walk,off,1000,1,1.329099500e-03,1.311294000e-03,1.499454000e-03,14.156954,0.035274,1,optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,0,0,0,0,0
12,walk,off,1000,1,3.926380000e-04,3.873480000e-04,5.155480000e-04,32.650941,0.080383,1,optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,0,0,0,0,0
14,walk,off,1000,1,2.489540000e-04,2.465190000e-04,3.186580000e-04,28.976839,0.084404,1,optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,0,0,0,0,0
15,walk,off,1000,1,9.912255000e-04,9.808260000e-04,1.104975000e-03,12.524799,0.033597,1,optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,0,0,0,0,0
22,walk,off,1000,1,2.508540000e-04,2.481480000e-04,3.006290000e-04,20.920934,0.094274,1,optimal,1,2,8,2,0,0,0,0,0,0,3,0,0,0,0,0
24,walk,off,1000,1,4.262230000e-04,4.188080000e-04,5.669270000e-04,34.751527,0.082553,1,optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,0,0,0,0,0
25,walk,off,1000,1,2.686000000e-05,2.659000000e-05,3.706000000e-05,38.979896,0.147258,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,off,1000,1,8.774760000e-04,8.651160000e-04,1.193544000e-03,37.428716,0.057625,1,optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,0,0,0,0,0
27,walk,off,1000,1,1.309089000e-03,1.290154000e-03,1.482464000e-03,14.690369,0.036729,1,optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,0,0,0,0,0
28,walk,off,1000,1,2.205290000e-04,2.172590000e-04,2.626690000e-04,20.591396,0.090924,1,optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,0,0,0,0,0
30,walk,off,1000,1,6.288170000e-04,6.159270000e-04,8.758860000e-04,41.340962,0.067929,1,optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,0,0,0,0,0
33,walk,off,1000,1,6.653115000e-04,6.523270000e-04,9.618060000e-04,46.516406,0.068872,1,optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,0,0,0,0,0
35,walk,off,1000,1,9.094950000e-05,8.998900000e-05,1.656190000e-04,83.156037,0.218813,1,optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0
38,walk,off,1000,1,3.281765500e-03,3.258275000e-03,3.464965000e-03,6.298134,0.022011,1,optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,0,0,0,0,0
39,walk,off,1000,1,6.759070000e-04,6.646770000e-04,8.303560000e-04,24.512100,0.048882,1,optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,0,0,0,0,0
40,walk,off,1000,1,2.296190000e-04,2.275590000e-04,2.748790000e-04,20.608051,0.086627,1,optimal,-0.25000000000317785,4,8,4,0,0,0,0,0,0,5,0,0,0,0,0
43,walk,off,1000,1,6.418920000e-04,6.287470000e-04,1.063575000e-03,67.741614,0.171854,1,optimal,-44.000000001934538,7,23,7,0,0,0,0,0,0,8,0,0,0,0,0
45,walk,off,1000,1,5.135630000e-04,5.046680000e-04,1.012776000e-03,98.937813,0.211397,1,optimal,1,3,8,3,0,0,0,0,0,0,4,0,0,0,0,0
76,walk,off,1000,1,2.747340000e-04,2.706790000e-04,3.493080000e-04,28.620047,0.089866,1,optimal,-4.6818181818181817,2,9,2,0,0,0,0,0,0,3,0,0,0,0,0
77,walk,off,1000,1,7.094420000e-04,6.979670000e-04,1.301174000e-03,85.025555,0.151782,1,optimal,0.24150512879002839,12,29,10,2,0,0,0,0,0,13,0,0,0,0,0
79,walk,off,1000,1,2.384840000e-04,2.362990000e-04,2.848990000e-04,20.378726,0.082406,1,optimal,0.078776821223127472,4,8,4,0,0,0,0,0,0,5,0,0,0,0,0
