# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: 335a6669adf1
# engine: walk
# repeat: 1000
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w5t89r/arm-head/build/bench/hven_sqp_corpus --hs --engine walk --repeat 1000 --hs-warmup 1 --hs-trace sink --csv /home/ghecht/Projects/hven/.scratch/w5t89r/art/raw/leg2/walk/sink/passB-head-r2.csv
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-11T13:04:46Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,sink,1000,1,1.254224000e-03,1.245044000e-03,4.100252000e-03,227.647374,0.353690,1,optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,29,0,0,0,0
3,walk,sink,1000,1,2.176690000e-04,2.154690000e-04,2.588790000e-04,19.943125,0.094039,1,optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
5,walk,sink,1000,1,1.815390000e-04,1.792100000e-04,2.564390000e-04,42.541272,0.123762,1,optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
6,walk,sink,1000,1,5.745675000e-04,5.616570000e-04,7.325570000e-04,29.744112,0.070268,1,optimal,0,8,22,8,0,0,0,0,0,0,9,8,0,0,0,0
7,walk,sink,1000,1,7.297865000e-04,7.169870000e-04,8.774960000e-04,21.993967,0.054333,1,optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,9,0,0,0,0
10,walk,sink,1000,1,5.401921000e-03,5.352286000e-03,7.315508000e-03,36.343034,0.070614,1,optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,14,0,56,0,0
11,walk,sink,1000,1,1.325955000e-03,1.316874000e-03,1.471904000e-03,11.691950,0.040531,1,optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,7,0,14,0,0
12,walk,sink,1000,1,3.867285000e-04,3.827180000e-04,4.407380000e-04,15.002773,0.062124,1,optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,6,0,0,0,0
14,walk,sink,1000,1,2.497485000e-04,2.473890000e-04,3.212090000e-04,29.557735,0.087457,1,optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,5,0,0,0,0
15,walk,sink,1000,1,9.928610000e-04,9.821650000e-04,1.190744000e-03,21.007875,0.041923,1,optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,7,0,7,0,0
22,walk,sink,1000,1,2.510290000e-04,2.485790000e-04,3.989080000e-04,59.885113,0.117925,1,optimal,1,2,8,2,0,0,0,0,0,0,3,2,0,0,0,0
24,walk,sink,1000,1,4.288080000e-04,4.214180000e-04,5.504470000e-04,30.090157,0.086327,1,optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,3,0,0,0,0
25,walk,sink,1000,1,2.682000000e-05,2.650000000e-05,5.000000000e-05,87.621178,0.169393,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,sink,1000,1,8.783160000e-04,8.664260000e-04,1.023505000e-03,17.884110,0.043745,1,optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,17,0,0,0,0
27,walk,sink,1000,1,1.306934000e-03,1.291964000e-03,1.522963000e-03,17.674879,0.067959,1,optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,4,0,7,0,0
28,walk,sink,1000,1,2.196390000e-04,2.172490000e-04,2.668290000e-04,22.573405,0.094631,1,optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
30,walk,sink,1000,1,6.255770000e-04,6.141470000e-04,7.533770000e-04,22.256253,0.066900,1,optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,11,0,0,0,0
33,walk,sink,1000,1,6.597170000e-04,6.487270000e-04,7.889670000e-04,21.257600,0.070805,1,optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,4,0,0,0,0
35,walk,sink,1000,1,9.117000000e-05,9.013900000e-05,1.410900000e-04,55.885708,0.156162,1,optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0
38,walk,sink,1000,1,3.267740500e-03,3.233576000e-03,3.549855000e-03,9.678829,0.031449,1,optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,49,0,0,0,0
39,walk,sink,1000,1,6.788320000e-04,6.665370000e-04,7.948070000e-04,18.895691,0.065230,1,optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,9,0,0,0,0
40,walk,sink,1000,1,2.304490000e-04,2.282090000e-04,2.827090000e-04,23.649484,0.100759,1,optimal,-0.25000000000317785,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
43,walk,sink,1000,1,6.410770000e-04,6.281270000e-04,1.018436000e-03,60.883326,0.401468,1,optimal,-44.000000001934538,7,23,7,0,0,0,0,0,0,8,7,0,0,0,0
45,walk,sink,1000,1,5.142975000e-04,5.051980000e-04,6.067170000e-04,19.739353,0.061834,1,optimal,1,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
76,walk,sink,1000,1,2.740840000e-04,2.706690000e-04,3.594390000e-04,32.387881,0.113297,1,optimal,-4.6818181818181817,2,9,2,0,0,0,0,0,0,3,2,0,0,0,0
77,walk,sink,1000,1,7.120120000e-04,7.005260000e-04,8.362860000e-04,19.067094,0.056696,1,optimal,0.24150512879002839,12,29,10,2,0,0,0,0,0,13,12,2,0,0,0
79,walk,sink,1000,1,2.387390000e-04,2.365590000e-04,3.223480000e-04,35.934221,0.102313,1,optimal,0.078776821223127472,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
