# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: ipm
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine ipm --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/perf-ipm-off-r3.csv --hs-trace off --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:28:05Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,off,200,1,2.283774500e-03,2.234110000e-03,2.778267000e-03,23.827090,0.518957,1,optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,0,0,0,0,0
3,ipm,off,200,1,5.817670000e-04,5.693170000e-04,6.207670000e-04,8.843747,0.102712,1,optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,0,0,0,0,0
5,ipm,off,200,1,3.613335000e-04,3.564380000e-04,4.170780000e-04,16.782280,0.163542,1,optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,0,0,0,0,0
6,ipm,off,200,1,9.125055000e-04,8.978460000e-04,9.581360000e-04,6.607083,0.099913,1,optimal,0,8,0,87,0,0,0,0,0,0,9,0,0,0,0,0
7,ipm,off,200,1,1.062980000e-03,1.056626000e-03,1.110565000e-03,5.074319,0.104729,1,optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,0,0,0,0,0
10,ipm,off,200,1,4.565234000e-03,4.527619000e-03,4.831328000e-03,6.652649,0.060522,1,optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,0,0,0,0,0
11,ipm,off,200,1,1.180914500e-03,1.171885000e-03,1.244314000e-03,6.133298,0.082601,1,optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,0,0,0,0,0
12,ipm,off,200,1,7.332070000e-04,7.155570000e-04,8.045460000e-04,12.136955,0.191004,1,optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,0,0,0,0,0
14,ipm,off,200,1,5.683070000e-04,5.427770000e-04,6.063570000e-04,11.187615,0.214329,1,optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,0,0,0,0,0
15,ipm,off,200,1,3.103816000e-03,3.067956000e-03,3.182885000e-03,3.702829,0.062639,1,optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,0,0,0,0,0
22,ipm,off,200,1,7.511460000e-04,7.166070000e-04,8.063860000e-04,11.952270,0.155450,1,optimal,1,2,6,53,0,0,0,0,0,0,3,0,0,0,0,0
24,ipm,off,200,1,5.815375000e-04,5.540580000e-04,6.471470000e-04,16.007394,0.232381,1,optimal,-1.0000000000000002,3,0,49,0,0,0,0,0,0,4,0,0,0,0,0
25,ipm,off,200,1,2.670000000e-05,2.624000000e-05,4.506000000e-05,70.486891,0.696877,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ipm,off,200,1,1.723182000e-03,1.678852000e-03,1.781332000e-03,5.947137,0.110351,1,optimal,2.282201461231784e-12,17,0,137,0,0,0,0,0,0,18,0,0,0,0,0
27,ipm,off,200,1,1.953991500e-03,1.914031000e-03,2.018050000e-03,5.323411,0.071050,1,optimal,0.040000000000000001,4,27,124,0,0,1,6,0,0,5,0,0,0,0,0
28,ipm,off,200,1,5.182775000e-04,4.971570000e-04,5.534680000e-04,10.865029,0.225647,1,optimal,1.5099290763995929e-31,3,0,40,0,0,0,0,0,0,4,0,0,0,0,0
30,ipm,off,200,1,1.242299500e-03,1.220694000e-03,1.314794000e-03,7.574663,0.120962,1,optimal,1.0000002384185498,11,0,102,0,0,0,0,0,0,12,0,0,0,0,0
33,ipm,off,200,1,2.030386000e-03,1.966990000e-03,2.072121000e-03,5.177882,0.084020,1,optimal,-4.5857864376269051,7,0,233,0,0,0,0,0,0,8,0,0,0,0,0
35,ipm,off,200,1,1.547445000e-04,1.498200000e-04,2.009790000e-04,33.060303,0.525814,1,optimal,0.1111111111111108,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0
38,ipm,off,200,1,6.647854000e-03,6.557219000e-03,6.850328000e-03,4.409077,0.072353,1,optimal,1.9365518387745271e-23,49,4,613,0,0,0,0,0,0,50,0,0,0,0,0
39,ipm,off,200,1,1.216234500e-03,1.180325000e-03,1.464153000e-03,23.336618,0.164073,1,optimal,-1.000000025193696,9,0,96,0,0,0,0,0,0,10,0,0,0,0,0
40,ipm,off,200,1,4.933675000e-04,4.702080000e-04,5.512170000e-04,16.419606,0.246008,1,optimal,-0.25000000000317785,4,0,30,0,0,0,0,0,0,5,0,0,0,0,0
43,ipm,off,200,1,1.356629000e-03,1.335634000e-03,1.416504000e-03,5.961099,0.110717,1,optimal,-44.000000001934538,7,5,90,0,0,0,0,0,0,8,0,0,0,0,0
45,ipm,off,200,1,1.141244500e-03,1.117875000e-03,1.179165000e-03,5.370453,0.105075,1,optimal,1.0000000000049998,3,3,116,0,0,0,0,0,0,4,0,0,0,0,0
76,ipm,off,200,1,5.285820000e-04,5.056770000e-04,5.802580000e-04,14.109637,0.200270,1,optimal,-4.6818181818181817,2,0,42,0,0,0,0,0,0,3,0,0,0,0,0
77,ipm,off,200,1,1.492273000e-03,1.448223000e-03,1.574753000e-03,8.479012,0.111434,1,optimal,0.24150512879002825,12,4,85,2,0,0,0,0,0,13,0,0,0,0,0
79,ipm,off,200,1,5.141680000e-04,4.894380000e-04,5.515680000e-04,12.083599,0.252588,1,optimal,0.078776821223127472,4,0,30,0,0,0,0,0,0,5,0,0,0,0,0
