# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: ipm
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine ipm --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/perf-ipm-sink-r2.csv --hs-trace sink --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:27:35Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,sink,200,1,2.313864500e-03,2.266430000e-03,2.686518000e-03,18.155255,0.165636,1,optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,29,0,0,0,0
3,ipm,sink,200,1,6.005370000e-04,5.748180000e-04,6.439580000e-04,11.513029,0.194990,1,optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,4,0,0,0,3
5,ipm,sink,200,1,3.736130000e-04,3.591180000e-04,4.051280000e-04,12.314882,0.291851,1,optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,4,0,0,0,0
6,ipm,sink,200,1,9.511150000e-04,9.184760000e-04,9.762860000e-04,6.078129,0.123789,1,optimal,0,8,0,87,0,0,0,0,0,0,9,8,0,0,0,0
7,ipm,sink,200,1,1.110830000e-03,1.082035000e-03,1.192545000e-03,9.948417,0.125052,1,optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,9,0,0,0,0
10,ipm,sink,200,1,4.668994000e-03,4.619909000e-03,4.884978000e-03,5.677219,0.094905,1,optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,14,0,52,0,0
11,ipm,sink,200,1,1.209660000e-03,1.195785000e-03,1.320774000e-03,10.332573,0.130392,1,optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,7,0,8,0,0
12,ipm,sink,200,1,7.574360000e-04,7.210970000e-04,7.972560000e-04,10.054843,0.166620,1,optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,6,0,0,0,2
14,ipm,sink,200,1,5.695820000e-04,5.442670000e-04,6.163970000e-04,12.663673,0.227283,1,optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,5,0,0,0,0
15,ipm,sink,200,1,3.108375000e-03,3.067676000e-03,3.238995000e-03,5.511529,0.073595,1,optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,9,0,11,1,0
22,ipm,sink,200,1,7.209460000e-04,6.871860000e-04,7.555970000e-04,9.489060,0.169878,1,optimal,1,2,6,53,0,0,0,0,0,0,3,3,0,0,0,1
24,ipm,sink,200,1,5.815575000e-04,5.533270000e-04,6.418570000e-04,15.222914,0.223790,1,optimal,-1.0000000000000002,3,0,49,0,0,0,0,0,0,4,3,0,0,0,0
25,ipm,sink,200,1,2.677950000e-05,2.646000000e-05,3.760900000e-05,41.632592,0.551327,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ipm,sink,200,1,1.740882000e-03,1.689912000e-03,1.794952000e-03,6.033723,0.090444,1,optimal,2.282201461231784e-12,17,0,137,0,0,0,0,0,0,18,17,0,0,0,0
27,ipm,sink,200,1,1.920821500e-03,1.873181000e-03,1.959501000e-03,4.493911,0.083660,1,optimal,0.040000000000000001,4,27,124,0,0,1,6,0,0,5,4,0,7,1,1
28,ipm,sink,200,1,4.681880000e-04,4.428480000e-04,5.483870000e-04,22.542013,0.285699,1,optimal,1.5099290763995929e-31,3,0,40,0,0,0,0,0,0,4,3,0,0,0,1
30,ipm,sink,200,1,1.239159000e-03,1.224674000e-03,1.297934000e-03,5.912074,0.108655,1,optimal,1.0000002384185498,11,0,102,0,0,0,0,0,0,12,11,0,0,0,0
33,ipm,sink,200,1,1.902096500e-03,1.862781000e-03,1.974391000e-03,5.867736,0.102618,1,optimal,-4.5857864376269051,7,0,233,0,0,0,0,0,0,8,7,0,0,0,1
35,ipm,sink,200,1,1.539795000e-04,1.500590000e-04,1.894490000e-04,25.581327,0.522074,1,optimal,0.1111111111111108,1,0,10,0,0,0,0,0,0,2,1,0,0,0,0
38,ipm,sink,200,1,6.175367000e-03,6.132012000e-03,6.338601000e-03,3.345372,0.037144,1,optimal,1.9365518387745271e-23,49,4,613,0,0,0,0,0,0,50,49,0,0,1,0
39,ipm,sink,200,1,1.219374500e-03,1.185264000e-03,1.266934000e-03,6.697696,0.090025,1,optimal,-1.000000025193696,9,0,96,0,0,0,0,0,0,10,9,0,0,0,0
40,ipm,sink,200,1,4.944080000e-04,4.705280000e-04,5.466070000e-04,15.387898,0.256855,1,optimal,-0.25000000000317785,4,0,30,0,0,0,0,0,0,5,4,0,0,0,0
43,ipm,sink,200,1,1.363599000e-03,1.335114000e-03,1.426213000e-03,6.680776,0.109398,1,optimal,-44.000000001934538,7,5,90,0,0,0,0,0,0,8,8,0,0,0,1
45,ipm,sink,200,1,1.139734000e-03,1.119315000e-03,1.189575000e-03,6.164596,0.118331,1,optimal,1.0000000000049998,3,3,116,0,0,0,0,0,0,4,4,0,0,0,3
76,ipm,sink,200,1,5.273475000e-04,5.043270000e-04,5.710370000e-04,12.650103,0.194629,1,optimal,-4.6818181818181817,2,0,42,0,0,0,0,0,0,3,2,0,0,0,0
