# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: ssn
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine ssn --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/perf-ssn-off-r2.csv --hs-trace off --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:27:15Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,off,200,1,1.702682000e-03,1.657663000e-03,2.234819000e-03,33.896876,0.762847,1,optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,0,0,0,0,0
3,ssn,off,200,1,3.474730000e-04,3.283580000e-04,3.839480000e-04,15.998365,0.318772,1,optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,0,0,0,0,0
5,ssn,off,200,1,3.681685000e-04,3.495180000e-04,4.024780000e-04,14.384718,0.305768,1,optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,0,0,0,0,0
6,ssn,off,200,1,1.067390500e-03,1.046416000e-03,1.137744000e-03,8.556194,0.104176,1,optimal,0,8,8,73,0,0,0,0,0,0,9,0,0,0,0,0
7,ssn,off,200,1,1.110980000e-03,1.091375000e-03,1.201154000e-03,9.881276,0.101117,1,optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,0,0,0,0,0
10,ssn,off,200,1,6.605604500e-03,6.559630000e-03,6.907558000e-03,5.267164,0.089916,1,optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,0,0,0,0,0
11,ssn,off,200,1,1.938431500e-03,1.901651000e-03,2.000741000e-03,5.111865,0.069868,1,optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,0,0,0,0,0
12,ssn,off,200,1,4.118180000e-04,3.928680000e-04,4.619180000e-04,16.767116,0.291382,1,optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,0,0,0,0,0
14,ssn,off,200,1,3.603830000e-04,3.469380000e-04,4.183880000e-04,19.826129,0.307947,1,optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,0,0,0,0,0
15,ssn,off,200,1,1.209940000e-03,1.180754000e-03,1.276734000e-03,7.932625,0.098515,1,optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,0,0,0,0,0
22,ssn,off,200,1,5.261025000e-04,5.006270000e-04,5.583380000e-04,10.969535,0.211248,1,optimal,1,2,6,34,0,0,0,0,0,0,3,0,0,0,0,0
24,ssn,off,200,1,6.569470000e-04,6.270670000e-04,7.105560000e-04,12.708636,0.188751,1,optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,0,0,0,0,0
25,ssn,off,200,1,2.666000000e-05,2.625000000e-05,6.805000000e-05,156.789197,1.129679,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,off,200,1,1.132300000e-03,1.116335000e-03,1.198944000e-03,7.295681,0.079965,1,optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,0,0,0,0,0
27,ssn,off,200,1,1.520768000e-03,1.490783000e-03,1.616393000e-03,8.259642,0.113870,1,optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,0,0,0,0,0
28,ssn,off,200,1,2.757790000e-04,2.655990000e-04,3.540380000e-04,32.068794,0.409010,1,optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,0,0,0,0,0
30,ssn,off,200,1,7.034470000e-04,6.715870000e-04,7.515770000e-04,11.371148,0.171959,1,optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,0,0,0,0,0
33,ssn,off,200,1,5.404430000e-04,5.153980000e-04,5.635070000e-04,8.901771,0.200236,1,optimal,-4.000000000818825,4,3,29,0,0,0,0,0,0,5,0,0,0,0,0
35,ssn,off,200,1,1.316395000e-04,1.293800000e-04,1.656890000e-04,27.582147,0.543036,1,optimal,0.1111111111111108,1,0,7,0,0,0,0,0,0,2,0,0,0,0,0
