# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: walk
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine walk --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/perf-walk-off-r2.csv --hs-trace off --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:27:05Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,off,200,1,1.294474000e-03,1.276814000e-03,1.384214000e-03,8.296806,0.093374,1,optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,0,0,0,0,0
3,walk,off,200,1,2.230590000e-04,2.182890000e-04,2.556090000e-04,16.730999,0.366288,1,optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
5,walk,off,200,1,1.856290000e-04,1.814890000e-04,2.277290000e-04,24.909901,0.440285,1,optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,0,0,0,0,0
6,walk,off,200,1,5.975825000e-04,5.739970000e-04,6.326770000e-04,9.819565,0.176224,1,optimal,0,8,22,8,0,0,0,0,0,0,9,0,0,0,0,0
7,walk,off,200,1,7.626720000e-04,7.292360000e-04,8.183160000e-04,11.679988,0.166310,1,optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,0,0,0,0,0
10,walk,off,200,1,5.596379500e-03,5.531864000e-03,5.854124000e-03,5.758366,0.088583,1,optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,0,0,0,0,0
11,walk,off,200,1,1.423488500e-03,1.404234000e-03,1.462973000e-03,4.126412,0.076957,1,optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,0,0,0,0,0
12,walk,off,200,1,4.393780000e-04,4.181280000e-04,5.030370000e-04,19.324818,0.272440,1,optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,0,0,0,0,0
14,walk,off,200,1,2.727735000e-04,2.621180000e-04,3.197590000e-04,21.131452,0.355103,1,optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,0,0,0,0,0
15,walk,off,200,1,1.064345500e-03,1.051346000e-03,1.151734000e-03,9.431900,0.085539,1,optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,0,0,0,0,0
22,walk,off,200,1,2.873535000e-04,2.778790000e-04,3.376580000e-04,20.803296,0.368619,1,optimal,1,2,8,2,0,0,0,0,0,0,3,0,0,0,0,0
24,walk,off,200,1,4.590430000e-04,4.313580000e-04,5.122970000e-04,17.632117,0.373984,1,optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,0,0,0,0,0
25,walk,off,200,1,2.659450000e-05,2.620000000e-05,4.016000000e-05,52.492057,0.595371,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,off,200,1,9.305060000e-04,9.000560000e-04,9.547750000e-04,5.880564,0.089023,1,optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,0,0,0,0,0
27,walk,off,200,1,1.390683000e-03,1.366603000e-03,1.429283000e-03,4.507138,0.086346,1,optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,0,0,0,0,0
28,walk,off,200,1,2.279690000e-04,2.204490000e-04,2.598090000e-04,17.265505,0.379971,1,optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,0,0,0,0,0
30,walk,off,200,1,6.478520000e-04,6.230270000e-04,7.028570000e-04,12.322259,0.158781,1,optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,0,0,0,0,0
33,walk,off,200,1,6.870620000e-04,6.622870000e-04,7.178070000e-04,8.080785,0.139797,1,optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,0,0,0,0,0
35,walk,off,200,1,9.287500000e-05,9.094900000e-05,1.171200000e-04,28.178735,0.562933,1,optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0
38,walk,off,200,1,3.369620000e-03,3.346175000e-03,3.430564000e-03,2.504407,0.031690,1,optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,0,0,0,0,0
39,walk,off,200,1,7.004865000e-04,6.709070000e-04,7.348870000e-04,9.133652,0.150019,1,optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,0,0,0,0,0
