# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: walk
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine walk --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/perf-walk-sink-r3.csv --hs-trace sink --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:27:47Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,sink,200,1,1.267544500e-03,1.241804000e-03,1.298555000e-03,4.477239,0.107465,1,optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,29,0,0,0,0
3,walk,sink,200,1,2.212440000e-04,2.158190000e-04,2.623190000e-04,21.017519,0.379412,1,optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
5,walk,sink,200,1,1.833595000e-04,1.790890000e-04,2.366890000e-04,31.413698,0.449795,1,optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
6,walk,sink,200,1,5.857580000e-04,5.641470000e-04,6.063580000e-04,7.206218,0.169078,1,optimal,0,8,22,8,0,0,0,0,0,0,9,8,0,0,0,0
7,walk,sink,200,1,7.502120000e-04,7.206670000e-04,7.911960000e-04,9.401209,0.140649,1,optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,9,0,0,0,0
10,walk,sink,200,1,5.499469500e-03,5.458215000e-03,5.778504000e-03,5.823998,0.092638,1,optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,14,0,56,0,0
11,walk,sink,200,1,1.406603500e-03,1.386913000e-03,1.475533000e-03,6.300283,0.088284,1,optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,7,0,14,0,0
12,walk,sink,200,1,4.251730000e-04,4.047080000e-04,4.525380000e-04,11.249538,0.251452,1,optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,6,0,0,0,0
14,walk,sink,200,1,2.510240000e-04,2.453580000e-04,2.882490000e-04,17.086414,0.367554,1,optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,5,0,0,0,0
15,walk,sink,200,1,1.070460000e-03,1.050235000e-03,1.121355000e-03,6.643873,0.069833,1,optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,7,0,7,0,0
22,walk,sink,200,1,2.789785000e-04,2.671390000e-04,3.113580000e-04,15.850325,0.333803,1,optimal,1,2,8,2,0,0,0,0,0,0,3,2,0,0,0,0
24,walk,sink,200,1,4.669575000e-04,4.484480000e-04,5.112680000e-04,13.453044,0.244771,1,optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,3,0,0,0,0
25,walk,sink,200,1,2.666000000e-05,2.631000000e-05,4.279900000e-05,61.849212,0.564401,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,sink,200,1,8.967910000e-04,8.650760000e-04,9.536160000e-04,9.872980,0.102386,1,optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,17,0,0,0,0
27,walk,sink,200,1,1.347569000e-03,1.325674000e-03,1.452273000e-03,9.394621,0.154842,1,optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,4,0,7,0,0
28,walk,sink,200,1,2.261940000e-04,2.184090000e-04,2.640290000e-04,20.168528,0.382491,1,optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
30,walk,sink,200,1,6.411370000e-04,6.183570000e-04,6.727270000e-04,8.480247,0.161328,1,optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,11,0,0,0,0
33,walk,sink,200,1,6.792160000e-04,6.550470000e-04,7.007870000e-04,6.734235,0.134152,1,optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,4,0,0,0,0
35,walk,sink,200,1,9.232450000e-05,9.034000000e-05,1.236900000e-04,36.122589,0.597344,1,optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0
38,walk,sink,200,1,3.318815000e-03,3.298095000e-03,3.387444000e-03,2.692196,0.036818,1,optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,49,0,0,0,0
39,walk,sink,200,1,6.931065000e-04,6.650370000e-04,7.428160000e-04,11.221796,0.154708,1,optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,9,0,0,0,0
40,walk,sink,200,1,2.344290000e-04,2.268590000e-04,2.624090000e-04,15.164506,0.354117,1,optimal,-0.25000000000317785,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
43,walk,sink,200,1,6.552470000e-04,6.283770000e-04,6.909670000e-04,9.552123,0.170118,1,optimal,-44.000000001934538,7,23,7,0,0,0,0,0,0,8,7,0,0,0,0
45,walk,sink,200,1,5.220780000e-04,5.057870000e-04,5.459770000e-04,7.698083,0.173328,1,optimal,1,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
76,walk,sink,200,1,2.805480000e-04,2.709490000e-04,3.372690000e-04,23.639449,0.350491,1,optimal,-4.6818181818181817,2,9,2,0,0,0,0,0,0,3,2,0,0,0,0
77,walk,sink,200,1,7.284310000e-04,6.981870000e-04,7.460060000e-04,6.564657,0.129908,1,optimal,0.24150512879002839,12,29,10,2,0,0,0,0,0,13,12,2,0,0,0
79,walk,sink,200,1,2.456035000e-04,2.360990000e-04,3.233990000e-04,35.545096,0.369763,1,optimal,0.078776821223127472,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
