# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: ipm
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine ipm --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/wall-ipm-sink-r1.csv --hs-trace sink --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:28:55Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ipm,sink,200,1,2.297724000e-03,2.251110000e-03,2.563939000e-03,13.614734,0.134597,1,optimal,6.936546680196378e-24,29,0,219,0,0,0,0,0,0,30,29,0,0,0,0
3,ipm,sink,200,1,5.853775000e-04,5.726380000e-04,6.148670000e-04,7.213977,0.121749,1,optimal,5.6137605401209312e-18,4,0,71,0,0,0,0,0,0,5,4,0,0,0,3
5,ipm,sink,200,1,3.632735000e-04,3.594780000e-04,3.888380000e-04,8.082065,0.149074,1,optimal,-1.9132229549810362,4,0,34,0,0,0,0,0,0,5,4,0,0,0,0
6,ipm,sink,200,1,9.271655000e-04,9.077750000e-04,1.011745000e-03,11.213748,0.137394,1,optimal,0,8,0,87,0,0,0,0,0,0,9,8,0,0,0,0
7,ipm,sink,200,1,1.077330000e-03,1.064225000e-03,1.324524000e-03,24.161492,0.192451,1,optimal,-1.7320508086422415,9,0,111,0,0,0,0,0,0,10,9,0,0,0,0
10,ipm,sink,200,1,4.585754000e-03,4.546799000e-03,4.782928000e-03,5.149186,0.089823,1,optimal,-1.0000000024811382,14,177,71,0,0,8,44,3,0,15,14,0,52,0,0
11,ipm,sink,200,1,1.187439500e-03,1.181174000e-03,1.401493000e-03,18.554124,0.140238,1,optimal,-8.4984642243504283,7,16,81,0,0,2,6,2,0,8,7,0,8,0,0
12,ipm,sink,200,1,7.342460000e-04,7.196870000e-04,7.680560000e-04,6.587574,0.098973,1,optimal,-30.000000000910365,6,0,63,0,0,0,0,0,0,7,6,0,0,0,2
14,ipm,sink,200,1,5.576325000e-04,5.449870000e-04,6.036470000e-04,10.519473,0.133012,1,optimal,1.393464980687884,5,0,39,0,0,0,0,0,0,6,5,0,0,0,0
15,ipm,sink,200,1,3.049291000e-03,3.032086000e-03,3.374315000e-03,11.223232,0.094285,1,optimal,360.37976717122223,9,32,242,0,0,2,9,1,0,10,9,0,11,1,0
22,ipm,sink,200,1,7.009670000e-04,6.878470000e-04,7.475770000e-04,8.521086,0.117612,1,optimal,1,2,6,53,0,0,0,0,0,0,3,3,0,0,0,1
24,ipm,sink,200,1,5.666925000e-04,5.544670000e-04,5.969470000e-04,7.496129,0.134072,1,optimal,-1.0000000000000002,3,0,49,0,0,0,0,0,0,4,3,0,0,0,0
25,ipm,sink,200,1,2.660950000e-05,2.630900000e-05,3.502000000e-05,32.736429,0.364884,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ipm,sink,200,1,1.705257500e-03,1.662372000e-03,1.777042000e-03,6.724498,0.095167,1,optimal,2.282201461231784e-12,17,0,137,0,0,0,0,0,0,18,17,0,0,0,0
27,ipm,sink,200,1,1.884431000e-03,1.847722000e-03,2.108891000e-03,13.859303,0.107087,1,optimal,0.040000000000000001,4,27,124,0,0,1,6,0,0,5,4,0,7,1,1
28,ipm,sink,200,1,4.572080000e-04,4.428480000e-04,5.191680000e-04,16.692621,0.173110,1,optimal,1.5099290763995929e-31,3,0,40,0,0,0,0,0,0,4,3,0,0,0,1
30,ipm,sink,200,1,1.224954500e-03,1.209084000e-03,1.268584000e-03,4.857323,0.103475,1,optimal,1.0000002384185498,11,0,102,0,0,0,0,0,0,12,11,0,0,0,0
33,ipm,sink,200,1,1.864431500e-03,1.843662000e-03,1.950371000e-03,5.723407,0.105450,1,optimal,-4.5857864376269051,7,0,233,0,0,0,0,0,0,8,7,0,0,0,1
35,ipm,sink,200,1,1.511245000e-04,1.496390000e-04,1.678790000e-04,12.069519,0.241919,1,optimal,0.1111111111111108,1,0,10,0,0,0,0,0,0,2,1,0,0,0,0
38,ipm,sink,200,1,6.077372000e-03,6.041032000e-03,6.340241000e-03,4.923329,0.040112,1,optimal,1.9365518387745271e-23,49,4,613,0,0,0,0,0,0,50,49,0,0,1,0
39,ipm,sink,200,1,1.194714500e-03,1.175834000e-03,1.233575000e-03,4.833038,0.069525,1,optimal,-1.000000025193696,9,0,96,0,0,0,0,0,0,10,9,0,0,0,0
40,ipm,sink,200,1,4.876480000e-04,4.772680000e-04,5.129080000e-04,7.308550,0.138965,1,optimal,-0.25000000000317785,4,0,30,0,0,0,0,0,0,5,4,0,0,0,0
43,ipm,sink,200,1,1.331883500e-03,1.315504000e-03,1.394084000e-03,5.899915,0.091594,1,optimal,-44.000000001934538,7,5,90,0,0,0,0,0,0,8,8,0,0,0,1
45,ipm,sink,200,1,1.120174500e-03,1.102455000e-03,1.394093000e-03,26.035051,0.187603,1,optimal,1.0000000000049998,3,3,116,0,0,0,0,0,0,4,4,0,0,0,3
76,ipm,sink,200,1,5.150175000e-04,5.029380000e-04,5.605170000e-04,11.180008,0.163982,1,optimal,-4.6818181818181817,2,0,42,0,0,0,0,0,0,3,2,0,0,0,0
77,ipm,sink,200,1,1.464268000e-03,1.430863000e-03,1.696402000e-03,18.134590,0.127617,1,optimal,0.24150512879002825,12,4,85,2,0,0,0,0,0,13,12,2,0,0,0
79,ipm,sink,200,1,5.058480000e-04,4.928880000e-04,5.316080000e-04,7.654473,0.153707,1,optimal,0.078776821223127472,4,0,30,0,0,0,0,0,0,5,4,0,0,0,0
