# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: ssn
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: off
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine ssn --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/wall-ssn-off-r1.csv --hs-trace off --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:28:35Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,ssn,off,200,1,1.667533000e-03,1.639512000e-03,2.231510000e-03,35.501426,0.784654,1,optimal,6.9335124869616801e-24,29,0,129,0,0,0,0,0,0,30,0,0,0,0,0
3,ssn,off,200,1,3.425835000e-04,3.293090000e-04,3.616380000e-04,9.436823,0.186105,1,optimal,5.6137622037909853e-18,4,3,25,0,0,0,0,0,0,5,0,0,0,0,0
5,ssn,off,200,1,3.594180000e-04,3.510580000e-04,4.069580000e-04,15.552922,0.225889,1,optimal,-1.9132229549810367,4,0,23,0,0,0,0,0,0,5,0,0,0,0,0
6,ssn,off,200,1,1.048600500e-03,1.028426000e-03,1.110515000e-03,7.828434,0.080991,1,optimal,0,8,8,73,0,0,0,0,0,0,9,0,0,0,0,0
7,ssn,off,200,1,1.093890000e-03,1.072915000e-03,1.130795000e-03,5.291208,0.075345,1,optimal,-1.7320508086422388,9,10,70,0,0,0,0,0,0,10,0,0,0,0,0
10,ssn,off,200,1,6.478180000e-03,6.440620000e-03,6.804679000e-03,5.619773,0.093360,1,optimal,-1.0000000024811417,14,200,206,0,0,8,48,0,0,15,0,0,0,0,0
11,ssn,off,200,1,1.904891500e-03,1.888261000e-03,1.967711000e-03,4.170841,0.057941,1,optimal,-8.4984642243504283,7,47,76,0,0,2,12,0,0,8,0,0,0,0,0
12,ssn,off,200,1,4.052230000e-04,3.945780000e-04,4.390180000e-04,10.966801,0.152370,1,optimal,-30.000000000910365,6,0,27,0,0,0,0,0,0,7,0,0,0,0,0
14,ssn,off,200,1,3.525580000e-04,3.480990000e-04,3.926880000e-04,12.647281,0.171544,1,optimal,1.393464980687884,5,0,19,0,0,0,0,0,0,6,0,0,0,0,0
15,ssn,off,200,1,1.191649500e-03,1.171875000e-03,1.462553000e-03,24.392911,0.159344,1,optimal,360.37976717049241,7,21,44,0,0,1,6,0,0,8,0,0,0,0,0
22,ssn,off,200,1,5.179580000e-04,5.022680000e-04,5.351170000e-04,6.342020,0.109878,1,optimal,1,2,6,34,0,0,0,0,0,0,3,0,0,0,0,0
24,ssn,off,200,1,6.459870000e-04,6.284670000e-04,6.833660000e-04,8.498468,0.118099,1,optimal,-1.0000000000000002,3,10,22,0,0,0,0,0,0,4,0,0,0,0,0
25,ssn,off,200,1,2.662500000e-05,2.634000000e-05,5.665000000e-05,113.840376,0.764319,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,ssn,off,200,1,1.108360000e-03,1.093315000e-03,1.144174000e-03,4.588672,0.057445,1,optimal,2.282201460984409e-12,17,0,61,0,0,0,0,0,0,18,0,0,0,0,0
27,ssn,off,200,1,1.497918000e-03,1.474493000e-03,1.574742000e-03,6.692556,0.082836,1,optimal,0.040000000000000001,4,27,74,0,0,1,6,0,0,5,0,0,0,0,0
28,ssn,off,200,1,2.719590000e-04,2.673080000e-04,2.897990000e-04,8.269997,0.170165,1,optimal,1.2325951644078309e-32,3,0,20,0,0,0,0,0,0,4,0,0,0,0,0
30,ssn,off,200,1,6.902520000e-04,6.756770000e-04,9.221860000e-04,35.712899,0.238796,1,optimal,1.0000002384185498,11,0,38,0,0,0,0,0,0,12,0,0,0,0,0
33,ssn,off,200,1,5.303525000e-04,5.158180000e-04,5.552270000e-04,7.430718,0.115290,1,optimal,-4.000000000818825,4,3,29,0,0,0,0,0,0,5,0,0,0,0,0
35,ssn,off,200,1,1.314990000e-04,1.292690000e-04,1.466790000e-04,13.239644,0.251735,1,optimal,0.1111111111111108,1,0,7,0,0,0,0,0,0,2,0,0,0,0,0
38,ssn,off,200,1,5.054071500e-03,5.029637000e-03,5.331036000e-03,5.963489,0.045628,1,optimal,3.5412104488228488e-19,49,28,327,0,0,0,0,0,0,50,0,0,0,0,0
39,ssn,off,200,1,1.130345000e-03,1.107245000e-03,1.443824000e-03,29.776661,0.190337,1,optimal,-1.0000000251945493,9,7,64,0,0,0,0,0,0,10,0,0,0,0,0
40,ssn,off,200,1,3.186035000e-04,3.129890000e-04,3.558580000e-04,13.455282,0.217228,1,optimal,-0.25000000000317785,4,0,12,0,0,0,0,0,0,5,0,0,0,0,0
43,ssn,off,200,1,8.770060000e-04,8.600260000e-04,9.256060000e-04,7.477714,0.081053,1,optimal,-44.000000001934538,7,5,54,0,0,0,0,0,0,8,0,0,0,0,0
45,ssn,off,200,1,7.758810000e-04,7.630070000e-04,8.044460000e-04,5.340896,0.079087,1,optimal,0.99999987823864456,3,6,31,0,0,0,0,0,0,4,0,0,0,0,0
