# hven_sqp_corpus HS-suite provenance (M6 W5 T6.d leg 2)
# binary: b0a7ffaa4342-dirty
# engine: walk
# repeat: 200
# warmup: 1 (untimed solves per cell, discarded)
# trace: sink
# invocation: /home/ghecht/Projects/hven/.scratch/w6t6/build-release/bench/hven_sqp_corpus --hs --engine walk --csv /home/ghecht/Projects/hven/.scratch/w6t6/art/raw/hs/wall-walk-sink-r1.csv --hs-trace sink --repeat 200 --hs-warmup 1
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-14T11:28:30Z
# cells: tests/sqp/support/hs_problems.h hs_numbers()
# aggregation: wall_median_s is the MEDIAN of `repeat` in-process solves; the corpus
#              figure is the SUM of per-cell medians, never a mean of ratios.
# NOT gate-scored, and no wall-deadline machinery: these cells run in milliseconds.
# Wall-clock here is quotable ONLY under CLAUDE.md section 7's terms -- solo, pinned,
# MKL_NUM_THREADS=1, OMP_NUM_THREADS=1, one process, alternating arms.
hs,engine,trace,repeat,warmup,wall_median_s,wall_min_s,wall_max_s,spread_pct,median_se_pct,counters_stable,status,f,majors,qp_minors,factorizations,soc_steps,soc_applied,elastic_activations,elastic_escalations,elastic_from_ipqp_escape,ipqp_fallback_rung_b,history_rows,ev_dispatch,ev_soc_resolve,ev_elastic_rung,ev_fallback_rung_b,ev_ssn_warm_grade
1,walk,sink,200,1,1.259374000e-03,1.252894000e-03,1.309534000e-03,4.497473,0.049032,1,optimal,6.936546680196378e-24,29,66,27,0,0,0,0,0,0,30,29,0,0,0,0
3,walk,sink,200,1,2.194690000e-04,2.177090000e-04,2.319190000e-04,6.474719,0.158840,1,optimal,5.6137536525295306e-18,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
5,walk,sink,200,1,1.822240000e-04,1.806090000e-04,2.065890000e-04,14.257178,0.192151,1,optimal,-1.9132229549810362,4,9,4,0,0,0,0,0,0,5,4,0,0,0,0
6,walk,sink,200,1,5.793820000e-04,5.673480000e-04,5.993670000e-04,5.526406,0.100990,1,optimal,0,8,22,8,0,0,0,0,0,0,9,8,0,0,0,0
7,walk,sink,200,1,7.382265000e-04,7.253460000e-04,9.251060000e-04,27.059446,0.182952,1,optimal,-1.7320508086422415,9,28,11,0,0,0,0,0,0,10,9,0,0,0,0
10,walk,sink,200,1,5.452275000e-03,5.404935000e-03,5.745173000e-03,6.240294,0.102903,1,optimal,-1.0000000024811382,14,218,64,0,0,8,48,0,0,15,14,0,56,0,0
11,walk,sink,200,1,1.397309000e-03,1.383154000e-03,1.432104000e-03,3.503162,0.067895,1,optimal,-8.4984642243504283,7,55,9,0,0,2,12,0,0,8,7,0,14,0,0
12,walk,sink,200,1,4.201580000e-04,4.111580000e-04,4.661080000e-04,13.078413,0.178414,1,optimal,-30.000000000910362,6,16,6,0,0,0,0,0,0,7,6,0,0,0,0
14,walk,sink,200,1,2.512340000e-04,2.489590000e-04,2.828890000e-04,13.505338,0.208075,1,optimal,1.393464980687884,5,10,5,0,0,0,0,0,0,6,5,0,0,0,0
15,walk,sink,200,1,1.060305000e-03,1.046625000e-03,1.092545000e-03,4.330829,0.075167,1,optimal,360.37976717049241,7,37,8,0,0,1,6,0,0,8,7,0,7,0,0
22,walk,sink,200,1,2.753790000e-04,2.713290000e-04,3.012280000e-04,10.857400,0.206604,1,optimal,1,2,8,2,0,0,0,0,0,0,3,2,0,0,0,0
24,walk,sink,200,1,4.648580000e-04,4.543480000e-04,4.900480000e-04,7.679765,0.147329,1,optimal,-1.0000000000000002,3,11,4,0,0,0,0,0,0,4,3,0,0,0,0
25,walk,sink,200,1,2.657000000e-05,2.618000000e-05,3.466000000e-05,31.915694,0.367037,1,optimal,32.834999999663594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,walk,sink,200,1,8.859260000e-04,8.719160000e-04,1.083385000e-03,23.869827,0.164843,1,optimal,2.2822014587976076e-12,17,37,17,0,0,0,0,0,0,18,17,0,0,0,0
27,walk,sink,200,1,1.329124000e-03,1.309994000e-03,1.437713000e-03,9.609261,0.161244,1,optimal,0.040000000000000001,4,37,40,0,0,1,6,0,0,5,4,0,7,0,0
28,walk,sink,200,1,2.243740000e-04,2.204790000e-04,2.494890000e-04,12.929306,0.206472,1,optimal,1.2325951644078309e-32,3,8,3,0,0,0,0,0,0,4,3,0,0,0,0
30,walk,sink,200,1,6.297070000e-04,6.177770000e-04,6.648260000e-04,7.471570,0.111238,1,optimal,1.0000002384185596,11,24,11,0,0,0,0,0,0,12,11,0,0,0,0
33,walk,sink,200,1,6.681970000e-04,6.582370000e-04,7.003370000e-04,6.300537,0.087937,1,optimal,-3.9999999999737859,4,16,5,0,0,0,0,0,0,5,4,0,0,0,0
35,walk,sink,200,1,9.199400000e-05,9.098000000e-05,1.052300000e-04,15.490141,0.283429,1,optimal,0.1111111111111108,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0
38,walk,sink,200,1,3.287860000e-03,3.274895000e-03,5.701994000e-03,73.820023,0.589001,1,optimal,3.5412391703464998e-19,49,137,48,0,0,0,0,0,0,50,49,0,0,0,0
39,walk,sink,200,1,6.783770000e-04,6.659970000e-04,7.204470000e-04,8.026510,0.104794,1,optimal,-1.0000000251936934,9,26,13,0,0,0,0,0,0,10,9,0,0,0,0
40,walk,sink,200,1,2.324890000e-04,2.282490000e-04,2.627290000e-04,14.830809,0.184690,1,optimal,-0.25000000000317785,4,8,4,0,0,0,0,0,0,5,4,0,0,0,0
